Contact increase in children,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,20 %,0 %,0 %,0 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %,25 %
School scenario,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5
Model output,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL,mean,LL,UL
2020-09-01,11.5,4.95,19.0,11.04,4.0,19.52499999999999,11.1,6.0,17.0,11.57,5.0,19.0,11.45,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26,4.95,16.52499999999999,11.87,7.0,18.0,11.74,6.0,18.0,11.99,6.475,19.0,11.57,5.0,18.0,11.65,6.475,18.0,11.39,6.0,18.0
2020-09-02,11.96,6.475,18.52499999999999,12.08,6.0,21.52499999999999,11.96,7.475,18.049999999999983,12.28,7.0,19.52499999999999,12.65,6.475,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.49,6.0,19.0,12.22,5.475,18.0,12.22,6.475,19.52499999999999,12.54,6.0,21.52499999999999,12.12,6.0,19.52499999999999,12.31,7.0,20.0,11.34,6.0,18.52499999999999
2020-09-03,12.24,7.0,18.0,11.88,6.475,18.52499999999999,12.81,6.475,21.0,12.75,6.475,17.52499999999999,12.35,6.475,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,7.0,19.52499999999999,12.41,5.475,19.0,11.7,5.475,17.52499999999999,12.19,6.0,18.0,12.1,6.475,19.52499999999999,12.55,7.0,19.0,11.79,5.0,18.0
2020-09-04,12.15,5.475,18.0,12.0,6.0,18.52499999999999,11.85,6.0,19.52499999999999,12.5,6.0,19.52499999999999,11.93,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36,5.95,19.0,11.86,6.0,19.049999999999983,12.54,6.475,20.52499999999999,12.59,6.0,19.0,12.37,6.0,21.52499999999999,12.0,5.0,19.52499999999999,11.45,5.0,18.0
2020-09-05,12.18,6.475,19.52499999999999,11.56,5.475,19.52499999999999,12.11,6.0,19.049999999999983,11.32,5.475,16.0,11.62,5.475,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66,6.0,19.0,11.58,7.0,18.0,11.77,6.475,18.52499999999999,12.08,7.0,19.049999999999983,11.66,6.0,18.0,12.03,6.0,19.52499999999999,11.4,5.475,19.52499999999999
2020-09-06,11.54,5.475,17.0,11.11,4.475,17.52499999999999,11.62,6.0,17.52499999999999,11.55,6.0,18.52499999999999,11.61,6.475,17.52499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72,5.0,18.52499999999999,11.26,5.475,16.52499999999999,11.17,5.475,19.049999999999983,11.44,4.475,19.52499999999999,11.75,6.475,18.52499999999999,11.5,6.0,18.0,11.17,5.0,17.0
2020-09-07,12.07,6.0,18.52499999999999,11.86,5.0,18.0,11.85,5.475,18.52499999999999,11.78,5.0,17.0,12.12,5.475,20.049999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.44,6.0,18.52499999999999,11.86,5.0,18.52499999999999,11.45,5.475,18.0,11.39,5.475,19.0,11.84,7.0,19.0,11.8,6.0,20.0,12.04,5.0,18.52499999999999
