,NIS,Woonplaats,Mannen,Vrouwen,inhabitants
237,35002,Bredene,9035.0,9106.0,18141.0
238,35005,Gistel,6046.0,6120.0,12166.0
239,35006,Ichtegem,7037.0,7004.0,14041.0
240,35011,Middelkerke,9727.0,9851.0,19578.0
241,35013,Oostende,35120.0,36527.0,71647.0
242,35014,Oudenburg,4744.0,4763.0,9507.0
243,35029,De Haan,6199.0,6501.0,12700.0
244,36000,Arrondissement Roeselare,76946.0,77548.0,154494.0
245,36006,Hooglede,5046.0,4927.0,9973.0
246,36007,Ingelmunster,5503.0,5628.0,11131.0
247,36008,Izegem,13918.0,14404.0,28322.0
248,36010,Ledegem,4822.0,4865.0,9687.0
249,36011,Lichtervelde,4516.0,4427.0,8943.0
250,36012,Moorslede,5681.0,5761.0,11442.0
251,36015,Roeselare,31668.0,31810.0,63478.0
252,36019,Staden,5792.0,5726.0,11518.0
253,37000,Arrondissement Tielt,46964.0,46464.0,93428.0
254,37002,Dentergem,4333.0,4279.0,8612.0
255,37007,Meulebeke,5450.0,5383.0,10833.0
256,37010,Oostrozebeke,3955.0,4001.0,7956.0
257,37011,Pittem,3397.0,3320.0,6717.0
258,37012,Ruiselede,2692.0,2676.0,5368.0
259,37015,Tielt (Tielt),10308.0,10295.0,20603.0
260,37017,Wielsbeke,4969.0,4864.0,9833.0
261,37018,Wingene,7329.0,7100.0,14429.0
262,37020,Ardooie,4531.0,4546.0,9077.0
263,38000,Arrondissement Veurne,30533.0,31206.0,61739.0
264,38002,Alveringem,2582.0,2411.0,4993.0
265,38008,De Panne,5501.0,5646.0,11147.0
266,38014,Koksijde,10764.0,11105.0,21869.0
267,38016,Nieuwpoort,5732.0,5904.0,11636.0
268,38025,Veurne,5954.0,6140.0,12094.0
269,40000,Provincie Oost-Vlaanderen,753499.0,771756.0,1525255.0
270,41000,Arrondissement Aalst,144327.0,149323.0,293650.0
271,41002,Aalst (Aalst),42903.0,44429.0,87332.0
272,41011,Denderleeuw,10092.0,10459.0,20551.0
273,41018,Geraardsbergen,16575.0,17074.0,33649.0
274,41024,Haaltert,9154.0,9428.0,18582.0
275,41027,Herzele,8996.0,9191.0,18187.0
276,41034,Lede,9320.0,9546.0,18866.0
277,41048,Ninove,19231.0,20020.0,39251.0
278,41063,Sint-Lievens-Houtem,5151.0,5249.0,10400.0
279,41081,Zottegem,12949.0,13737.0,26686.0
280,41082,Erpe-Mere,9956.0,10190.0,20146.0
281,42000,Arrondissement Dendermonde,99678.0,102733.0,202411.0
282,42003,Berlare,7427.0,7666.0,15093.0
283,42004,Buggenhout,7245.0,7417.0,14662.0
284,42006,Dendermonde,22402.0,23468.0,45870.0
285,42008,Hamme (Dendermonde),12318.0,12628.0,24946.0
286,42010,Laarne,6104.0,6257.0,12361.0
287,42011,Lebbeke,9630.0,9908.0,19538.0
288,42023,Waasmunster,5472.0,5461.0,10933.0
289,42025,Wetteren,12738.0,13283.0,26021.0
290,42026,Wichelen,5751.0,5898.0,11649.0
291,42028,Zele,10591.0,10747.0,21338.0
292,43000,Arrondissement Eeklo,42716.0,42976.0,85692.0
293,43002,Assenede,7065.0,7231.0,14296.0
294,43005,Eeklo,10486.0,10799.0,21285.0
295,43007,Kaprijke,3193.0,3243.0,6436.0
296,43010,Maldegem,11982.0,11976.0,23958.0
297,43014,Sint-Laureins,3450.0,3368.0,6818.0
298,43018,Zelzate,6540.0,6359.0,12899.0
299,44000,Arrondissement Gent,279539.0,284503.0,564042.0
300,44012,De Pinte,5221.0,5660.0,10881.0
301,44013,Destelbergen,9061.0,9467.0,18528.0
302,44019,Evergem,17581.0,18047.0,35628.0
303,44020,Gavere,6378.0,6525.0,12903.0
304,44021,Gent,131543.0,132384.0,263927.0
305,44034,Lochristi,11179.0,11431.0,22610.0
306,44040,Melle,5677.0,6134.0,11811.0
307,44043,Merelbeke,12154.0,12602.0,24756.0
308,44045,Moerbeke (Gent),3273.0,3297.0,6570.0
309,44048,Nazareth,5753.0,5949.0,11702.0
310,44052,Oosterzele,6854.0,6835.0,13689.0
311,44064,Sint-Martens-Latem,4041.0,4324.0,8365.0
312,44073,Wachtebeke,3828.0,3981.0,7809.0
313,44081,Zulte,7936.0,7855.0,15791.0
314,44083,Deinze,21566.0,22014.0,43580.0
315,44084,Aalter,14614.0,14568.0,29182.0
316,44085,Lievegem,12880.0,13430.0,26310.0
317,45000,Arrondissement Oudenaarde,61593.0,63017.0,124610.0
318,45035,Oudenaarde,15689.0,15923.0,31612.0
319,45041,Ronse,12918.0,13456.0,26374.0
320,45059,Brakel,7277.0,7526.0,14803.0
321,45060,Kluisbergen,3277.0,3300.0,6577.0
322,45061,Wortegem-Petegem,3217.0,3178.0,6395.0
323,45062,Horebeke,973.0,1049.0,2022.0
324,45063,Lierde,3308.0,3271.0,6579.0
325,45064,Maarkedal,3081.0,3257.0,6338.0
326,45065,Zwalm,4030.0,4137.0,8167.0
327,45068,Kruisem,7823.0,7920.0,15743.0
328,46000,Arrondissement Sint-Niklaas,125646.0,129204.0,254850.0
329,46003,Beveren (Sint-Niklaas),24237.0,24810.0,49047.0
330,46013,Kruibeke,8320.0,8526.0,16846.0
331,46014,Lokeren,20717.0,21327.0,42044.0
332,46020,Sint-Gillis-Waas,9693.0,9806.0,19499.0
333,46021,Sint-Niklaas (Sint-Niklaas),38468.0,40063.0,78531.0
334,46024,Stekene,9221.0,9466.0,18687.0
335,46025,Temse,14990.0,15206.0,30196.0
336,50000,Provincie Henegouwen,655724.0,691116.0,1346840.0
337,51000,Arrondissement Aat,62914.0,65554.0,128468.0
338,51004,Aat,14234.0,15260.0,29494.0
339,51008,Beloeil,6954.0,7106.0,14060.0
340,51009,Bernissart,5773.0,6079.0,11852.0
341,51012,Brugelette,1839.0,1885.0,3724.0
342,51014,Chièvres,3429.0,3496.0,6925.0
343,51017,Elzele,2958.0,3034.0,5992.0
344,51019,Vloesberg,1689.0,1744.0,3433.0
345,51065,Frasnes-lez-Anvaing,5839.0,5994.0,11833.0
346,51067,Edingen,6829.0,7232.0,14061.0
347,51068,Opzullik,4169.0,4179.0,8348.0
348,51069,Lessen,9201.0,9545.0,18746.0
349,52000,Arrondissement Charleroi,192791.0,204171.0,396962.0
350,52010,Chapelle-lez-Herlaimont,7100.0,7705.0,14805.0
351,52011,Charleroi,99022.0,103724.0,202746.0
352,52012,Châtelet,17190.0,18478.0,35668.0
353,52015,Courcelles,15132.0,16065.0,31197.0
354,52018,Farciennes,5463.0,5792.0,11255.0
355,52021,Fleurus,11176.0,11880.0,23056.0
356,52022,Fontaine-l’Evêque,8592.0,9246.0,17838.0
357,52025,Gerpinnes,6176.0,6632.0,12808.0
358,52048,Montigny-le-Tilleul,4775.0,5357.0,10132.0
359,52055,Pont-à-Celles,8391.0,8860.0,17251.0
360,52074,Aiseau-Presles,5186.0,5553.0,10739.0
361,52075,Les Bons Villers,4588.0,4879.0,9467.0
362,53000,Arrondissement Bergen,125294.0,133943.0,259237.0
363,53014,Boussu,9426.0,10420.0,19846.0
364,53020,Dour,7955.0,8557.0,16512.0
365,53028,Frameries,10409.0,11550.0,21959.0
366,53039,Hensies,3307.0,3542.0,6849.0
367,53044,Jurbeke,5129.0,5393.0,10522.0
368,53046,Lens,2252.0,2340.0,4592.0
369,53053,Bergen,46682.0,49205.0,95887.0
370,53065,Quaregnon,9103.0,9815.0,18918.0
371,53068,Quiévrain,3260.0,3486.0,6746.0
372,53070,Saint-Ghislain,11223.0,12205.0,23428.0
373,53082,Colfontaine,10027.0,10714.0,20741.0
374,53083,Honnelles,2563.0,2589.0,5152.0
375,53084,Quévy,3958.0,4127.0,8085.0
376,55000,Arrondissement Zinnik,51542.0,53637.0,105179.0
377,55004,’s Gravenbrakel,10872.0,11190.0,22062.0
378,55035,Le Roeulx,4303.0,4432.0,8735.0
379,55040,Zinnik,13757.0,14514.0,28271.0
380,55050,Ecaussinnes,5478.0,5724.0,11202.0
381,55085,Seneffe,5618.0,5862.0,11480.0
382,55086,Manage,11514.0,11915.0,23429.0
383,56000,Arrondissement Thuin,45124.0,46601.0,91725.0
384,56001,Anderlues,6051.0,6311.0,12362.0
385,56005,Beaumont,3596.0,3569.0,7165.0
386,56016,Chimay,4796.0,4930.0,9726.0
387,56022,Erquelinnes,4866.0,5120.0,9986.0
388,56029,Froidchapelle,2006.0,1987.0,3993.0
389,56044,Lobbes,2828.0,2990.0,5818.0
390,56049,Merbes-le-Château,2099.0,2113.0,4212.0
391,56051,Momignies,2690.0,2655.0,5345.0
392,56078,Thuin,7268.0,7435.0,14703.0
393,56086,Ham-sur-Heure-Nalinnes,6568.0,7053.0,13621.0
394,56088,Sivry-Rance,2356.0,2438.0,4794.0
395,57000,Arrondissement Doornik-Moeskroen,109513.0,114286.0,223799.0
396,57003,Antoing,3776.0,3938.0,7714.0
397,57018,Celles (Doornik),2816.0,2875.0,5691.0
398,57027,Estaimpuis,5190.0,5376.0,10566.0
399,57062,Pecq,2862.0,2899.0,5761.0
400,57064,Péruwelz,8385.0,8735.0,17120.0
401,57072,Rumes,2582.0,2638.0,5220.0
402,57081,Doornik,33886.0,35197.0,69083.0
403,57093,Brunehaut,4007.0,4082.0,8089.0
404,57094,Leuze-en-Hainaut,6755.0,7186.0,13941.0
405,57095,Mont-de-l’Enclus,1915.0,1874.0,3789.0
406,57096,Moeskroen,28521.0,30246.0,58767.0
407,57097,Komen-Waasten,8818.0,9240.0,18058.0
408,58000,Arrondissement La Louvière,68546.0,72924.0,141470.0
409,58001,La Louvière,39410.0,41728.0,81138.0
410,58002,Binche,16038.0,17410.0,33448.0
411,58003,Estinnes,3846.0,3913.0,7759.0
412,58004,Morlanwelz,9252.0,9873.0,19125.0
413,60000,Provincie Luik,543373.0,566427.0,1109800.0
414,61000,Arrondissement Hoei,55984.0,57885.0,113869.0
415,61003,Amay,7004.0,7402.0,14406.0
416,61010,Burdinne,1654.0,1643.0,3297.0
417,61012,Clavier,2274.0,2368.0,4642.0
418,61019,Ferrières,2534.0,2472.0,5006.0
419,61024,Hamoir,1926.0,1920.0,3846.0
420,61028,Héron,2719.0,2757.0,5476.0
421,61031,Hoei,10286.0,10952.0,21238.0
422,61039,Marchin,2681.0,2760.0,5441.0
423,61041,Modave,2121.0,2098.0,4219.0
424,61043,Nandrin,2814.0,2944.0,5758.0
425,61048,Ouffet,1371.0,1426.0,2797.0
426,61063,Verlaine,2133.0,2144.0,4277.0
427,61068,Villers-Le-Bouillet,3229.0,3364.0,6593.0
428,61072,Wanze,6751.0,6980.0,13731.0
429,61079,Anthisnes,2067.0,2131.0,4198.0
430,61080,Engis,3083.0,3126.0,6209.0
431,61081,Tinlot,1337.0,1398.0,2735.0
432,62000,Arrondissement Luik,305155.0,320610.0,625765.0
433,62003,Ans,13678.0,14920.0,28598.0
434,62006,Awans,4430.0,4813.0,9243.0
435,62009,Aywaille,6135.0,6259.0,12394.0
436,62011,Bitsingen,4435.0,4496.0,8931.0
437,62015,Beyne-Heusay,5719.0,6172.0,11891.0
438,62022,Chaudfontaine,9992.0,10863.0,20855.0
439,62026,Comblain-au-Pont,2612.0,2784.0,5396.0
440,62027,Dalhem,3710.0,3807.0,7517.0
441,62032,Esneux,6331.0,6684.0,13015.0
442,62038,Fléron,7733.0,8637.0,16370.0
443,62051,Herstal,19456.0,20734.0,40190.0
444,62060,Juprelle,4691.0,4744.0,9435.0
445,62063,Luik,97673.0,99544.0,197217.0
446,62079,Oupeye,12349.0,13095.0,25444.0
447,62093,Saint-Nicolas (Luik),11692.0,12637.0,24329.0
448,62096,Seraing,30961.0,33231.0,64192.0
449,62099,Soumagne,8282.0,8758.0,17040.0
450,62100,Sprimont,7201.0,7708.0,14909.0
451,62108,Wezet,8654.0,9272.0,17926.0
452,62118,Grâce-Hollogne,11218.0,11605.0,22823.0
453,62119,Blegny,6567.0,6820.0,13387.0
454,62120,Flémalle,12698.0,13691.0,26389.0
455,62121,Neupré,4878.0,5099.0,9977.0
456,62122,Trooz,4060.0,4237.0,8297.0
457,63000,Arrondissement Verviers,142245.0,146032.0,288277.0
458,63001,Amel,2821.0,2665.0,5486.0
459,63003,Aubel,2080.0,2166.0,4246.0
460,63004,Baelen,2250.0,2237.0,4487.0
461,63012,Büllingen,2811.0,2645.0,5456.0
462,63013,Bütgenbach,2846.0,2783.0,5629.0
463,63020,Dison,7516.0,7739.0,15255.0
464,63023,Eupen,9679.0,10083.0,19762.0
465,63035,Herve,8558.0,9062.0,17620.0
466,63038,Jalhay,4349.0,4379.0,8728.0
467,63040,Kelmis,5498.0,5714.0,11212.0
468,63045,Lierneux,1803.0,1772.0,3575.0
469,63046,Limburg,2925.0,2980.0,5905.0
470,63048,Lontzen,2913.0,2920.0,5833.0
471,63049,Malmedy,6183.0,6614.0,12797.0
472,63057,Olne,2026.0,2010.0,4036.0
473,63058,Pepinster,4750.0,4943.0,9693.0
474,63061,Raeren,5346.0,5472.0,10818.0
475,63067,Sankt Vith,4899.0,4880.0,9779.0
476,63072,Spa,4912.0,5237.0,10149.0
477,63073,Stavelot,3583.0,3570.0,7153.0
478,63075,Stoumont,1580.0,1594.0,3174.0
479,63076,Theux,5856.0,6156.0,12012.0
480,63079,Verviers,26985.0,28305.0,55290.0
481,63080,Weismes,3744.0,3635.0,7379.0
482,63084,Welkenraedt,4934.0,5134.0,10068.0
483,63086,Trois-Ponts,1273.0,1280.0,2553.0
484,63087,Burg-Reuland,2018.0,1956.0,3974.0
485,63088,Plombières,5254.0,5273.0,10527.0
486,63089,Thimister-Clermont,2853.0,2828.0,5681.0
487,64000,Arrondissement Borgworm,39989.0,41900.0,81889.0
488,64008,Berloz,1580.0,1555.0,3135.0
489,64015,Braives,3187.0,3204.0,6391.0
490,64021,Crisnée,1707.0,1758.0,3465.0
491,64023,Donceel,1569.0,1519.0,3088.0
492,64025,Fexhe-le-Haut-Clocher,1613.0,1603.0,3216.0
493,64029,Geer,1736.0,1742.0,3478.0
494,64034,Hannuit,8017.0,8668.0,16685.0
495,64047,Lijsem,1620.0,1660.0,3280.0
496,64056,Oerle,1884.0,2020.0,3904.0
497,64063,Remicourt,2894.0,3078.0,5972.0
498,64065,Saint-Georges-sur-Meuse,3418.0,3506.0,6924.0
499,64074,Borgworm,7355.0,8089.0,15444.0
500,64075,Wasseiges,1450.0,1519.0,2969.0
501,64076,Faimes,1959.0,1979.0,3938.0
502,70000,Provincie Limburg,436771.0,440599.0,877370.0
503,71000,Arrondissement Hasselt,208089.0,212223.0,420312.0
504,71002,As,4074.0,4162.0,8236.0
505,71004,Beringen,23357.0,23241.0,46598.0
