production_function,consumer_facing,industry,retail,ratio_c_s,tau,hiring_firing,unweighted,weighted
leontief,0.8,0.0,0.2,0.5,14,28,9.338698826292699,6.453297134010271
leontief,0.8,0.0,0.2,0.5,21,1,9.01616154877891,5.629957842821603
leontief,0.8,0.0,0.2,0.5,21,7,8.90046467606607,5.54821819808795
leontief,0.8,0.0,0.2,0.5,21,14,8.803060344441441,5.547748546582786
leontief,0.8,0.0,0.2,0.5,21,21,9.080930714457333,6.161834537333339
leontief,0.8,0.0,0.2,0.5,21,28,9.607651711766524,6.793907087248177
leontief,0.8,0.0,0.2,0.5,28,1,9.024445801920981,5.6573912930104955
leontief,0.8,0.0,0.2,0.5,28,7,8.912733730261216,5.5703584859764135
leontief,0.8,0.0,0.2,0.5,28,14,8.833505093201659,5.611540642584349
leontief,0.8,0.0,0.2,0.5,28,21,9.232045118845619,6.360796488351902
leontief,0.8,0.0,0.2,0.5,28,28,9.82331018759851,7.078781146171585
leontief,0.8,0.0,0.2,0.75,1,1,8.64914375581704,5.445478567922114
leontief,0.8,0.0,0.2,0.75,1,7,8.659630987898911,5.390693330066724
leontief,0.8,0.0,0.2,0.75,1,14,8.645400990523758,5.480075154775051
leontief,0.8,0.0,0.2,0.75,1,21,8.726642354529536,5.7329822220358295
leontief,0.8,0.0,0.2,0.75,1,28,9.00747236957441,6.089995499134863
leontief,0.8,0.0,0.2,0.75,7,1,8.780992376291511,5.483836068609267
leontief,0.8,0.0,0.2,0.75,7,7,8.724461238475161,5.430045085121956
leontief,0.8,0.0,0.2,0.75,7,14,8.649599024685347,5.477342351917735
leontief,0.8,0.0,0.2,0.75,7,21,8.714037257373072,5.746086403376071
leontief,0.8,0.0,0.2,0.75,7,28,9.101139002813554,6.2197414176241335
leontief,0.8,0.0,0.2,0.75,14,1,8.81913923061137,5.5112675183338595
leontief,0.8,0.0,0.2,0.75,14,7,8.745160158386946,5.450490385521444
leontief,0.8,0.0,0.2,0.75,14,14,8.665299702953273,5.530214372357377
leontief,0.8,0.0,0.2,0.75,14,21,8.817293667570672,5.9614768448729425
leontief,0.8,0.0,0.2,0.75,14,28,9.268465365941223,6.50835049593408
leontief,0.8,0.0,0.2,0.75,21,1,8.837024345406133,5.541527188841957
leontief,0.8,0.0,0.2,0.75,21,7,8.757586774613129,5.481470392738749
leontief,0.8,0.0,0.2,0.75,21,14,8.682646981738499,5.598497745777897
leontief,0.8,0.0,0.2,0.75,21,21,8.940758306903554,6.161370188734666
leontief,0.8,0.0,0.2,0.75,21,28,9.462888827553604,6.82035406351044
leontief,0.8,0.0,0.2,0.75,28,1,8.840921879936497,5.562105657228247
leontief,0.8,0.0,0.2,0.75,28,7,8.759864840871407,5.501477340252353
leontief,0.8,0.0,0.2,0.75,28,14,8.708912824978619,5.665201400971191
leontief,0.8,0.0,0.2,0.75,28,21,9.066740150931867,6.34712946470477
leontief,0.8,0.0,0.2,0.75,28,28,9.63976176803275,7.055735908239685
leontief,0.8,0.0,0.2,1.0,1,1,8.898593425726153,5.625055465614302
leontief,0.8,0.0,0.2,1.0,1,7,8.932134109971452,5.591761357003822
leontief,0.8,0.0,0.2,1.0,1,14,8.954841378834645,5.688566233133516
leontief,0.8,0.0,0.2,1.0,1,21,9.077666802071683,5.9342155487267885
leontief,0.8,0.0,0.2,1.0,1,28,9.392779573183777,6.405171018584962
leontief,0.8,0.0,0.2,1.0,7,1,9.027254110530441,5.655745198737466
leontief,0.8,0.0,0.2,1.0,7,7,8.99899016473069,5.623490696183916
leontief,0.8,0.0,0.2,1.0,7,14,8.954844449824819,5.6737896278908995
leontief,0.8,0.0,0.2,1.0,7,21,9.061864963639843,5.932423247457242
leontief,0.8,0.0,0.2,1.0,7,28,9.46449653913879,6.499077093374965
leontief,0.8,0.0,0.2,1.0,14,1,9.061934432679305,5.683672096623824
leontief,0.8,0.0,0.2,1.0,14,7,9.011879360319146,5.640373651522029
leontief,0.8,0.0,0.2,1.0,14,14,8.965071876635369,5.702431900999954
leontief,0.8,0.0,0.2,1.0,14,21,9.159173811414233,6.114811359668079
leontief,0.8,0.0,0.2,1.0,14,28,9.6085912337708,6.754472810246742
leontief,0.8,0.0,0.2,1.0,21,1,9.074180581867683,5.706385109725688
leontief,0.8,0.0,0.2,1.0,21,7,9.016962166140647,5.662944525981852
leontief,0.8,0.0,0.2,1.0,21,14,8.990100506987057,5.764873645408365
leontief,0.8,0.0,0.2,1.0,21,21,9.282287803148254,6.2992591404584
leontief,0.8,0.0,0.2,1.0,21,28,9.77937657618843,7.025470734379686
leontief,0.8,0.0,0.2,1.0,28,1,9.081388239057116,5.727291211469013
leontief,0.8,0.0,0.2,1.0,28,7,9.021601845225833,5.679130340673096
leontief,0.8,0.0,0.2,1.0,28,14,9.014733816339156,5.826685526451698
leontief,0.8,0.0,0.2,1.0,28,21,9.378921990052357,6.44991425643893
leontief,0.8,0.0,0.2,1.0,28,28,9.897381015913584,7.197272631585724
leontief,0.8,0.0,0.4,0.0,1,1,10.152531972011985,6.326847020146658
leontief,0.8,0.0,0.4,0.0,1,7,9.871822218362201,6.042896529001004
leontief,0.8,0.0,0.4,0.0,1,14,9.480790552821757,5.676042503809946
leontief,0.8,0.0,0.4,0.0,1,21,9.33570547468105,5.740979592117309
leontief,0.8,0.0,0.4,0.0,1,28,9.455031850583973,5.977791512144599
leontief,0.8,0.0,0.4,0.0,7,1,10.051313998472757,6.032766592025128
leontief,0.8,0.0,0.4,0.0,7,7,9.843094493523372,5.862432160704442
leontief,0.8,0.0,0.4,0.0,7,14,9.555870156690846,5.685141555613779
leontief,0.8,0.0,0.4,0.0,7,21,9.44409853929419,5.757725628758507
leontief,0.8,0.0,0.4,0.0,7,28,9.680741919618761,6.210202212736974
leontief,0.8,0.0,0.4,0.0,14,1,9.999878209450852,5.947828742089509
leontief,0.8,0.0,0.4,0.0,14,7,9.789800805177908,5.738994866395706
leontief,0.8,0.0,0.4,0.0,14,14,9.590250266174518,5.6966578514893405
leontief,0.8,0.0,0.4,0.0,14,21,9.65962931601917,6.065313791505957
leontief,0.8,0.0,0.4,0.0,14,28,10.013385780981624,6.631925960129215
leontief,0.8,0.0,0.4,0.0,21,1,10.010408415491433,5.966707052265931
leontief,0.8,0.0,0.4,0.0,21,7,9.774696108401026,5.7319173806934085
leontief,0.8,0.0,0.4,0.0,21,14,9.624900293167963,5.736470606389117
leontief,0.8,0.0,0.4,0.0,21,21,9.871171510135358,6.349813491143399
leontief,0.8,0.0,0.4,0.0,21,28,10.406699377100294,7.040656154776683
leontief,0.8,0.0,0.4,0.0,28,1,10.035136129065993,5.999006367343618
leontief,0.8,0.0,0.4,0.0,28,7,9.776010261362117,5.750149730398812
leontief,0.8,0.0,0.4,0.0,28,14,9.671376092428265,5.779202929809847
leontief,0.8,0.0,0.4,0.0,28,21,10.07489979585739,6.5958495256861145
leontief,0.8,0.0,0.4,0.0,28,28,10.752022523481045,7.430879187068673
leontief,0.8,0.0,0.4,0.25,1,1,9.45082630315876,5.830297649928229
leontief,0.8,0.0,0.4,0.25,1,7,9.302315350731991,5.648903710597411
leontief,0.8,0.0,0.4,0.25,1,14,9.077281360732933,5.5230587488870295
leontief,0.8,0.0,0.4,0.25,1,21,9.057958189189922,5.757856817128677
leontief,0.8,0.0,0.4,0.25,1,28,9.280826078818935,6.016842899318856
leontief,0.8,0.0,0.4,0.25,7,1,9.493349792137986,5.722096497024766
leontief,0.8,0.0,0.4,0.25,7,7,9.362193876814812,5.655016297253709
leontief,0.8,0.0,0.4,0.25,7,14,9.145881096545475,5.558334307822495
leontief,0.8,0.0,0.4,0.25,7,21,9.14216166823309,5.816961031080389
leontief,0.8,0.0,0.4,0.25,7,28,9.473815145049812,6.287916234012768
leontief,0.8,0.0,0.4,0.25,14,1,9.505711646763984,5.69219196616968
leontief,0.8,0.0,0.4,0.25,14,7,9.35727289876058,5.62454675979021
leontief,0.8,0.0,0.4,0.25,14,14,9.215348879195215,5.624716694521486
leontief,0.8,0.0,0.4,0.25,14,21,9.338236673727394,6.11310943708434
leontief,0.8,0.0,0.4,0.25,14,28,9.768196896274187,6.678020774236879
leontief,0.8,0.0,0.4,0.25,21,1,9.512443538305824,5.714458632784352
leontief,0.8,0.0,0.4,0.25,21,7,9.374312635401939,5.6447834549756735
leontief,0.8,0.0,0.4,0.25,21,14,9.259280354677195,5.69840765467621
leontief,0.8,0.0,0.4,0.25,21,21,9.543256548180658,6.384539877574049
leontief,0.8,0.0,0.4,0.25,21,28,10.075179961390145,7.060390741195036
leontief,0.8,0.0,0.4,0.25,28,1,9.515723129016095,5.7449644238913145
leontief,0.8,0.0,0.4,0.25,28,7,9.384413534227487,5.667068028909116
leontief,0.8,0.0,0.4,0.25,28,14,9.312145063422044,5.766074880226425
leontief,0.8,0.0,0.4,0.25,28,21,9.72666989238903,6.613835014214262
leontief,0.8,0.0,0.4,0.25,28,28,10.402064168033117,7.444318166202267
leontief,0.8,0.0,0.4,0.5,1,1,8.98179762306907,5.602044242184657
leontief,0.8,0.0,0.4,0.5,1,7,8.943292946083794,5.507587911002689
leontief,0.8,0.0,0.4,0.5,1,14,8.892019199562533,5.587850565846425
leontief,0.8,0.0,0.4,0.5,1,21,8.957573468669112,5.869881077709953
leontief,0.8,0.0,0.4,0.5,1,28,9.230936877628388,6.202099735196578
leontief,0.8,0.0,0.4,0.5,7,1,9.106245477323217,5.604854521005969
leontief,0.8,0.0,0.4,0.5,7,7,9.018237227833003,5.5493239613751335
leontief,0.8,0.0,0.4,0.5,7,14,8.914898054353078,5.615520309915823
leontief,0.8,0.0,0.4,0.5,7,21,8.99067505164346,5.942600531957275
leontief,0.8,0.0,0.4,0.5,7,28,9.382152037757754,6.403816831258896
leontief,0.8,0.0,0.4,0.5,14,1,9.130468501612855,5.609834049729873
leontief,0.8,0.0,0.4,0.5,14,7,9.042354501951378,5.557811576777745
leontief,0.8,0.0,0.4,0.5,14,14,8.963617247297385,5.691012312794282
leontief,0.8,0.0,0.4,0.5,14,21,9.138246494489376,6.193787109558947
leontief,0.8,0.0,0.4,0.5,14,28,9.602421152171711,6.777275345669851
leontief,0.8,0.0,0.4,0.5,21,1,9.155341241765246,5.642222271487425
leontief,0.8,0.0,0.4,0.5,21,7,9.069875999923964,5.591233589825762
leontief,0.8,0.0,0.4,0.5,21,14,9.006421873222791,5.7642523116860485
leontief,0.8,0.0,0.4,0.5,21,21,9.334852537589992,6.451960775013521
leontief,0.8,0.0,0.4,0.5,21,28,9.873615104073474,7.1721836619146115
leontief,0.8,0.0,0.4,0.5,28,1,9.17127830538923,5.671439447918999
leontief,0.8,0.0,0.4,0.5,28,7,9.084381512980993,5.614351320658647
leontief,0.8,0.0,0.4,0.5,28,14,9.034978186221668,5.839600120674188
leontief,0.8,0.0,0.4,0.5,28,21,9.493199714569798,6.652483124721114
leontief,0.8,0.0,0.4,0.5,28,28,10.099781136496729,7.466368438278236
leontief,0.8,0.0,0.4,0.75,1,1,8.91895203879706,5.681316740172891
leontief,0.8,0.0,0.4,0.75,1,7,8.950361677510681,5.682296757554544
leontief,0.8,0.0,0.4,0.75,1,14,8.968172568834369,5.834116540328534
leontief,0.8,0.0,0.4,0.75,1,21,9.068367736420475,6.102362777930004
leontief,0.8,0.0,0.4,0.75,1,28,9.355863365434438,6.546479740759148
leontief,0.8,0.0,0.4,0.75,7,1,9.038879850555904,5.719964007296885
leontief,0.8,0.0,0.4,0.75,7,7,9.007752886872385,5.714017925036025
leontief,0.8,0.0,0.4,0.75,7,14,8.963740681710785,5.820435825498132
leontief,0.8,0.0,0.4,0.75,7,21,9.061738676034146,6.127336422556374
leontief,0.8,0.0,0.4,0.75,7,28,9.444750080033542,6.704448613396386
leontief,0.8,0.0,0.4,0.75,14,1,9.06602737439308,5.747850088233891
leontief,0.8,0.0,0.4,0.75,14,7,9.011621193154111,5.7375804615098485
leontief,0.8,0.0,0.4,0.75,14,14,8.964633142441038,5.887850826520449
leontief,0.8,0.0,0.4,0.75,14,21,9.166072858932347,6.361940892084907
leontief,0.8,0.0,0.4,0.75,14,28,9.625360232824416,7.05033472380164
leontief,0.8,0.0,0.4,0.75,21,1,9.0830728901198,5.772483233322839
leontief,0.8,0.0,0.4,0.75,21,7,9.017579656347895,5.7610828669553795
leontief,0.8,0.0,0.4,0.75,21,14,8.975091655130473,5.9574238933408115
leontief,0.8,0.0,0.4,0.75,21,21,9.300158834664654,6.5851167719729915
leontief,0.8,0.0,0.4,0.75,21,28,9.822792716476116,7.36437817907516
