"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
0,0,0,0.00218795502002625,0.00218328026875648,0.00169773505450558,0,0,0,0
0,0.24199298378409,0.0725022464056413,0.0554126867646253,0,0.00554226576792308,0,0.00999124011899227,0,0
0,0.059253623586697,0.348222381613836,0.0841740932240624,0.108511553645269,0.0260886003025321,0.00663026969862063,0,0.0132605393972413,0
0.00228422445442567,0.0296949179075337,0.0551934976127777,0.134912088878306,0.0430827107179461,0.00822362590454527,0.0193409566173512,0.00996752489203927,0,0
0.00211517682872474,0,0.0660271047978444,0.0399797269808498,0.0478883043656617,0.0245230686557573,0.00214101653403445,0.00368337982056495,0,0
0.00157989174718825,0.0026473861709641,0.0152481542293184,0.00733027678024231,0.0235556470390529,0.0630958487133565,0.0197794583294252,0.00157989174718825,0.00793117877646582,0.00285132831306514
0,0,0.00460768937016864,0.0204984243701423,0.00244526396057893,0.023517973453115,0.0290300757021186,0,0,0.00716850305523695
0,0.00818371642247148,0,0.0152351096244434,0.00606691563682815,0.00270912196692622,0,0,0,0
0,0,0.0170584982010219,0,0,0.0174562457099621,0,0,0,0
0,0,0,0,0,0.0184312052927524,0.0389717118532945,0,0,0
