"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
0,0.0233146073813059,0.179633333579905,0.0578381474590504,0.0690248962400568,0.00555836933705207,0.0142101106960886,0.00240853264285289,0,0
0.0454208829718792,1.06005246416868,0.299318471053299,0.169776196066129,0.0755609964836167,0.0360264154725719,0.00604679112587516,0.0224802902677326,0,0.0654130356014434
0.28600778003146,0.244622820610395,1.22477812227803,0.451973913239336,0.18387661903435,0.118103709290292,0.0417517975159225,0.00507020624012166,0.0132605393972413,0.00507020624012166
0.0603830104437227,0.0909807933741168,0.296362219608466,0.820002480600159,0.272274228982723,0.217350871108347,0.0901585589860117,0.0193344647948819,0.0121756787127674,0.00193087426739859
0.0668717906818504,0.0375757277702011,0.111885236060148,0.252663984165609,0.463696587094772,0.200773194746928,0.084135672500872,0.0289501678181018,0.00706825329716275,0
0.00517255140613811,0.0172088164128649,0.0690287540699596,0.193739606123177,0.192852802263446,0.510011701769005,0.151704685981383,0.0493308760672732,0.0380452582104638,0.0111490732961887
0.0157231796764761,0.00343431729606995,0.0290153074224978,0.0955541361918879,0.0960917043353128,0.180378386414942,0.0989641501711168,0.0276244726001081,0,0.0143370061104739
0.00384336099646117,0.0184133619505608,0.00508151661188935,0.0295522402873781,0.0476839843786465,0.0845902007143283,0.0398391185371424,0,0,0
0,0,0.0170584982010219,0.0238870937390741,0.0149432628435547,0.0837362760490878,0,0,0,0
0,0.201976462704326,0.0191557267033326,0.0111254486110181,0,0.072068466407187,0.0779434237065889,0,0,0
