DATE,PROVINCE,REGION,NR_REPORTING,TOTAL_IN,TOTAL_IN_ICU,TOTAL_IN_RESP,TOTAL_IN_ECMO,NEW_IN,NEW_OUT
2020-05-08,BrabantWallon,Wallonia,2,23,7,5,0,0,3
2020-05-08,WestVlaanderen,Flanders,11,267,55,35,1,8,25
2020-05-09,Antwerpen,Flanders,14,407,85,57,2,9,46
2020-05-09,Brussels,Brussels,15,433,94,61,10,16,32
2020-05-09,Hainaut,Wallonia,14,298,47,32,6,8,33
2020-05-09,Limburg,Flanders,7,176,42,23,2,10,25
2020-05-09,Liège,Wallonia,12,171,46,30,1,5,17
2020-05-09,Luxembourg,Wallonia,3,36,6,4,0,3,6
2020-05-09,Namur,Wallonia,6,94,19,12,3,2,8
2020-05-09,OostVlaanderen,Flanders,14,236,52,29,2,8,21
2020-05-09,VlaamsBrabant,Flanders,6,99,25,14,4,7,13
2020-05-09,BrabantWallon,Wallonia,2,23,7,3,0,2,1
2020-05-09,WestVlaanderen,Flanders,11,249,52,30,3,13,29
2020-05-10,Antwerpen,Flanders,14,409,86,55,1,6,15
2020-05-10,Brussels,Brussels,15,429,91,59,10,10,6
2020-05-10,Hainaut,Wallonia,14,300,50,36,5,13,8
2020-05-10,Limburg,Flanders,7,172,43,25,2,3,6
2020-05-10,Liège,Wallonia,12,169,50,29,1,6,7
2020-05-10,Luxembourg,Wallonia,3,34,5,4,0,0,2
2020-05-10,Namur,Wallonia,6,95,19,11,3,3,1
2020-05-10,OostVlaanderen,Flanders,14,238,52,29,2,10,2
2020-05-10,VlaamsBrabant,Flanders,6,100,23,14,4,3,3
2020-05-10,BrabantWallon,Wallonia,2,25,7,3,0,2,0
2020-05-10,WestVlaanderen,Flanders,11,251,51,31,3,4,5
2020-05-11,Antwerpen,Flanders,14,418,88,57,2,7,5
2020-05-11,Brussels,Brussels,15,416,89,59,11,9,10
2020-05-11,Hainaut,Wallonia,14,307,47,33,5,2,4
2020-05-11,Limburg,Flanders,7,176,41,19,2,10,4
2020-05-11,Liège,Wallonia,12,181,49,27,0,3,3
2020-05-11,Luxembourg,Wallonia,3,34,5,4,0,0,0
2020-05-11,Namur,Wallonia,6,94,19,9,3,2,1
2020-05-11,OostVlaanderen,Flanders,14,225,50,29,2,0,5
2020-05-11,VlaamsBrabant,Flanders,6,97,21,12,4,3,2
2020-05-11,BrabantWallon,Wallonia,2,26,7,2,0,1,0
2020-05-11,WestVlaanderen,Flanders,11,256,49,31,3,6,1
2020-05-12,Antwerpen,Flanders,14,400,81,60,2,13,29
2020-05-12,Brussels,Brussels,15,373,83,58,9,9,48
2020-05-12,Hainaut,Wallonia,14,281,44,28,5,12,39
2020-05-12,Limburg,Flanders,7,164,36,19,2,4,17
2020-05-12,Liège,Wallonia,12,173,41,25,0,8,12
2020-05-12,Luxembourg,Wallonia,3,34,4,3,0,1,0
2020-05-12,Namur,Wallonia,6,90,16,10,3,2,10
2020-05-12,OostVlaanderen,Flanders,14,211,50,26,2,9,24
2020-05-12,VlaamsBrabant,Flanders,6,88,20,12,4,3,8
2020-05-12,BrabantWallon,Wallonia,2,25,7,2,0,1,1
2020-05-12,WestVlaanderen,Flanders,11,246,45,27,3,8,18
2020-05-13,Antwerpen,Flanders,14,381,77,47,1,12,24
2020-05-13,Brussels,Brussels,15,360,78,49,9,10,22
2020-05-13,Hainaut,Wallonia,14,265,40,29,4,14,25
2020-05-13,Limburg,Flanders,7,146,35,18,2,6,19
2020-05-13,Liège,Wallonia,12,162,41,22,0,7,12
2020-05-13,Luxembourg,Wallonia,3,34,4,3,0,2,1
2020-05-13,Namur,Wallonia,6,81,14,8,3,5,3
2020-05-13,OostVlaanderen,Flanders,14,204,48,25,2,8,16
2020-05-13,VlaamsBrabant,Flanders,6,71,18,12,4,4,14
2020-05-13,BrabantWallon,Wallonia,2,17,6,2,0,0,7
2020-05-13,WestVlaanderen,Flanders,11,245,46,24,3,13,30
2020-05-14,Antwerpen,Flanders,14,354,68,49,1,10,33
2020-05-14,Brussels,Brussels,15,330,71,46,6,5,37
2020-05-14,Hainaut,Wallonia,14,252,41,30,4,12,31
2020-05-14,Limburg,Flanders,7,134,30,16,1,3,14
2020-05-14,Liège,Wallonia,12,158,39,20,1,5,14
2020-05-14,Luxembourg,Wallonia,3,34,3,3,0,2,1
2020-05-14,Namur,Wallonia,6,86,15,8,3,4,3
2020-05-14,OostVlaanderen,Flanders,14,184,47,21,2,8,20
2020-05-14,VlaamsBrabant,Flanders,6,69,18,11,3,1,9
2020-05-14,BrabantWallon,Wallonia,2,17,4,2,0,0,2
2020-05-14,WestVlaanderen,Flanders,11,244,44,25,3,17,26
2020-05-15,Antwerpen,Flanders,14,337,66,43,0,10,24
2020-05-15,Brussels,Brussels,15,298,66,45,7,14,23
2020-05-15,Hainaut,Wallonia,14,236,38,22,2,7,24
2020-05-15,Limburg,Flanders,7,125,28,15,1,6,14
2020-05-15,Liège,Wallonia,12,141,37,22,1,5,16
2020-05-15,Luxembourg,Wallonia,3,31,3,3,0,1,4
2020-05-15,Namur,Wallonia,6,82,16,11,3,2,11
2020-05-15,OostVlaanderen,Flanders,14,173,46,20,2,4,14
2020-05-15,VlaamsBrabant,Flanders,6,74,17,10,3,3,5
2020-05-15,BrabantWallon,Wallonia,2,17,4,2,0,1,2
2020-05-15,WestVlaanderen,Flanders,11,236,43,26,3,12,22
2020-05-16,Antwerpen,Flanders,14,298,61,41,0,9,33
2020-05-16,Brussels,Brussels,15,301,64,42,5,12,27
2020-05-16,Hainaut,Wallonia,14,220,37,22,2,11,26
2020-05-16,Limburg,Flanders,7,116,28,14,1,4,13
2020-05-16,Liège,Wallonia,12,138,34,19,1,10,13
2020-05-16,Luxembourg,Wallonia,3,29,4,3,0,1,2
2020-05-16,Namur,Wallonia,6,79,14,7,3,2,7
2020-05-16,OostVlaanderen,Flanders,14,157,42,17,1,3,24
2020-05-16,VlaamsBrabant,Flanders,6,54,15,9,3,2,6
2020-05-16,BrabantWallon,Wallonia,2,14,4,3,0,0,3
2020-05-16,WestVlaanderen,Flanders,11,219,42,21,3,6,16
2020-05-17,Antwerpen,Flanders,14,296,67,38,0,2,4
2020-05-17,Brussels,Brussels,15,288,64,41,5,3,6
2020-05-17,Hainaut,Wallonia,14,227,37,22,2,6,1
2020-05-17,Limburg,Flanders,7,118,25,13,1,6,1
2020-05-17,Liège,Wallonia,12,136,35,18,1,2,0
2020-05-17,Luxembourg,Wallonia,3,30,3,3,0,1,0
2020-05-17,Namur,Wallonia,6,72,14,7,3,1,6
2020-05-17,OostVlaanderen,Flanders,14,154,38,16,1,9,5
2020-05-17,VlaamsBrabant,Flanders,6,54,14,9,3,2,1
2020-05-17,BrabantWallon,Wallonia,2,16,4,2,0,0,0
2020-05-17,WestVlaanderen,Flanders,11,223,41,21,1,11,3
2020-05-18,Antwerpen,Flanders,14,296,68,41,0,5,2
2020-05-18,Brussels,Brussels,15,281,66,42,6,12,16
2020-05-18,Hainaut,Wallonia,14,228,37,22,3,5,6
2020-05-18,Limburg,Flanders,7,122,28,13,1,4,0
2020-05-18,Liège,Wallonia,12,135,31,15,1,2,5
2020-05-18,Luxembourg,Wallonia,3,31,3,3,0,1,0
2020-05-18,Namur,Wallonia,6,72,13,6,3,3,0
2020-05-18,OostVlaanderen,Flanders,14,156,39,15,1,4,1
2020-05-18,VlaamsBrabant,Flanders,6,58,13,9,3,3,0
2020-05-18,BrabantWallon,Wallonia,2,16,4,3,0,0,0
2020-05-18,WestVlaanderen,Flanders,11,235,43,22,1,11,0
2020-05-19,Antwerpen,Flanders,14,275,58,34,0,8,27
2020-05-19,Brussels,Brussels,15,272,62,40,4,9,30
2020-05-19,Hainaut,Wallonia,14,213,32,16,2,6,23
2020-05-19,Limburg,Flanders,7,107,24,14,1,5,12
2020-05-19,Liège,Wallonia,12,131,29,13,1,2,16
2020-05-19,Luxembourg,Wallonia,3,28,3,3,0,0,1
2020-05-19,Namur,Wallonia,6,66,12,3,2,4,5
2020-05-19,OostVlaanderen,Flanders,14,142,34,13,2,6,18
2020-05-19,VlaamsBrabant,Flanders,6,48,15,9,2,5,12
2020-05-19,BrabantWallon,Wallonia,2,14,4,3,0,1,3
2020-05-19,WestVlaanderen,Flanders,11,231,40,21,0,12,13
2020-05-20,Antwerpen,Flanders,14,253,55,33,0,7,25
2020-05-20,Brussels,Brussels,15,268,51,33,5,10,30
2020-05-20,Hainaut,Wallonia,14,197,26,12,2,10,16
2020-05-20,Limburg,Flanders,7,109,21,14,0,10,5
2020-05-20,Liège,Wallonia,12,116,24,12,1,1,17
2020-05-20,Luxembourg,Wallonia,3,25,2,2,0,0,2
2020-05-20,Namur,Wallonia,6,68,12,4,2,7,5
2020-05-20,OostVlaanderen,Flanders,14,138,32,13,2,6,9
2020-05-20,VlaamsBrabant,Flanders,6,35,11,7,2,1,9
2020-05-20,BrabantWallon,Wallonia,2,13,3,3,0,2,0
2020-05-20,WestVlaanderen,Flanders,11,226,40,21,1,17,23
2020-05-21,Antwerpen,Flanders,14,230,49,29,0,4,23
2020-05-21,Brussels,Brussels,15,258,51,35,5,6,21
2020-05-21,Hainaut,Wallonia,14,182,21,12,2,2,19
2020-05-21,Limburg,Flanders,7,114,20,14,0,17,7
2020-05-21,Liège,Wallonia,12,117,24,11,1,5,12
2020-05-21,Luxembourg,Wallonia,3,24,2,2,0,0,5
2020-05-21,Namur,Wallonia,6,68,16,5,2,4,5
2020-05-21,OostVlaanderen,Flanders,14,132,30,12,1,5,19
2020-05-21,VlaamsBrabant,Flanders,6,31,12,6,3,0,2
2020-05-21,BrabantWallon,Wallonia,2,14,3,3,0,1,0
2020-05-21,WestVlaanderen,Flanders,11,218,40,18,1,12,22
2020-05-22,Antwerpen,Flanders,14,227,48,29,0,5,3
2020-05-22,Brussels,Brussels,15,264,56,42,6,6,12
2020-05-22,Hainaut,Wallonia,14,166,18,10,2,4,2
2020-05-22,Limburg,Flanders,7,104,20,15,0,3,2
2020-05-22,Liège,Wallonia,12,116,23,9,2,3,3
2020-05-22,Luxembourg,Wallonia,3,26,2,2,0,1,0
2020-05-22,Namur,Wallonia,6,65,11,6,2,0,2
2020-05-22,OostVlaanderen,Flanders,14,132,28,11,1,6,2
2020-05-22,VlaamsBrabant,Flanders,6,31,12,5,3,0,2
2020-05-22,BrabantWallon,Wallonia,2,14,3,3,0,0,0
2020-05-22,WestVlaanderen,Flanders,11,215,38,17,1,6,4
2020-05-23,Antwerpen,Flanders,14,219,48,27,0,5,18
2020-05-23,Brussels,Brussels,15,251,54,39,5,7,21
2020-05-23,Hainaut,Wallonia,14,161,16,9,2,6,15
2020-05-23,Limburg,Flanders,7,110,18,15,0,7,10
2020-05-23,Liège,Wallonia,12,106,23,10,2,6,18
2020-05-23,Luxembourg,Wallonia,3,20,2,2,0,0,5
2020-05-23,Namur,Wallonia,6,59,13,5,1,2,4
2020-05-23,OostVlaanderen,Flanders,14,118,29,10,1,4,15
2020-05-23,VlaamsBrabant,Flanders,6,35,11,5,3,4,0
2020-05-23,BrabantWallon,Wallonia,2,12,2,2,0,0,1
2020-05-23,WestVlaanderen,Flanders,11,205,40,19,1,7,10
2020-05-24,Antwerpen,Flanders,14,215,46,25,0,5,6
2020-05-24,Brussels,Brussels,15,255,55,38,5,4,5
2020-05-24,Hainaut,Wallonia,14,159,15,9,2,6,4
2020-05-24,Limburg,Flanders,7,107,19,14,0,2,2
2020-05-24,Liège,Wallonia,12,108,22,9,2,1,1
2020-05-24,Luxembourg,Wallonia,3,23,2,2,0,0,0
2020-05-24,Namur,Wallonia,6,59,11,5,1,1,0
2020-05-24,OostVlaanderen,Flanders,14,118,27,8,1,2,1
2020-05-24,VlaamsBrabant,Flanders,6,34,11,5,3,0,0
2020-05-24,BrabantWallon,Wallonia,2,11,2,2,0,0,1
2020-05-24,WestVlaanderen,Flanders,11,217,41,17,1,6,5
2020-05-25,Antwerpen,Flanders,14,219,44,27,0,8,2
2020-05-25,Brussels,Brussels,15,251,57,34,4,6,11
2020-05-25,Hainaut,Wallonia,14,155,15,9,1,3,2
2020-05-25,Limburg,Flanders,7,115,19,13,0,13,2
2020-05-25,Liège,Wallonia,12,107,22,9,2,1,1
2020-05-25,Luxembourg,Wallonia,3,24,2,1,0,0,0
2020-05-25,Namur,Wallonia,6,56,11,5,1,0,1
2020-05-25,OostVlaanderen,Flanders,14,118,26,7,1,1,1
2020-05-25,VlaamsBrabant,Flanders,6,32,11,4,3,1,0
2020-05-25,BrabantWallon,Wallonia,2,10,1,1,0,0,1
2020-05-25,WestVlaanderen,Flanders,11,217,41,19,1,6,2
2020-05-26,Antwerpen,Flanders,14,186,38,22,0,4,13
2020-05-26,Brussels,Brussels,15,240,51,31,3,5,15
2020-05-26,Hainaut,Wallonia,14,133,15,9,1,4,29
2020-05-26,Limburg,Flanders,7,93,18,11,0,0,6
2020-05-26,Liège,Wallonia,12,104,20,10,2,6,10
2020-05-26,Luxembourg,Wallonia,3,27,1,0,0,5,2
2020-05-26,Namur,Wallonia,6,36,9,4,1,1,20
2020-05-26,OostVlaanderen,Flanders,14,104,27,7,1,5,16
2020-05-26,VlaamsBrabant,Flanders,6,28,10,4,3,0,3
2020-05-26,BrabantWallon,Wallonia,2,6,1,1,0,0,2
2020-05-26,WestVlaanderen,Flanders,11,193,33,15,1,6,29
2020-05-27,Antwerpen,Flanders,14,174,39,21,1,5,16
2020-05-27,Brussels,Brussels,15,207,45,22,2,9,16
2020-05-27,Hainaut,Wallonia,14,111,10,6,1,3,20
2020-05-27,Limburg,Flanders,7,86,19,13,0,6,12
2020-05-27,Liège,Wallonia,12,97,20,10,2,3,7
2020-05-27,Luxembourg,Wallonia,3,25,2,1,0,3,3
2020-05-27,Namur,Wallonia,6,37,10,5,1,2,2
2020-05-27,OostVlaanderen,Flanders,14,97,26,6,1,5,12
2020-05-27,VlaamsBrabant,Flanders,6,28,7,4,3,3,4
2020-05-27,BrabantWallon,Wallonia,2,5,1,0,0,0,1
2020-05-27,WestVlaanderen,Flanders,11,183,30,13,1,10,15
2020-05-28,Antwerpen,Flanders,14,145,38,19,1,4,24
2020-05-28,Brussels,Brussels,15,197,40,18,3,2,13
2020-05-28,Hainaut,Wallonia,14,98,8,6,1,2,12
2020-05-28,Limburg,Flanders,7,77,16,13,0,5,8
2020-05-28,Liège,Wallonia,12,92,19,8,2,4,5
2020-05-28,Luxembourg,Wallonia,3,17,3,1,0,0,6
2020-05-28,Namur,Wallonia,6,32,8,4,1,0,6
2020-05-28,OostVlaanderen,Flanders,14,94,26,7,1,3,7
2020-05-28,VlaamsBrabant,Flanders,6,25,6,4,3,0,4
2020-05-28,BrabantWallon,Wallonia,2,5,1,0,0,0,0
2020-05-28,WestVlaanderen,Flanders,11,157,22,10,0,7,24
2020-05-29,Antwerpen,Flanders,14,134,37,20,1,5,17
2020-05-29,Brussels,Brussels,15,189,38,18,2,5,19
2020-05-29,Hainaut,Wallonia,14,93,9,6,1,5,15
2020-05-29,Limburg,Flanders,7,72,17,10,0,3,5
2020-05-29,Liège,Wallonia,12,91,13,8,2,4,11
2020-05-29,Luxembourg,Wallonia,3,13,2,1,0,0,3
2020-05-29,Namur,Wallonia,6,28,5,2,1,1,3
2020-05-29,OostVlaanderen,Flanders,14,97,25,7,1,3,1
2020-05-29,VlaamsBrabant,Flanders,6,23,6,4,3,0,2
2020-05-29,BrabantWallon,Wallonia,2,3,1,0,0,0,0
2020-05-29,WestVlaanderen,Flanders,11,149,20,9,0,3,11
2020-05-30,Antwerpen,Flanders,14,117,36,16,1,8,23
2020-05-30,Brussels,Brussels,15,186,39,21,3,3,12
2020-05-30,Hainaut,Wallonia,14,85,8,5,1,7,19
2020-05-30,Limburg,Flanders,7,71,16,11,0,5,8
2020-05-30,Liège,Wallonia,12,81,12,7,2,2,14
2020-05-30,Luxembourg,Wallonia,3,12,2,1,0,0,1
2020-05-30,Namur,Wallonia,6,25,5,3,0,1,1
2020-05-30,OostVlaanderen,Flanders,14,89,24,7,1,2,13
2020-05-30,VlaamsBrabant,Flanders,6,18,2,1,0,0,1
2020-05-30,BrabantWallon,Wallonia,2,2,1,0,0,0,1
2020-05-30,WestVlaanderen,Flanders,11,137,23,12,0,12,25
2020-05-31,Antwerpen,Flanders,14,118,37,18,1,6,5
2020-05-31,Brussels,Brussels,15,179,40,21,3,3,7
2020-05-31,Hainaut,Wallonia,14,85,9,5,1,0,0
2020-05-31,Limburg,Flanders,7,68,15,10,0,2,5
2020-05-31,Liège,Wallonia,12,84,12,7,2,2,4
2020-05-31,Luxembourg,Wallonia,3,13,2,1,0,1,0
2020-05-31,Namur,Wallonia,6,22,4,3,0,1,1
2020-05-31,OostVlaanderen,Flanders,14,92,20,6,1,4,3
2020-05-31,VlaamsBrabant,Flanders,6,17,2,1,0,1,0
2020-05-31,BrabantWallon,Wallonia,2,2,1,0,0,0,0
2020-05-31,WestVlaanderen,Flanders,11,138,22,11,0,5,8
2020-06-01,Antwerpen,Flanders,14,116,34,15,1,2,2
2020-06-01,Brussels,Brussels,15,184,42,23,3,7,3
2020-06-01,Hainaut,Wallonia,14,84,8,5,1,3,2
2020-06-01,Limburg,Flanders,7,68,16,11,0,3,1
2020-06-01,Liège,Wallonia,12,80,12,8,2,1,0
2020-06-01,Luxembourg,Wallonia,3,14,3,1,0,1,0
2020-06-01,Namur,Wallonia,6,22,4,3,0,0,0
2020-06-01,OostVlaanderen,Flanders,14,93,20,7,1,2,4
2020-06-01,VlaamsBrabant,Flanders,6,16,2,1,0,0,1
2020-06-01,BrabantWallon,Wallonia,2,2,1,0,0,0,0
2020-06-01,WestVlaanderen,Flanders,11,142,24,12,0,7,1
2020-06-02,Antwerpen,Flanders,14,112,33,13,1,2,3
2020-06-02,Brussels,Brussels,15,190,47,22,3,8,2
2020-06-02,Hainaut,Wallonia,14,81,8,3,1,2,2
2020-06-02,Limburg,Flanders,7,71,17,7,0,4,3
2020-06-02,Liège,Wallonia,12,78,14,9,2,3,4
2020-06-02,Luxembourg,Wallonia,3,12,3,1,0,0,1
2020-06-02,Namur,Wallonia,6,24,5,3,0,2,0
2020-06-02,OostVlaanderen,Flanders,14,93,17,5,1,1,3
2020-06-02,VlaamsBrabant,Flanders,6,15,2,1,0,0,0
2020-06-02,BrabantWallon,Wallonia,2,3,1,0,0,2,0
2020-06-02,WestVlaanderen,Flanders,11,142,25,15,0,7,7
2020-06-03,Antwerpen,Flanders,14,112,30,13,1,6,7
2020-06-03,Brussels,Brussels,15,158,33,18,3,1,21
2020-06-03,Hainaut,Wallonia,14,69,7,3,1,4,15
2020-06-03,Limburg,Flanders,7,66,16,8,0,3,7
2020-06-03,Liège,Wallonia,12,70,14,8,2,2,14
2020-06-03,Luxembourg,Wallonia,3,11,0,0,0,1,1
2020-06-03,Namur,Wallonia,6,22,4,3,0,1,0
2020-06-03,OostVlaanderen,Flanders,14,84,14,5,1,2,11
2020-06-03,VlaamsBrabant,Flanders,6,16,3,1,0,1,1
2020-06-03,BrabantWallon,Wallonia,2,2,0,0,0,0,0
2020-06-03,WestVlaanderen,Flanders,11,129,24,15,0,0,12
2020-06-04,Antwerpen,Flanders,14,105,28,16,1,3,7
2020-06-04,Brussels,Brussels,15,139,36,18,3,7,22
2020-06-04,Hainaut,Wallonia,14,64,6,4,1,4,8
2020-06-04,Limburg,Flanders,7,63,13,7,0,4,7
2020-06-04,Liège,Wallonia,12,68,12,6,2,2,2
2020-06-04,Luxembourg,Wallonia,3,10,0,0,0,1,0
2020-06-04,Namur,Wallonia,6,24,4,2,0,2,0
2020-06-04,OostVlaanderen,Flanders,14,83,13,5,1,2,7
2020-06-04,VlaamsBrabant,Flanders,6,18,3,2,0,1,0
2020-06-04,BrabantWallon,Wallonia,2,3,0,0,0,2,0
2020-06-04,WestVlaanderen,Flanders,11,125,22,13,0,4,11
2020-06-05,Antwerpen,Flanders,14,95,25,17,1,7,11
2020-06-05,Brussels,Brussels,15,134,32,21,3,5,10
2020-06-05,Hainaut,Wallonia,14,57,5,3,1,1,9
2020-06-05,Limburg,Flanders,7,58,12,4,0,2,5
2020-06-05,Liège,Wallonia,13,60,10,5,1,2,9
2020-06-05,Luxembourg,Wallonia,3,10,0,0,0,0,0
2020-06-05,Namur,Wallonia,6,19,3,2,0,0,6
2020-06-05,OostVlaanderen,Flanders,13,80,12,5,1,4,10
2020-06-05,VlaamsBrabant,Flanders,6,16,2,2,0,2,3
2020-06-05,BrabantWallon,Wallonia,2,3,0,0,0,0,0
2020-06-05,WestVlaanderen,Flanders,11,115,20,12,0,3,15
2020-06-06,Antwerpen,Flanders,14,86,22,17,1,0,19
2020-06-06,Brussels,Brussels,15,126,30,19,3,4,10
2020-06-06,Hainaut,Wallonia,14,45,4,2,1,1,15
2020-06-06,Limburg,Flanders,7,51,11,7,0,3,9
2020-06-06,Liège,Wallonia,12,49,9,5,1,2,12
2020-06-06,Luxembourg,Wallonia,3,10,0,0,0,0,0
2020-06-06,Namur,Wallonia,6,19,3,2,0,1,2
2020-06-06,OostVlaanderen,Flanders,14,66,11,5,1,3,14
2020-06-06,VlaamsBrabant,Flanders,6,16,2,1,0,1,0
2020-06-06,BrabantWallon,Wallonia,2,2,0,0,0,0,1
2020-06-06,WestVlaanderen,Flanders,11,103,19,11,0,6,19
2020-06-07,Antwerpen,Flanders,14,80,21,16,1,1,3
2020-06-07,Brussels,Brussels,15,140,32,17,3,11,4
2020-06-07,Hainaut,Wallonia,14,43,2,2,1,3,4
2020-06-07,Limburg,Flanders,7,50,12,7,0,3,2
2020-06-07,Liège,Wallonia,12,47,9,5,1,0,3
2020-06-07,Luxembourg,Wallonia,3,10,0,0,0,0,0
2020-06-07,Namur,Wallonia,6,17,3,2,0,2,2
2020-06-07,OostVlaanderen,Flanders,14,67,12,6,1,1,2
2020-06-07,VlaamsBrabant,Flanders,6,18,6,4,2,1,2
2020-06-07,BrabantWallon,Wallonia,2,2,0,0,0,0,0
2020-06-07,WestVlaanderen,Flanders,11,102,19,11,0,1,2
2020-06-08,Antwerpen,Flanders,14,80,22,12,1,1,1
2020-06-08,Brussels,Brussels,15,139,32,14,2,2,3
2020-06-08,Hainaut,Wallonia,14,46,3,2,1,5,1
2020-06-08,Limburg,Flanders,7,52,11,8,0,4,0
2020-06-08,Liège,Wallonia,12,52,9,6,1,1,0
2020-06-08,Luxembourg,Wallonia,3,9,0,0,0,0,0
2020-06-08,Namur,Wallonia,6,17,3,2,0,1,0
2020-06-08,OostVlaanderen,Flanders,14,64,11,6,2,1,1
2020-06-08,VlaamsBrabant,Flanders,6,18,6,4,2,0,0
2020-06-08,BrabantWallon,Wallonia,2,3,0,0,0,0,0
2020-06-08,WestVlaanderen,Flanders,11,95,18,12,0,1,3
2020-06-09,Antwerpen,Flanders,14,64,18,9,1,4,7
2020-06-09,Brussels,Brussels,15,131,27,15,3,5,13
2020-06-09,Hainaut,Wallonia,14,42,3,2,1,4,9
2020-06-09,Limburg,Flanders,7,50,11,6,0,5,5
2020-06-09,Liège,Wallonia,12,51,8,4,1,0,5
2020-06-09,Luxembourg,Wallonia,3,9,0,0,0,0,0
2020-06-09,Namur,Wallonia,6,16,3,1,0,0,1
2020-06-09,OostVlaanderen,Flanders,14,54,10,5,2,1,13
2020-06-09,VlaamsBrabant,Flanders,6,17,5,4,2,1,1
2020-06-09,BrabantWallon,Wallonia,2,3,0,0,0,0,0
2020-06-09,WestVlaanderen,Flanders,11,90,17,11,0,4,14
2020-06-10,Antwerpen,Flanders,14,61,19,8,1,5,5
2020-06-10,Brussels,Brussels,15,122,32,15,3,5,10
2020-06-10,Hainaut,Wallonia,14,41,3,2,1,2,8
2020-06-10,Limburg,Flanders,7,47,10,5,0,3,4
2020-06-10,Liège,Wallonia,12,46,8,3,1,1,9
2020-06-10,Luxembourg,Wallonia,3,7,0,0,0,0,1
2020-06-10,Namur,Wallonia,6,15,2,1,0,0,1
2020-06-10,OostVlaanderen,Flanders,14,50,10,5,2,1,5
2020-06-10,VlaamsBrabant,Flanders,6,17,4,4,2,1,1
2020-06-10,BrabantWallon,Wallonia,2,2,0,0,0,0,1
2020-06-10,WestVlaanderen,Flanders,11,76,11,9,0,1,16
2020-06-11,Antwerpen,Flanders,14,62,19,6,1,5,5
2020-06-11,Brussels,Brussels,15,125,24,15,3,5,6
2020-06-11,Hainaut,Wallonia,14,41,3,2,1,6,9
2020-06-11,Limburg,Flanders,7,49,8,3,0,7,4
2020-06-11,Liège,Wallonia,12,40,6,3,0,0,6
2020-06-11,Luxembourg,Wallonia,3,9,0,0,0,1,0
2020-06-11,Namur,Wallonia,6,13,2,0,0,0,1
2020-06-11,OostVlaanderen,Flanders,14,50,11,4,0,4,4
2020-06-11,VlaamsBrabant,Flanders,6,16,4,4,2,0,1
2020-06-11,BrabantWallon,Wallonia,2,3,0,0,0,0,0
2020-06-11,WestVlaanderen,Flanders,11,71,12,9,0,4,9
2020-06-12,Antwerpen,Flanders,14,51,16,5,1,3,8
2020-06-12,Brussels,Brussels,15,109,23,14,4,4,8
2020-06-12,Hainaut,Wallonia,14,38,4,3,1,7,6
2020-06-12,Limburg,Flanders,7,40,8,3,0,0,8
2020-06-12,Liège,Wallonia,12,34,7,3,0,0,7
2020-06-12,Luxembourg,Wallonia,3,7,0,0,0,1,0
2020-06-12,Namur,Wallonia,6,11,2,0,0,1,3
2020-06-12,OostVlaanderen,Flanders,14,46,11,4,0,1,3
2020-06-12,VlaamsBrabant,Flanders,6,19,4,4,2,4,1
2020-06-12,BrabantWallon,Wallonia,2,4,0,0,0,0,0
2020-06-12,WestVlaanderen,Flanders,11,66,13,7,1,2,7
2020-06-13,Antwerpen,Flanders,14,45,13,5,1,2,5
2020-06-13,Brussels,Brussels,15,101,23,13,3,3,14
2020-06-13,Hainaut,Wallonia,14,32,5,4,1,5,2
2020-06-13,Limburg,Flanders,7,33,7,3,0,0,8
2020-06-13,Liège,Wallonia,12,30,6,3,0,0,5
2020-06-13,Luxembourg,Wallonia,3,7,0,0,0,0,0
2020-06-13,Namur,Wallonia,6,11,2,0,0,0,0
2020-06-13,OostVlaanderen,Flanders,14,44,9,4,0,0,2
2020-06-13,VlaamsBrabant,Flanders,6,19,4,4,2,0,1
2020-06-13,BrabantWallon,Wallonia,2,4,0,0,0,0,0
2020-06-13,WestVlaanderen,Flanders,11,69,13,8,0,2,5
2020-06-14,Antwerpen,Flanders,14,47,14,5,1,4,5
2020-06-14,Brussels,Brussels,15,102,25,14,3,4,4
2020-06-14,Hainaut,Wallonia,14,33,5,3,1,2,1
2020-06-14,Limburg,Flanders,7,36,8,4,0,2,0
2020-06-14,Liège,Wallonia,12,30,5,2,0,1,2
2020-06-14,Luxembourg,Wallonia,3,8,0,0,0,0,0
2020-06-14,Namur,Wallonia,6,12,2,0,0,1,0
2020-06-14,OostVlaanderen,Flanders,14,43,8,3,0,1,2
2020-06-14,VlaamsBrabant,Flanders,6,18,4,4,2,0,1
2020-06-14,BrabantWallon,Wallonia,2,4,0,0,0,0,0
2020-06-14,WestVlaanderen,Flanders,11,67,14,8,0,2,6
2020-06-15,Antwerpen,Flanders,17,50,16,7,1,0,2
2020-06-15,Brussels,Brussels,16,104,26,12,3,4,3
2020-06-15,Hainaut,Wallonia,13,30,2,2,1,1,2
2020-06-15,Limburg,Flanders,7,36,6,3,0,1,1
2020-06-15,Liège,Wallonia,12,31,3,0,0,1,2
2020-06-15,Luxembourg,Wallonia,5,8,0,0,0,0,0
2020-06-15,Namur,Wallonia,4,12,1,0,0,0,0
2020-06-15,OostVlaanderen,Flanders,11,38,5,1,0,2,0
2020-06-15,VlaamsBrabant,Flanders,4,17,4,4,2,0,1
2020-06-15,BrabantWallon,Wallonia,2,4,0,0,0,0,0
