NIS,area
10000,2876120659.81
20001,2118348301.85
20002,1097179855.32
30000,3196576058.75
40000,3007075802.27
50000,3813035462.28
60000,3857112494.38
70000,2427428794.84
80000,4459250150.65
90000,3674821908.1
