"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
0.0223877473317522,0.00512851854445178,0,0.0189516643150034,0.0036184712700089,0.00158308118062889,0.00404551427450299,0.00350906824883818,0,0
0.00999124011899227,0.0567376344774045,0,0.00672692992770033,0.0199824802379845,0,0,0,0,0
0,0,0,0.0027182063264305,0,0.00556035689016549,0.00663026969862063,0,0,0
0.0197855324648665,0.00360487180167401,0.0017823454775987,0.0126937074527654,0.00443521700721479,0.00400914034511656,0,0.0047145914719026,0,0
0.00350559966819481,0.00993708755228939,0,0.00411577549542181,0.0046245957135144,0,0.00762155581507929,0,0,0
0.00147319623622486,0,0.00324989376387003,0.00357361931606075,0,0,0.00427699246959771,0.00237154386466404,0,0
0.00447627391384557,0,0.00460768937016864,0,0.00870461085278772,0.00508538675245384,0,0,0.00314361138704062,0.00297060052673274
0.00559951557290508,0,0,0.00720613378816523,0,0.00406660873488626,0,0.00624363010711368,0.0149440863209895,0
0,0,0,0,0,0,0.00581910854687038,0.0191814417427294,0,0
0,0,0,0,0,0,0.0161497298483395,0,0,0
