"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
0.0398362633631994,0.00960220337368385,0.00286973355223865,0.0252463533533551,0.0300169012407471,0.0211746753524677,0.0183256723392426,0.0070759643931499,0,0
0.0187067510327446,0.164161263392921,0.048407813834093,0,0.0585004977767675,0.00700789429653102,0,0.011745363065403,0.00624452507437017,0
0.0045691192508682,0.0395620621674567,0.0924253617378599,0.0845842722826568,0.0308480304771668,0.036465390001033,0,0.00400079849164424,0,0.00263564989978194
0.0263571861336131,0,0.0554624546757434,0.0631849124051513,0.0618502393622544,0.0650165458681323,0.0531607542649109,0.0373217739008529,0.0155543027174131,0.00518463808328193
0.029080578835034,0.0290917124069121,0.0187704080597854,0.0573955455029693,0.0594243708592955,0.0386392290277464,0.0221977553766856,0.0223880597087264,0.0365620506292515,0.00368621383365984
0.0197048972688478,0.00334747614515188,0.0213131361713579,0.0579536669153827,0.037114932621821,0.0596996505745781,0.0493551012303261,0.0366584124437722,0.0372499614837065,0.00467141199806602
0.0202769594864206,0,0,0.0563421821535647,0.0253521494885772,0.0586837081773788,0.0734873656282002,0.0783969100142773,0.044029821960722,0.00536098627612707
0.0112913086902437,0.00962049950371157,0.00400972328013707,0.057045387186573,0.0368754991724643,0.0628600729137371,0.113061481253121,0.125531531531189,0.0645558628624371,0.0167562650442267
0,0.00656511698109712,0,0.0305155134117638,0.0772972203573368,0.0819858559077845,0.0815031763611269,0.0828605038842869,0.0673866827412232,0.00455332390794337
0,0,0.00995773875357729,0.0298732162607319,0.0228879691110859,0.0301963660757204,0.0291451103239831,0.0631658731577913,0.0133727876578753,0
