Date,mean incidence new hospitalisations (including estimated transfers) – current behaviour,P5 incidence new hospitalisations (including estimated transfers) – current behaviour,P95 incidence new hospitalisations (including estimated transfers) – current behaviour,mean hospital load – current behaviour,P5 hospital load (including estimated transfers) – current behaviour,P95 hospital load – current behaviour,mean incidence new hospitalisations (including estimated transfers) – -10 % leisure scenario,P5 incidence new hospitalisations (including estimated transfers) –  -10 % leisure scenario,P95 incidence new hospitalisations (including estimated transfers) –  -10 % leisure scenario,mean hospital load –  -10 % leisure scenario,P5 hospital load (including estimated transfers) –  -10 % leisure scenario,P95 hospital load –  -10 % leisure scenario
24/02/21,83.35,25.76,245.64,1392.47,523.14,3337.71,71.83,24.12,176.9,1016.88,420.72,2208.14
25/02/21,80.46,24.68,239.83,1349.63,501.78,3271.54,70.1,23.37,174.61,993.43,407.12,2179.07
26/02/21,77.61,23.59,233.83,1307.85,480.43,3208.87,68.54,22.56,171.92,972.28,392.7,2151.54
27/02/21,74.94,22.57,227.96,1269.58,459.88,3142.11,67.26,21.7,169.04,953.57,379.73,2122.38
28/02/21,72.3,21.58,222.22,1229.59,439.73,3071.89,65.69,20.87,165.79,935.37,367.64,2092.62
01/03/21,69.62,20.61,216.52,1190.61,420,3006.42,63.96,20.05,162.64,910.44,354.17,2070.51
02/03/21,67.03,19.66,210.82,1151.67,401.8,2935.16,62.41,19.28,160.05,889.61,342.23,2043.94
03/03/21,64.65,18.74,205.33,1113.41,385.71,2870.17,60.56,18.47,157.23,865.95,331.79,2007.62
04/03/21,62.24,17.84,199.78,1075.65,367.97,2807.36,58.71,17.69,153.92,843.54,319.3,1977.91
05/03/21,59.89,16.98,194.01,1038.31,351.4,2756.11,56.82,16.94,150.73,825.01,307.42,1942.04
06/03/21,57.56,16.15,188.67,1000.86,336.59,2692.27,54.96,16.21,147.78,803.67,297.55,1908.14
07/03/21,55.36,15.34,183.84,966.1,321.4,2624.18,53.25,15.56,144.46,784.25,286.78,1875.27
08/03/21,53.08,14.59,178.46,930.28,307.34,2558.71,51.64,14.89,141.23,763.71,275.79,1841.64
09/03/21,50.84,13.87,173.36,897.09,293.45,2493.66,49.98,14.17,138.52,741.78,265.59,1811.71
10/03/21,48.88,13.23,168.26,864.06,280.1,2426.75,48.4,13.57,136.19,721.44,255.53,1782.55
11/03/21,47.01,12.57,164.01,833.61,267.43,2364.55,47.04,12.97,133.35,704.47,246.35,1749.48
12/03/21,45.13,11.95,159.16,802.06,255.38,2308.64,45.65,12.36,130.68,687.65,237.65,1715.89
13/03/21,43.31,11.37,154.6,771.59,243.84,2243.64,44.25,11.83,127.55,670.46,228.48,1688.66
14/03/21,41.57,10.82,150.3,744.33,232.81,2187.84,42.88,11.3,125.14,652.09,219.5,1660.56
15/03/21,39.93,10.29,146.29,717.44,222.15,2133.28,41.71,10.78,122.6,635.22,209.79,1628.01
16/03/21,38.31,9.79,142.09,690.34,211.69,2079.86,40.41,10.28,120.48,617.61,201.44,1596.54
17/03/21,36.83,9.31,138.06,665.42,201.65,2029.81,39.13,9.83,118.15,600.59,193.44,1569.96
18/03/21,35.31,8.88,134.3,640.98,192.08,1984.83,38.15,9.41,115.92,586.17,185.6,1543.72
19/03/21,33.83,8.45,130.44,617.51,183.22,1930.53,37.06,9.05,113.59,570.09,177.93,1518.15
20/03/21,32.51,8.03,127.21,594.5,174.55,1876.58,36.08,8.64,111.47,555.76,170.94,1492.46
21/03/21,31.23,7.64,123.79,573.87,166.31,1833.03,35.1,8.29,109.41,539.57,164.1,1464.76
22/03/21,30.08,7.27,120.46,551.64,158.4,1785.19,34.26,7.93,107.08,526.12,157.45,1434.06
23/03/21,29.02,6.92,117.26,530.6,150.88,1748.6,33.37,7.61,105,512.25,151.06,1406.08
24/03/21,27.88,6.6,114.11,508.94,143.69,1699.4,32.32,7.32,103.07,497.94,144.92,1377.72
25/03/21,26.82,6.29,111.01,489.35,136.9,1657.47,31.4,6.96,101.07,482.94,138.95,1350.45
26/03/21,25.81,6.01,108.02,472.24,130.71,1615.8,30.64,6.68,99.52,468.78,133.13,1323.33
27/03/21,24.8,5.74,105.41,455.24,124.68,1577.43,29.8,6.42,97.83,457.02,127.56,1297.25
28/03/21,23.82,5.46,103.05,437.85,118.85,1537.78,28.98,6.16,96.4,444.45,122.25,1275.12
29/03/21,22.96,5.2,100.21,420.96,113.22,1496.39,28.27,5.91,95,432.31,117.64,1250.67
30/03/21,22.09,4.96,97.59,404.67,107.96,1451.26,27.59,5.68,93.61,420.71,112.97,1229.82
31/03/21,21.27,4.73,95.73,389.1,102.94,1413.33,26.99,5.46,92.03,409.15,108.4,1209.86
