,Prediction,,95% confidence band,
Date,ML,PE,Lower Bound,Upper Bound
28/11/20,"2655,47979198941","2237,22381198254","2125,36262138341","2932,21417263243"
29/11/20,"2398,55783504192","2067,83855145872","1964,44662388578","2651,80189739243"
30/11/20,"2219,3166399462","1955,48380148752","1802,24458074891","2456,88344009257"
01/12/20,"2167,21110613104","1949,29699685357","1716,61433950942","2402,64172219766"
02/12/20,"2209,93820288356","2026,64575467298","1705,66133893294","2453,517573067"
03/12/20,"2252,28286825023","2105,0226370777","1693,51866864439","2506,00845498416"
04/12/20,"2200,85282530389","2092,26922512172","1609,39880122409","2452,25268530847"
05/12/20,"2038,5321244453","1969,01585840683","1448,43055293814","2274,66971901611"
06/12/20,"1843,91504390133","1807,61555467556","1271,90596023018","2060,56852261335"
07/12/20,"1708,9559275216","1698,08693439235","1143,18883075649","1912,19632749706"
08/12/20,"1672,34488289357","1681,76538090636","1083,56042836718","1872,8241410622"
09/12/20,"1689,2900645128","1737,44910995408","1071,67421896147","1915,38563522476"
10/12/20,"1704,64712519144","1793,50933396897","1059,40835444105","1959,28683043782"
11/12/20,"1646,45306891426","1771,92100625992","1002,70037933879","1920,25742934254"
12/12/20,"1506,04941675259","1657,77550991435","899,057229261033","1784,11632972053"
13/12/20,"1344,19088890138","1513,23232107597","786,820425814995","1618,74552641409"
14/12/20,"1227,97555992573","1413,70988325078","705,03779288034","1504,43741310704"
15/12/20,"1182,99878897236","1392,65533069015","666,422302532342","1475,50790815239"
16/12/20,"1189,15586897668","1431,3377298508","657,450933173522","1511,35142121798"
17/12/20,"1194,70723408738","1470,13588846891","648,380701960173","1548,39342966716"
18/12/20,"1149,10859393445","1445,41178787726","612,245089428065","1519,54098599563"
19/12/20,"1046,96582669954","1345,96202701667","547,704751048285","1413,39822044436"
20/12/20,"930,970027723411","1223,02407239431","478,257790068406","1284,17527601402"
21/12/20,"847,51383988966","1137,54741076522","427,619688027584","1194,42478130348"
22/12/20,"813,809475808702","1115,81025531666","403,367618812781","1171,60076808249"
23/12/20,"815,553103629029","1142,05277276186","397,184607747766","1199,15541139996"
24/12/20,"817,021910785767","1168,31300806131","391,059317426123","1226,72865846437"
25/12/20,"783,718661893869","1144,22543647244","368,771841512139","1201,43670829606"
26/12/20,"712,207364819694","1061,52844809584","329,55159384742","1114,60487050063"
27/12/20,"631,717003741503","961,109214348726","287,52895958544","1009,16467506616"
28/12/20,"573,696256640181","890,851258764586","256,909180476305","935,393821702815"
29/12/20,"549,593393043635","870,926080640989","242,176586263783","914,472384673038"
30/12/20,"549,531573292145","888,560549975243","238,271490965184","932,988577474005"
31/12/20,"549,339517792504","906,197680134108","234,374502060301","951,507564140813"
01/01/21,"525,885670304925","884,890283145897","220,788779614498","929,134797303192"
02/01/21,"477,018588300997","818,599379015986","197,093361213811","859,529347966786"
03/01/21,"422,404414174637","739,127797606097","171,774558471582","776,084187486401"
04/01/21,"383,03850964365","683,285217874146","153,325844504964","717,449478767854"
