NIS,Province
10000,Antwerpen
20001,Vlaams-Brabant
20002,Waals-Brabant
30000,West-Vlaanderen
40000,Oost-Vlaanderen
50000,Henegouwen
60000,Luik
70000,Limburg
80000,Luxemburg
90000,Namen
