,reduction (data),reduction (model),QALY loss (data),QALY loss (model)
00,-59.15455694159165,-58.48065230710928,"11608, (8854; 16646)","11476, (8753; 16456)"
01,-18.373306718836513,-21.26321420966032,"7200, (4551; 17229)","8332, (5267; 19938)"
02,13.722382686184908,-10.783251006495941,"-661, (-495; -1008)","520, (389; 792)"
03,-23.858954032968562,-26.788656094693508,"6970, (5221; 10629)","7825, (5862; 11934)"
04,32.06182995061775,33.217934668091885,"-15576, (-10091; -33155)","-16138, (-10455; -34351)"
05,-14.920418366742116,-21.17227878538315,"8399, (4993; 26794)","11919, (7085; 38021)"
06,-4.1725170626843,-10.253718378397314,"1112, (860; 1583)","2732, (2113; 3891)"
07,11.184466055572596,-0.43162192449164305,"-2423, (-1848; -3475)","94, (71; 134)"
08,-8.36507579134398,-17.93442912812404,"4571, (3620; 6230)","9801, (7761; 13356)"
09,-20.25282595939175,-26.058036410245023,"5277, (3564; 10157)","6789, (4586; 13069)"
10,-4.052032362999647,1.1053099055920335,"551, (360; 1160)","-150, (-98; -316)"
11,-3.517159846496687,-5.441224601506544,"462, (362; 640)","715, (559; 990)"
12,-7.830591291160571,-12.508461453779528,"272, (213; 376)","434, (339; 601)"
13,-25.63771502972787,-28.13174930167699,"903, (706; 1250)","991, (775; 1372)"
14,-8.529342335472801,-12.060864285528329,"952, (658; 1711)","1346, (931; 2420)"
15,-6.045444829592372,-2.2624216448017376,"165, (114; 296)","62, (43; 111)"
16,-5.729487577858405,0.5724149485706542,"188, (49; 0)","-19, (-5; -0)"
17,-9.198325663534835,0.9023463010447319,"1141, (715; 2783)","-112, (-70; -273)"
18,-10.893068511994342,-0.3443289214349332,"1950, (1391; 3261)","62, (44; 103)"
19,-21.880712287833493,-22.834592911321593,"2499, (1839; 3902)","2608, (1919; 4072)"
20,-21.315082604914583,-1.6303199175168093,"866, (637; 1352)","66, (49; 103)"
21,-16.73536197959613,-26.173326665823758,"1200, (915; 1720)","1876, (1431; 2690)"
22,-41.02228675814546,-4.241055060513721,"433, (330; 621)","45, (34; 64)"
23,-15.96046747800468,-24.76139097295792,"2777, (2118; 3982)","4308, (3286; 6178)"
24,-34.77784785177091,-41.49171202669819,"207, (158; 296)","247, (188; 354)"
25,-26.488546931762112,-5.152964780064906,"882, (673; 1265)","172, (131; 246)"
AA,-10.344507159873196,-18.36841912520465,"0, (0; 0)","0, (0; 0)"
PP,5.780837393638838,-3.290192181662499,"-755, (-576; -1083)","430, (328; 616)"
