disease_group,model,reduction,QALY
22,data,40.12 (32.75;51.54),1444 (899;2660)
23,queuing_model,5.13 (4.62;5.65),3048 (2092;4808)
23,constrained_PI,4.33 (4.20;4.45),2568 (1901;3791)
23,PI,5.04 (4.93;5.14),2991 (2234;4379)
23,data,4.06 (3.61;4.64),2410 (1635;3953)
24,queuing_model,26.03 (24.44;27.62),528 (378;803)
24,constrained_PI,6.01 (4.99;7.03),122 (77;204)
24,PI,8.94 (8.54;9.33),181 (132;271)
24,data,47.12 (34.89;70.62),955 (540;2053)
25,queuing_model,19.69 (18.47;20.91),2237 (1601;3407)
25,constrained_PI,10.94 (10.67;11.22),1244 (925;1828)
25,PI,12.35 (12.24;12.46),1404 (1061;2030)
25,data,19.07 (15.45;25.01),2167 (1339;4075)
AA,queuing_model,3.26 (2.69;3.84),nan (nan;nan)
AA,constrained_PI,3.01 (2.82;3.21),nan (nan;nan)
AA,PI,5.83 (5.79;5.88),nan (nan;nan)
AA,data,0.94 (0.87;1.02),nan (nan;nan)
PP,queuing_model,-1.12 (-1.17;-1.06),-497 (-397;-680)
PP,constrained_PI,-11.65 (-12.12;-11.19),-5194 (-4119;-7154)
PP,PI,-8.35 (-8.44;-8.26),-3721 (-2868;-5282)
PP,data,-10.13 (-8.85;-11.78),-4515 (-3008;-7530)
total,queuing_model,5.79 (5.28;6.30),82685 (57307;144560)
total,constrained_PI,1.96 (1.44;2.48),5345 (-3001;28002)
total,PI,5.03 (4.93;5.12),67285 (49383;116528)
total,data,6.54 (7.38;5.86),94976 (62073;188635)
total (no negatives),queuing_model,7.61 (7.14;8.08),134278 (92180;249481)
total (no negatives),constrained_PI,5.36 (5.06;5.66),82944 (55179;165572)
total (no negatives),PI,7.23 (7.15;7.31),122464 (86867;225205)
total (no negatives),data,10.35 (11.62;9.32),162333 (102630;338160)
