,reduction (data),reduction (model),QALY loss data (mean),QALY loss data (lower),QALY loss data (upper),QALY loss model (mean),QALY loss model (lower),QALY loss model (upper)
00,-59.15455694159165,-58.486415819118974,16597.999279608906,12660.387509087952,23801.525938270803,16410.527570870923,12517.390486396815,23532.691564738754
01,-18.373306718836513,-21.72385757358901,10295.33239304156,6507.426846116837,24635.259874826235,12172.786205647966,7694.119307912131,29127.738680833776
02,13.722382686184908,-10.446113262668089,-945.495859805726,-708.2921512475007,-1441.8809848794601,719.7552397994152,539.1847905859029,1097.6265874367477
03,-23.858954032968562,-30.796258375359564,9965.88453741479,7465.672897498906,15197.974469620838,12863.596397777219,9636.415375946357,19616.98521661167
04,32.06182995061775,35.15932241545685,-22272.535470428837,-14428.729149809556,-47408.67957228619,-24424.284478479003,-15822.688255935946,-51988.83073550134
05,-14.920418366742116,-24.250348163233447,12010.412444935924,7139.108674677321,38313.21576188872,19520.67805437309,11603.285288701143,62270.963095102314
06,-4.1725170626843,-11.609611298072508,1589.5926315935562,1229.5657736636067,2264.200311301279,4422.88247066125,3421.1437564415605,6299.9108500401835
07,11.184466055572596,1.1158362247015274,-3464.985280263353,-2642.9726761856978,-4968.789568885718,-345.6898232391733,-263.6804151696591,-495.71927406577686
08,-8.36507579134398,-20.240223984312188,6536.455555826031,5176.165758340155,8907.820843551086,15815.675531633737,12524.304255215779,21553.45553140904
09,-20.25282595939175,-27.489758376741303,7545.062357701089,5096.227163384564,14524.245887528672,10241.135808233556,6917.25952888378,19714.187583160015
10,-4.052032362999647,-13.450552940660454,788.5600966453821,514.6032587635781,1658.1662447407687,2617.592451549223,1708.2041196511786,5504.213900895686
11,-3.517159846496687,1.0167541975043992,661.2299845787726,517.0294643023253,915.1423434762373,-191.1509262241515,-149.46488104214612,-264.5528948507383
12,-7.830591291160571,6.780416696683345,388.6205406553445,303.87062606959745,537.8508177632776,-336.50194532666916,-263.1179932682392,-465.7186832370635
13,-25.63771502972787,-32.265097682787534,1291.5659486149086,1009.9017510372565,1787.5250031655858,1625.4374248056574,1270.962666113273,2249.6025394886724
14,-8.529342335472801,-1.0785930725091153,1360.697049891757,941.1490431137339,2446.9866540205007,172.06935236882887,119.01466703702025,309.4380257868345
15,-6.045444829592372,-0.3129818100761961,235.48443280187848,162.87688473504411,423.4794948522396,12.191384769955437,8.432382337592738,21.924173086522735
16,-5.729487577858405,-3.150046076413404,268.57265931452923,70.75432428308817,0.0,147.66002023899574,38.900404018422265,0.0
17,-9.198325663534835,0.9023458509797688,1631.109952643037,1022.0624402467676,3978.742988337706,-160.01013141924813,-100.26322573629282,-390.3104063682055
18,-10.893068511994342,-2.1196552952442493,2788.8248314894813,1989.3611591047145,4662.5659586487045,542.6705354020637,387.1048741138897,907.2771930877982
19,-21.880712287833493,-29.723061837048302,3573.9705950879984,2629.1276043239645,5578.879676168484,4854.93102802967,3571.44325709469,7578.4272200503665
20,-21.315082604914583,1.0146969519659654,1238.7853574309852,911.2904189598762,1933.713859426154,-58.9719378350177,-43.38165737444392,-92.05376284498452
21,-16.73536197959613,-26.747403819183045,1715.2753828447026,1308.3534607201461,2459.7048428785274,2741.450312337866,2091.0846383109974,3931.2396581970957
22,-41.02228675814546,-46.355457875020136,618.7370832002961,471.9516312375376,887.2711302037895,699.1770343058466,533.3084937429693,1002.6222999798139
23,-15.96046747800468,-26.892227996454555,3970.993186041873,3028.939134144626,5694.404822880745,6690.834982031232,5103.542355200747,9594.658365242558
24,-34.77784785177091,-1.2348196295770886,295.5566338741395,225.43883286753814,423.82652191457447,10.4940114384028,8.004414110967177,15.04835235998801
25,-26.488546931762112,-24.18782822590717,1261.6747597078888,962.3621332001926,1809.2420539992117,1152.0893329254059,878.7741369479248,1652.0965130309328
AA,-10.344507159873196,-21.00527012971185,0.0,0.0,0.0,0.0,0.0,0.0
PP,5.780837393638838,-3.594799172693275,-1079.9665929821035,-823.7616218662035,-1548.6721786637079,671.5745056694441,512.2540896998124,963.0378935687464
