,reduction (data),reduction (model),QALY loss (data),QALY loss (model)
00,-59.15455694159165,-58.486415819118974,"16598, (12660; 23802)","16411, (12517; 23533)"
01,-18.373306718836513,-21.72385757358901,"10295, (6507; 24635)","12173, (7694; 29128)"
02,13.722382686184908,-10.446113262668089,"-945, (-708; -1442)","720, (539; 1098)"
03,-23.858954032968562,-30.796258375359564,"9966, (7466; 15198)","12864, (9636; 19617)"
04,32.06182995061775,35.15932241545685,"-22273, (-14429; -47409)","-24424, (-15823; -51989)"
05,-14.920418366742116,-24.250348163233447,"12010, (7139; 38313)","19521, (11603; 62271)"
06,-4.1725170626843,-11.609611298072508,"1590, (1230; 2264)","4423, (3421; 6300)"
07,11.184466055572596,1.1158362247015274,"-3465, (-2643; -4969)","-346, (-264; -496)"
08,-8.36507579134398,-20.240223984312188,"6536, (5176; 8908)","15816, (12524; 21553)"
09,-20.25282595939175,-27.489758376741303,"7545, (5096; 14524)","10241, (6917; 19714)"
10,-4.052032362999647,-13.450552940660454,"789, (515; 1658)","2618, (1708; 5504)"
11,-3.517159846496687,1.0167541975043992,"661, (517; 915)","-191, (-149; -265)"
12,-7.830591291160571,6.780416696683345,"389, (304; 538)","-337, (-263; -466)"
13,-25.63771502972787,-32.265097682787534,"1292, (1010; 1788)","1625, (1271; 2250)"
14,-8.529342335472801,-1.0785930725091153,"1361, (941; 2447)","172, (119; 309)"
15,-6.045444829592372,-0.3129818100761961,"235, (163; 423)","12, (8; 22)"
16,-5.729487577858405,-3.150046076413404,"269, (71; 0)","148, (39; 0)"
17,-9.198325663534835,0.9023458509797688,"1631, (1022; 3979)","-160, (-100; -390)"
18,-10.893068511994342,-2.1196552952442493,"2789, (1989; 4663)","543, (387; 907)"
19,-21.880712287833493,-29.723061837048302,"3574, (2629; 5579)","4855, (3571; 7578)"
20,-21.315082604914583,1.0146969519659654,"1239, (911; 1934)","-59, (-43; -92)"
21,-16.73536197959613,-26.747403819183045,"1715, (1308; 2460)","2741, (2091; 3931)"
22,-41.02228675814546,-46.355457875020136,"619, (472; 887)","699, (533; 1003)"
23,-15.96046747800468,-26.892227996454555,"3971, (3029; 5694)","6691, (5104; 9595)"
24,-34.77784785177091,-1.2348196295770886,"296, (225; 424)","10, (8; 15)"
25,-26.488546931762112,-24.18782822590717,"1262, (962; 1809)","1152, (879; 1652)"
AA,-10.344507159873196,-21.00527012971185,"0, (0; 0)","0, (0; 0)"
PP,5.780837393638838,-3.594799172693275,"-1080, (-824; -1549)","672, (512; 963)"
