,reduction (data),reduction (model),QALY loss data (mean),QALY loss data (lower),QALY loss data (upper),QALY loss model (mean),QALY loss model (lower),QALY loss model (upper)
00,-59.15455694159165,-58.48065230710928,11607.751130184006,8853.996493283732,16645.51160388873,11475.51250501312,8753.12938212599,16455.88145545796
01,-18.373306718836513,-21.26321420966032,7200.003699708805,4550.945572120925,17228.580435335996,8332.480555625856,5266.756389436696,19938.435793342604
02,13.722382686184908,-10.783251006495941,-661.2291307138084,-495.3415698266835,-1008.3742835431519,519.6036178522031,389.2467222015564,792.3954065855
03,-23.858954032968562,-26.788656094693508,6969.605526165899,5221.091503479627,10628.648812087777,7825.421235907526,5862.202698926936,11933.767816680187
04,32.06182995061775,33.217934668091885,-15576.217616574415,-10090.67986293871,-33155.08963552041,-16137.874224904672,-10454.535656885366,-34350.61576721473
05,-14.920418366742116,-21.17227878538315,8399.438768680679,4992.709988173028,26794.209715830675,11918.91908658947,7084.724112012118,38021.35194828709
06,-4.1725170626843,-10.253718378397314,1111.6758926830753,859.8924038039603,1583.4603484263846,2731.8789498951755,2113.1356473487062,3891.2618527862223
07,11.184466055572596,-0.43162192449164305,-2423.2249999227374,-1848.3534402082985,-3474.9051233383784,93.51515152766648,71.33017034871868,134.1007455616437
08,-8.36507579134398,-17.93442912812404,4571.24669590448,3619.932915963376,6229.652485359256,9800.592599496134,7761.009218480486,13356.156450743523
09,-20.25282595939175,-26.058036410245023,5276.612237085076,3564.028146942146,10157.479150101752,6789.084845364306,4585.6106899042215,13068.98909121941
10,-4.052032362999647,1.1053099055920335,551.4766688957901,359.88593913531275,1159.632602531126,-150.4313317927634,-98.16937718510209,-316.32358471003516
11,-3.517159846496687,-5.441224601506544,462.4288127446319,361.5826972571818,640.0015081827281,715.4008183215861,559.3867647939225,990.1147810480761
12,-7.830591291160571,-12.508461453779528,271.78037810537165,212.51082999638518,376.14403595209615,434.1376349525732,339.4614054906842,600.8464750403964
13,-25.63771502972787,-28.13174930167699,903.2520032797073,706.2711592221336,1250.099185220377,991.1202649315024,774.9771446949712,1371.7087049322583
14,-8.529342335472801,-12.060864285528329,951.5985904471764,658.1892000860754,1711.2913201319843,1345.602158087989,930.7084068397363,2419.8410092271633
15,-6.045444829592372,-2.2624216448017376,164.6851915673268,113.90736383431191,296.15886241300416,61.63108794847165,42.628208958186846,110.83323717441303
16,-5.729487577858405,0.5724149485706542,187.825323834344,49.48178234176755,0.0,-18.765032932157887,-4.943568078200511,-0.0
17,-9.198325663534835,0.9023463010447319,1140.710881913758,714.7756935059093,2782.5196062231016,-111.90256602208586,-70.11876146858255,-272.9623157629084
18,-10.893068511994342,-0.3443289214349332,1950.354620714866,1391.2525753215978,3260.7487423229504,61.65053512946609,43.977369478267704,103.07197611748205
19,-21.880712287833493,-22.834592911321593,2499.4434880680774,1838.6709389716614,3901.5694467322082,2608.4056955779924,1918.8270398601578,4071.656756846898
20,-21.315082604914583,-1.6303199175168093,866.3400865693818,637.3076786189985,1352.335836330709,66.26347758800817,48.74554892878486,103.43567932658932
21,-16.73536197959613,-26.173326665823758,1199.5716729698247,914.9922895232395,1720.185739790866,1876.0742249846226,1431.0053239123113,2690.2903772461195
22,-41.02228675814546,-4.241055060513721,432.7115549178542,330.05767674782044,620.5098753712776,44.735524875700264,34.12273890252596,64.1508983289323
23,-15.96046747800468,-24.76139097295792,2777.0998098462774,2118.277695120752,3982.3615427989525,4308.448625160664,3286.3387159846766,6178.315973063495
24,-34.77784785177091,-41.49171202669819,206.69646944139166,157.65983736487962,296.40155454156513,246.59922671324077,188.096071901889,353.6218801612265
25,-26.488546931762112,-5.152964780064906,882.3477077695694,673.0244983818341,1265.2869266530436,171.648021071918,130.92720960559433,246.14332324517466
AA,-10.344507159873196,-18.36841912520465,0.0,0.0,0.0,0.0,0.0,0.0
PP,5.780837393638838,-3.290192181662499,-755.2707545691835,-576.0947290175411,-1083.0583210262532,429.8660838404332,327.8871630944391,616.42799779255
