,01,02,03,05-09,10-12,13-15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31-32,33,35,36,37-39,41-43,45,46,47,49,50,51,52,53,55-56,58,59-60,61,62-63,64,65,66,68,69-70,71,72,73,74-75,77,78,79,80-82,84,85,86,87-88,90-92,93,94,95,96,97-98
01,1135.360953955,52.5348700083515,0.0,3.05480578694162,8645.47100183674,51.2632273204985,0.0,0.0,0.0,0.0,116.859013167029,4.50768916555613,14.3021432094243,0.149506194092388,0.0,0.0,0.0,0.0,0.0,0.426740026778082,0.0,7.16562903392498e-10,0.0,4.86976536834948,0.701449849054351,4.65463587875049,45.0637001549409,0.0,159.811824344601,26.5313854381852,7.13373414513363,0.0,0.0,11.4492358948509,0.0,362.348748912183,0.0,0.0,0.0,0.900570555664845,0.00704767694892655,0.0,0.0,3.65244582181194,0.0,6.1694299662051,4.28040281464428,0.0,0.0,0.0,0.0,0.0,126.492458171563,18.8270223028287,0.0,10.0981652427664,91.7384998106022,0.102877804736351,2.7821531443979,16.700051789842,0.0,1.3722654595194,0.0
02,14.9731685090231,0.0,0.0,0.0,0.73759653773641,0.0,528.921374645542,154.0350714471302,0.0,0.0,11.07117966871058,0.0,0.0,7.92741957606976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6051433526124,0.0,0.0,0.0,0.0,0.723151435681094,0.0,5.64991405497858,0.0,0.0,0.0,0.0,0.0,0.0,0.31791954879686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1684599768770096,0.01018487193418882,0.71745372401559,5.707150680538e-07,0.926944647026098,0.0,0.0,41.7495183147082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.959088273004974,0.0
03,0.0,0.0,0.0,0.0,32.1050759011197,0.0,0.0,0.0,0.0,0.0,0.187802677937354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86577198759023,0.0,0.0,0.0,0.0,0.0,0.0,109.329668397435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05-09,3.28189206068264,0.0,0.0,70.5244237355302,72.0126622295315,1.77914117706957,0.0,8.65136403231015,0.0,10792.9093565688,667.833825770058,0.0,0.00027087097973045,434.640609152711,1563.90804572082,0.571555199364554,0.0,20.791023303582,0.0,0.0,0.0,445.983236706245,0.0,46.2082383369855,0.0,0.0,510.462661791756,0.0,72.2248128979108,0.0,4.33787716226084e-05,0.0,0.0,0.00414475598133808,0.0,0.0,0.000396190503845869,0.0,3.05579406462902e-05,0.0366540559454898,0.0,0.371882167506692,0.0140614965088697,23.6549339803288,14.4316031657091,0.0078784959090426,0.0479741024454315,0.0,0.00142285252669311,0.2009897241114,0.0,0.0,16.0795037160906,5.66646458116536,0.0,1.0824030217437,0.0,4.08542878727638,0.158954548257556,1.21493571736605,0.0,0.0,0.0
10-12,2180.09311496974,0.16835821792419,0.0289799981982011,0.167061307227458,9434.97377127698,10.2272338587986,1.68630232096438,42.4286664275738,1.31280906917106,100.509627521383,637.016840005874,6.36147293119749,3.71002543980224,1.09283390362534,1.27970423100959,17.2525909284369,0.0887498916626137,0.623015045679528,3.46496075067226,3.45095305333277,0.0265184496194669,2.19704654900938,2.54344298406519,21.3303793528241,0.0343131116917047,51.5287889902616,40.9855551384661,4.93410178804796,727.008194754077,17.0004402700804,12.1487995214223,0.134807371851961,1.41559940378169,77.7943801369089,1.02534531646876,3650.57418014467,3.57362246981032,15.535552797465,6.74970906370135,14.7657066934757,4.23399521054237,0.800577514598171,4.87846216567772,11.6255324796384,0.0,18.2494258286602,7.87977438003909,8.69037091161265,6.23760525176645,18.0107021028756,2.25543949506113,1.4752674675455,48.171395784238,223.437229375986,39.5995922724118,318.510810646723,385.202874827038,29.0127056367649,89.4218517646658,7.46886381014273,1.95808772727326,16.1912787453795,0.0
13-15,5.24905162569859,0.0,6.33951921161032,1.9596316784518,10.6857051468894,1181.14547844997,0.117923673338716,63.4967685720742,0.342046987808324,0.890457315923293,32.8020452731705,1.12801490642394,27.8056465012022,10.5688918448577,1.27727874093374,6.37157817050239,0.305995620953458,0.804128736243466,2.53493075179492,114.082465060531,1.30277980673973,167.854144149706,22.8203831393251,0.000177070172908895,0.358029063169344,5.48498846985369,195.605545577109,35.6161617141644,89.2817018974692,17.3404059650436,3.54179700235811,0.0,0.452150215215554,5.35470895030566,0.345019194475136,24.4669302996579,3.0358017126542e-05,0.28639308701559,1.73230442628554,0.205804173958851,0.00635408809239508,0.0,0.00195300015912214,2.38979626065436,0.0,10.237081901259,5.67531581737,2.33348449476612,10.7644597855991,3.47180864399088,1.19530436485888,0.0,34.9835491061385,29.1471830407873,1.34853513180164,57.6320656568138,22.5395902390925,0.494694757074126,9.0178839240009,0.0,7.44892141452281,35.4339896385914,0.0
16,5.1854110747231,0.0,0.0,4.97558685207237,71.2557999079438,1.7391199315352,710.130272511317,39.2445797508896,1.68556757807714,3.26806293241698,38.6675512869076,0.0,16.0874915415954,41.0916410722166,12.6495261176039,20.7356550692048,1.25604019444473,8.57873447863942,40.2320585503594,6.71023733722253,1.86005542696353,260.992192104244,5.88272742451339,136.242598703069,0.0,2.31521374460047,1250.74022046234,5.47641624426758,44.9351700748831,0.979062388831852,17.5444414017803,0.0,0.0,7.83133759492923,0.0,0.0,0.000128482182685079,0.508128785992876,9.87561646714444e-06,0.00794648534110485,0.0220848600054741,0.0,0.0,70.4218496210446,68.7995933916508,4.87227822633637,4.74027610319051,0.805810633866354,3.33812077882043,2.82702036457587,0.0,0.0,30.3009384387206,4.08206339839226,0.0,0.0,0.132877117174363,0.0,0.0,1.48988285918313,2.96664106674265,20.7875221787681,0.0
17,3.15908474726058,0.0,6.38953393019696e-05,0.354034716410239,759.802443242117,19.7282930794091,77.8530274648423,857.287694518783,714.050928483062,1.9285351538728,149.384870807967,73.8106491415655,127.273705152594,95.9995672739115,22.3123139715784,15.2018884120409,6.03626772298341,21.1764964676586,6.31932930731311,14.8072501038258,0.710704748879918,69.7768069591166,3.23755916815921,0.68376264733179,0.553179738326461,7.32264859250356,14.8600503216739,8.90413312748456,302.401917975646,70.1526702422114,7.51873188800283,0.112570650290914,0.655901441495337,226.099961839002,2.15548836839383,42.0166511820457,47.3648823608482,0.771734754114669,1.73572522388662,2.85227935412768,14.4987334519339,3.22614401480219,18.7608355045018,40.8106744876387,25.2953452781679,18.1905059525566,14.7874578689402,6.21758684285697,5.8837427754001,4.82111147473269,2.52756160211532,2.49029503485976,125.503285085935,67.3315858510588,10.1192404070715,114.468906524026,18.4453479707049,5.41122324510493,4.37136765568463,9.31411017350905,0.325218798974621,8.15151385609229,0.0
18,1.8320902317427,0.0,0.0,0.690910662585779,70.7791813461581,8.73817150294068,9.05068572794572,4.81229581526053,282.539034045725,0.130303988118165,20.789267574098,10.164690146838,0.414008373385104,5.25827710584813,2.88295261784922e-09,1.64917616324138,0.525181492059576,1.80889290882335,2.15662188326004,0.699100512393001,0.206707258300926,8.34773615599315,0.705340137270465,0.008236147413616,0.0,0.0,21.5559257492001,79.9057149209319,230.421028383211,325.019825445645,2.20635613024651,0.0,0.0,0.2449735847859,2.98653098745204,13.8260975156903,427.280935926811,44.7619332670884,10.6585555497353,9.28210833491286,21.3485697216011,0.856360144529677,40.0139849804032,5.34170940277606,0.0,5.01513035216047,1.73505730712163,145.238554263325,19.5775592076453,14.9831660942642,0.844856416622172,5.19106879791183,133.54594316964,209.667800262543,48.534946415432,10.3284167643098,10.7218999859985,10.7336439868795,13.9529752070242,44.9670418945768,2.51756023643025,12.4747372107546,0.0
19,224.631644683827,70.5764707219496,21.6887938448371,41.5487150962159,46.3464884840805,8.32377444991299,9.89855324968304,20.0536932141981,2.54336294406513,4640.40318045794,4625.55203361532,2.51087895079648,24.5473656834388,133.264435826423,91.8465562519821,21.1842202553245,2.40493037464334,9.63528856459438,13.895495564757,10.467038511836,0.580900813299431,57.6329533580034,21.4700197089567,11.8907755213267,0.808314950669458,60.1868575437253,349.750468543022,85.5606172944002,411.371291814456,46.4325424590762,567.057778434086,293.296315718346,917.404467229912,107.541541388985,13.1542559712583,56.0708780601935,5.03657428437885,4.05563838346562,10.6914731895945,41.7668612339667,26.4939062776698,5.83025188150613,54.9982955338201,17.3341256399195,0.0,73.3114012223278,15.7247732552861,3.70778696955854,3.15909730966964,178.863833001685,2.91674779392059,2.27658867807127,100.608978822848,233.466264057478,25.295376244049,105.149825466814,67.7174987129202,6.71484809675008,5.45806317889491,6.23362786899774,4.88430868482767,19.0339481202022,0.0
