,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown
,Sectoral output (M€/y),Intermediate demand (M€/y),Intermediate use (M€/y),Household demand (M€/y),Total other demand (M€/y),Other demand - government (M€/y),Other demand - exports (M€/y),Other demand - others (M€/y),Taxes minus subsidies (M€/y),Consumption fixed capital (M€/y),Imports (M€/y),Operating surplus and mixed income (M€/y),Gross value added (M€/y),Gross domestic product i (M€/y),Labor compensation (M€/y),Employees (x1000),Desired stock (days),On-site consumption (-),Consumer demand shock (%),Other demand shock (%),Telework (%),Mix (%),Workplace (%),Absent (%)
30,4474.48999998278,986.380133255339,1115.51032407403,474.321142645009,3013.78872408243,0,2090.02318813824,923.765535944188,-32.8216644694242,260.867953583794,2523,142.522385810549,795.147181593091,762.325517123666,424.578506668172,6.8,57.6639155175066,0,0,-31,0,0,100,0
31-32,17193.0583518465,1503.57610431748,2561.28146275908,2909.10145070351,12780.3807968255,178.69321288535,10932.7049517438,1668.98263219637,-9.6447857971026,242.160525411329,13432.6,159.446759524913,1112.727540714,1103.0827549169,720.765041574864,21.5,70.030734390165,0,0,-25,0,0,100,0
33,8468.39730040213,6334.48971819894,4676.65285667854,213.69,1920.21758220319,0,1029.2,891.017582203188,-42.0176565057025,233.576645905572,673.8,346.11336627463,2863.01896060437,2821.00130409867,2325.34660492987,24.2,70.030734390165,0,0,-17,0,0,100,0
35,19083.6514672286,8737.00671171691,5447.58558090328,5719.25784680389,4627.38690870777,276.455491860891,4350.93141684688,0,240.537573145499,2099.39921009121,7369.29,1146.3603515437,5493.8879571079,5734.4255302534,2007.59082232749,18.2,16.0457587807621,0,0,-20,0,0,100,0
36,1232.79825965187,470.622523579779,848.36427357927,762.075736072094,0.1,0,0.1,0,-47.0147932688007,13.1197442779414,2.5,-22.2071244158417,377.381660398126,330.366867129325,433.483833804827,7.1,16.0457587807621,0,0,-11,0,0,100,0
37-39,14747.8042261552,9812.38398482782,6438.95477540248,1254.58305990623,3680.83718142112,1678.28013544018,2002.55704598094,0,-99.3788799083624,1316.21522204961,4799.7,372.460873256042,3169.85751760903,3070.47863770067,1580.56030221174,25.9,16.0457587807621,0,0,-16,0,0,100,0
41-43,68327.5031174131,29801.6997819344,45009.6601113999,608.61,37917.1933354787,0,3120,34797.1933354787,-185.924181699782,2652.89659250658,2542.4,6721.80126609872,18571.6184181869,18385.6942364871,9382.84474128138,279.3,16.0457587807621,0,0,-6,0,0,100,0
45,11646.3017193197,3127.0668709285,5109.62173605642,4234.33176139783,4284.90308699335,0,3506.57929463759,778.323792355758,26.7337863469723,678.981221489416,232.5,1601.85016954385,5434.49229436324,5461.22608071021,3126.927116983,75.5,230.743389738973,1,-80,-23,11.8780307449897,3.69592569618897,24.4603731896772,2.55102754893386
46,56373.4536609518,24636.9974514643,22404.6351701332,6328.52849411363,25407.9277153738,397.33925459868,19710.4256534463,5300.16280732884,-127.711031004723,2629.7361704859,2729.6,6326.97655729923,23735.6502226573,23607.9391916526,14906.6485258769,202.1,158.859098935384,0,0,-30,0,0,100,0
47,23611.127134557,0,7285.813758698,22493.7404618768,1117.38667268016,1117.38667268016,0,0,-168.2527945254,2356.02512381611,0,4162.59297780898,14559.1245428096,14390.8717482842,8208.75923570996,311.8,101.187007900601,1,-80,-28,11.8780307449897,3.69592569618897,24.4603731896772,2.55102754893386
