date,NIS,age,e_s,e_i,e_h
2020-12-28,33000,"[18, 25)",0.0,0.0,0.0
2020-12-28,33000,"[25, 35)",0.0,0.0,0.0
2020-12-28,33000,"[35, 45)",0.0,0.0,0.0
2020-12-28,33000,"[45, 55)",0.0,0.0,0.0
2020-12-28,33000,"[55, 65)",0.0,0.0,0.0
2020-12-28,33000,"[65, 75)",0.0,0.0,0.0
2020-12-28,33000,"[75, 85)",0.0,0.0,0.0
2020-12-28,33000,"[85, 120)",0.0,0.0,0.0
2020-12-28,34000,"[0, 12)",0.0,0.0,0.0
2020-12-28,34000,"[12, 18)",0.0,0.0,0.0
2020-12-28,34000,"[18, 25)",0.0,0.0,0.0
2020-12-28,34000,"[25, 35)",0.0,0.0,0.0
2020-12-28,34000,"[35, 45)",0.0,0.0,0.0
2020-12-28,34000,"[45, 55)",0.0,0.0,0.0
2020-12-28,34000,"[55, 65)",0.0,0.0,0.0
2020-12-28,34000,"[65, 75)",0.0,0.0,0.0
2020-12-28,34000,"[75, 85)",0.0,0.0,0.0
2020-12-28,34000,"[85, 120)",0.0,0.0,0.0
2020-12-28,35000,"[0, 12)",0.0,0.0,0.0
2020-12-28,35000,"[12, 18)",0.0,0.0,0.0
2020-12-28,35000,"[18, 25)",0.0,0.0,0.0
2020-12-28,35000,"[25, 35)",0.0,0.0,0.0
2020-12-28,35000,"[35, 45)",0.0,0.0,0.0
2020-12-28,35000,"[45, 55)",0.0,0.0,0.0
2020-12-28,35000,"[55, 65)",0.0,0.0,0.0
2020-12-28,35000,"[65, 75)",0.0,0.0,0.0
2020-12-28,35000,"[75, 85)",0.0,0.0,0.0
2020-12-28,35000,"[85, 120)",0.0,0.0,0.0
2020-12-28,36000,"[0, 12)",0.0,0.0,0.0
2020-12-28,36000,"[12, 18)",0.0,0.0,0.0
2020-12-28,36000,"[18, 25)",0.0,0.0,0.0
2020-12-28,36000,"[25, 35)",0.0,0.0,0.0
2020-12-28,36000,"[35, 45)",0.0,0.0,0.0
2020-12-28,36000,"[45, 55)",0.0,0.0,0.0
2020-12-28,36000,"[55, 65)",0.0,0.0,0.0
2020-12-28,36000,"[65, 75)",0.0,0.0,0.0
2020-12-28,36000,"[75, 85)",0.0,0.0,0.0
2020-12-28,36000,"[85, 120)",0.0,0.0,0.0
