date,age,dose,VOC,e_s,e_i,e_h
2020-12-28,"[18, 25)",full,delta,0.79,0.38,0.714285714285714
2020-12-28,"[18, 25)",full,omicron,0.05,0.22,0.6421052631578947
2020-12-28,"[18, 25)",boosted,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[18, 25)",boosted,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[18, 25)",boosted,delta,0.8,0.34,0.6999999999999997
2020-12-28,"[18, 25)",boosted,omicron,0.45,0.34,0.7636363636363637
2020-12-28,"[25, 35)",partial,WT,0.435,0.31,0.06194690265486713
2020-12-28,"[25, 35)",partial,abc,0.435,0.31,0.06194690265486713
2020-12-28,"[25, 35)",partial,delta,0.395,0.19,0.12396694214876025
2020-12-28,"[25, 35)",partial,omicron,0.025,0.11,0.31282051282051293
2020-12-28,"[25, 35)",full,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[25, 35)",full,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[25, 35)",full,delta,0.79,0.38,0.714285714285714
2020-12-28,"[25, 35)",full,omicron,0.05,0.22,0.6421052631578947
2020-12-28,"[25, 35)",boosted,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[25, 35)",boosted,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[25, 35)",boosted,delta,0.8,0.34,0.6999999999999997
2020-12-28,"[25, 35)",boosted,omicron,0.45,0.34,0.7636363636363637
2020-12-28,"[35, 45)",partial,WT,0.435,0.31,0.06194690265486713
2020-12-28,"[35, 45)",partial,abc,0.435,0.31,0.06194690265486713
2020-12-28,"[35, 45)",partial,delta,0.395,0.19,0.12396694214876025
2020-12-28,"[35, 45)",partial,omicron,0.025,0.11,0.31282051282051293
2020-12-28,"[35, 45)",full,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[35, 45)",full,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[35, 45)",full,delta,0.79,0.38,0.714285714285714
2020-12-28,"[35, 45)",full,omicron,0.05,0.22,0.6421052631578947
2020-12-28,"[35, 45)",boosted,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[35, 45)",boosted,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[35, 45)",boosted,delta,0.8,0.34,0.6999999999999997
2020-12-28,"[35, 45)",boosted,omicron,0.45,0.34,0.7636363636363637
2020-12-28,"[45, 55)",partial,WT,0.435,0.31,0.06194690265486713
2020-12-28,"[45, 55)",partial,abc,0.435,0.31,0.06194690265486713
2020-12-28,"[45, 55)",partial,delta,0.395,0.19,0.12396694214876025
2020-12-28,"[45, 55)",partial,omicron,0.025,0.11,0.31282051282051293
2020-12-28,"[45, 55)",full,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[45, 55)",full,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[45, 55)",full,delta,0.79,0.38,0.714285714285714
2020-12-28,"[45, 55)",full,omicron,0.05,0.22,0.6421052631578947
2020-12-28,"[45, 55)",boosted,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[45, 55)",boosted,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[45, 55)",boosted,delta,0.8,0.34,0.6999999999999997
2020-12-28,"[45, 55)",boosted,omicron,0.45,0.34,0.7636363636363637
2020-12-28,"[55, 65)",partial,WT,0.435,0.31,0.06194690265486713
2020-12-28,"[55, 65)",partial,abc,0.435,0.31,0.06194690265486713
2020-12-28,"[55, 65)",partial,delta,0.395,0.19,0.12396694214876025
2020-12-28,"[55, 65)",partial,omicron,0.025,0.11,0.31282051282051293
2020-12-28,"[55, 65)",full,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[55, 65)",full,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[55, 65)",full,delta,0.79,0.38,0.714285714285714
2020-12-28,"[55, 65)",full,omicron,0.05,0.22,0.6421052631578947
2020-12-28,"[55, 65)",boosted,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[55, 65)",boosted,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[55, 65)",boosted,delta,0.8,0.34,0.6999999999999997
2020-12-28,"[55, 65)",boosted,omicron,0.45,0.34,0.7636363636363637
2020-12-28,"[65, 75)",partial,WT,0.435,0.31,0.06194690265486713
2020-12-28,"[65, 75)",partial,abc,0.435,0.31,0.06194690265486713
2020-12-28,"[65, 75)",partial,delta,0.395,0.19,0.12396694214876025
2020-12-28,"[65, 75)",partial,omicron,0.025,0.11,0.31282051282051293
2020-12-28,"[65, 75)",full,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[65, 75)",full,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[65, 75)",full,delta,0.79,0.38,0.714285714285714
2020-12-28,"[65, 75)",full,omicron,0.05,0.22,0.6421052631578947
2020-12-28,"[65, 75)",boosted,WT,0.87,0.62,0.5384615384615381
2020-12-28,"[65, 75)",boosted,abc,0.87,0.62,0.5384615384615381
2020-12-28,"[65, 75)",boosted,delta,0.8,0.34,0.6999999999999997
2020-12-28,"[65, 75)",boosted,omicron,0.45,0.34,0.7636363636363637
2020-12-28,"[75, 85)",partial,WT,0.435,0.31,0.06194690265486713
