date,NIS,age,e_s,e_i,e_h
2020-12-28,70000,"[18, 25)",0.0,0.0,0.0
2020-12-28,70000,"[25, 35)",0.0,0.0,0.0
2020-12-28,70000,"[35, 45)",0.0,0.0,0.0
2020-12-28,70000,"[45, 55)",0.0,0.0,0.0
2020-12-28,70000,"[55, 65)",0.0,0.0,0.0
2020-12-28,70000,"[65, 75)",0.0,0.0,0.0
2020-12-28,70000,"[75, 85)",0.0,0.0,0.0
2020-12-28,70000,"[85, 120)",0.0,0.0,0.0
2020-12-28,80000,"[0, 12)",0.0,0.0,0.0
2020-12-28,80000,"[12, 18)",0.0,0.0,0.0
2020-12-28,80000,"[18, 25)",0.0,0.0,0.0
2020-12-28,80000,"[25, 35)",0.0,0.0,0.0
2020-12-28,80000,"[35, 45)",0.0,0.0,0.0
2020-12-28,80000,"[45, 55)",0.0,0.0,0.0
2020-12-28,80000,"[55, 65)",0.0,0.0,0.0
2020-12-28,80000,"[65, 75)",0.0,0.0,0.0
2020-12-28,80000,"[75, 85)",0.0,0.0,0.0
2020-12-28,80000,"[85, 120)",0.0,0.0,0.0
2020-12-28,90000,"[0, 12)",0.0,0.0,0.0
2020-12-28,90000,"[12, 18)",0.0,0.0,0.0
2020-12-28,90000,"[18, 25)",0.0,0.0,0.0
2020-12-28,90000,"[25, 35)",0.0,0.0,0.0
2020-12-28,90000,"[35, 45)",0.0,0.0,0.0
2020-12-28,90000,"[45, 55)",0.0,0.0,0.0
2020-12-28,90000,"[55, 65)",0.0,0.0,0.0
2020-12-28,90000,"[65, 75)",0.0,0.0,0.0
2020-12-28,90000,"[75, 85)",0.0,0.0,0.0
2020-12-28,90000,"[85, 120)",0.0,0.0,0.0
2021-01-04,10000,"[0, 12)",0.0,0.0,0.0
2021-01-04,10000,"[12, 18)",0.0,0.0,0.0
2021-01-04,10000,"[18, 25)",0.0,0.0,0.0
2021-01-04,10000,"[25, 35)",2.2732097457490273e-08,1.6199885544418356e-08,3.237202364000236e-09
2021-01-04,10000,"[35, 45)",0.0,0.0,0.0
2021-01-04,10000,"[45, 55)",1.6732741299059996e-07,1.1924482305077237e-07,2.382854014717114e-08
2021-01-04,10000,"[55, 65)",2.1697550549810098e-07,1.5462622230899151e-07,3.089875981053208e-08
2021-01-04,10000,"[65, 75)",1.8001812404709836e-07,1.2828877805655288e-07,2.5635782083810114e-08
2021-01-04,10000,"[75, 85)",1.4872385854290694e-05,1.059871175823015e-05,2.1179269856583187e-06
2021-01-04,10000,"[85, 120)",0.0003307595968684336,0.0002357137356993435,4.710237367671714e-05
2021-01-04,20001,"[0, 12)",0.0,0.0,0.0
