date,age,dose,CUMULATIVE,INCIDENCE
2021-01-11,"[65, 75)",B,12.0,52.0
2021-01-11,"[65, 75)",C,0.0,0.0
2021-01-11,"[65, 75)",E,0.0,0.0
2021-01-11,"[75, 85)",A,24268.0,12895.0
2021-01-11,"[75, 85)",B,19.0,92.0
2021-01-11,"[75, 85)",C,0.0,0.0
2021-01-11,"[75, 85)",E,0.0,0.0
2021-01-11,"[85, 120)",A,51795.0,22877.0
2021-01-11,"[85, 120)",B,68.0,343.0
2021-01-11,"[85, 120)",C,0.0,0.0
2021-01-11,"[85, 120)",E,0.0,0.0
2021-01-18,"[0, 12)",A,0.0,0.0
2021-01-18,"[0, 12)",B,0.0,0.0
2021-01-18,"[0, 12)",C,0.0,0.0
2021-01-18,"[0, 12)",E,0.0,0.0
2021-01-18,"[12, 18)",A,167.0,367.0
2021-01-18,"[12, 18)",B,0.0,0.0
2021-01-18,"[12, 18)",C,0.0,0.0
2021-01-18,"[12, 18)",E,0.0,0.0
2021-01-18,"[18, 25)",A,7945.0,5322.0
2021-01-18,"[18, 25)",B,0.0,10.0
2021-01-18,"[18, 25)",C,0.0,0.0
2021-01-18,"[18, 25)",E,0.0,0.0
2021-01-18,"[25, 35)",A,22187.0,11296.0
2021-01-18,"[25, 35)",B,0.0,401.0
2021-01-18,"[25, 35)",C,0.0,10.0
2021-01-18,"[25, 35)",E,0.0,0.0
2021-01-18,"[35, 45)",A,24022.0,11127.0
2021-01-18,"[35, 45)",B,12.0,650.0
2021-01-18,"[35, 45)",C,25.0,8.0
2021-01-18,"[35, 45)",E,0.0,0.0
2021-01-18,"[45, 55)",A,28477.0,12277.0
2021-01-18,"[45, 55)",B,12.0,1023.0
2021-01-18,"[45, 55)",C,11.0,13.0
2021-01-18,"[45, 55)",E,0.0,0.0
2021-01-18,"[55, 65)",A,29901.0,12025.0
2021-01-18,"[55, 65)",B,43.0,1484.0
2021-01-18,"[55, 65)",C,0.0,33.0
2021-01-18,"[55, 65)",E,0.0,0.0
2021-01-18,"[65, 75)",A,19589.0,4749.0
2021-01-18,"[65, 75)",B,64.0,1752.0
2021-01-18,"[65, 75)",C,0.0,0.0
2021-01-18,"[65, 75)",E,0.0,0.0
2021-01-18,"[75, 85)",A,37163.0,4368.0
2021-01-18,"[75, 85)",B,111.0,4676.0
2021-01-18,"[75, 85)",C,0.0,0.0
2021-01-18,"[75, 85)",E,0.0,0.0
2021-01-18,"[85, 120)",A,74672.0,5927.0
2021-01-18,"[85, 120)",B,411.0,9667.0
2021-01-18,"[85, 120)",C,0.0,0.0
2021-01-18,"[85, 120)",E,0.0,0.0
2021-01-25,"[0, 12)",A,0.0,0.0
2021-01-25,"[0, 12)",B,0.0,0.0
2021-01-25,"[0, 12)",C,0.0,0.0
2021-01-25,"[0, 12)",E,0.0,0.0
2021-01-25,"[12, 18)",A,534.0,131.0
2021-01-25,"[12, 18)",B,0.0,0.0
2021-01-25,"[12, 18)",C,0.0,0.0
2021-01-25,"[12, 18)",E,0.0,0.0
2021-01-25,"[18, 25)",A,13267.0,2892.0
2021-01-25,"[18, 25)",B,10.0,576.0
2021-01-25,"[18, 25)",C,0.0,0.0
2021-01-25,"[18, 25)",E,0.0,0.0
2021-01-25,"[25, 35)",A,33483.0,7904.0
2021-01-25,"[25, 35)",B,401.0,4368.0
2021-01-25,"[25, 35)",C,10.0,0.0
2021-01-25,"[25, 35)",E,0.0,0.0
2021-01-25,"[35, 45)",A,35149.0,7943.0
2021-01-25,"[35, 45)",B,662.0,5707.0
2021-01-25,"[35, 45)",C,33.0,6.0
2021-01-25,"[35, 45)",E,0.0,0.0
2021-01-25,"[45, 55)",A,40754.0,8805.0
2021-01-25,"[45, 55)",B,1035.0,7819.0
2021-01-25,"[45, 55)",C,24.0,5.0
2021-01-25,"[45, 55)",E,0.0,0.0
2021-01-25,"[55, 65)",A,41926.0,8744.0
2021-01-25,"[55, 65)",B,1527.0,8839.0
2021-01-25,"[55, 65)",C,33.0,9.0
2021-01-25,"[55, 65)",E,0.0,0.0
2021-01-25,"[65, 75)",A,24338.0,2741.0
2021-01-25,"[65, 75)",B,1816.0,7435.0
2021-01-25,"[65, 75)",C,0.0,23.0
2021-01-25,"[65, 75)",E,0.0,0.0
2021-01-25,"[75, 85)",A,41531.0,2165.0
2021-01-25,"[75, 85)",B,4787.0,18437.0
2021-01-25,"[75, 85)",C,0.0,0.0
2021-01-25,"[75, 85)",E,0.0,0.0
2021-01-25,"[85, 120)",A,80599.0,2894.0
2021-01-25,"[85, 120)",B,10078.0,39084.0
2021-01-25,"[85, 120)",C,0.0,0.0
