date,NIS,age,dose,CUMULATIVE,INCIDENCE
2020-12-28,13000,"[75, 85)",E,0,0
2020-12-28,13000,"[85, 120)",A,0,303
2020-12-28,13000,"[85, 120)",B,0,0
2020-12-28,13000,"[85, 120)",C,0,0
2020-12-28,13000,"[85, 120)",E,0,0
2020-12-28,21000,"[0, 12)",A,0,0
2020-12-28,21000,"[0, 12)",B,0,0
2020-12-28,21000,"[0, 12)",C,0,0
2020-12-28,21000,"[0, 12)",E,0,0
2020-12-28,21000,"[12, 18)",A,0,0
2020-12-28,21000,"[12, 18)",B,0,0
2020-12-28,21000,"[12, 18)",C,0,0
2020-12-28,21000,"[12, 18)",E,0,0
2020-12-28,21000,"[18, 25)",A,0,0
2020-12-28,21000,"[18, 25)",B,0,0
2020-12-28,21000,"[18, 25)",C,0,0
2020-12-28,21000,"[18, 25)",E,0,0
2020-12-28,21000,"[25, 35)",A,0,60
2020-12-28,21000,"[25, 35)",B,0,0
2020-12-28,21000,"[25, 35)",C,0,0
2020-12-28,21000,"[25, 35)",E,0,0
2020-12-28,21000,"[35, 45)",A,0,39
2020-12-28,21000,"[35, 45)",B,0,0
2020-12-28,21000,"[35, 45)",C,0,0
2020-12-28,21000,"[35, 45)",E,0,0
2020-12-28,21000,"[45, 55)",A,0,111
2020-12-28,21000,"[45, 55)",B,0,0
2020-12-28,21000,"[45, 55)",C,0,0
2020-12-28,21000,"[45, 55)",E,0,0
2020-12-28,21000,"[55, 65)",A,0,363
2020-12-28,21000,"[55, 65)",B,0,0
2020-12-28,21000,"[55, 65)",C,0,0
2020-12-28,21000,"[55, 65)",E,0,0
2020-12-28,21000,"[65, 75)",A,0,584
2020-12-28,21000,"[65, 75)",B,0,0
2020-12-28,21000,"[65, 75)",C,0,0
2020-12-28,21000,"[65, 75)",E,0,0
2020-12-28,21000,"[75, 85)",A,0,930
2020-12-28,21000,"[75, 85)",B,0,0
2020-12-28,21000,"[75, 85)",C,0,0
2020-12-28,21000,"[75, 85)",E,0,0
2020-12-28,21000,"[85, 120)",A,39,1755
2020-12-28,21000,"[85, 120)",B,0,0
2020-12-28,21000,"[85, 120)",C,0,0
2020-12-28,21000,"[85, 120)",E,0,0
2020-12-28,23000,"[0, 12)",A,0,0
2020-12-28,23000,"[0, 12)",B,0,0
2020-12-28,23000,"[0, 12)",C,0,0
2020-12-28,23000,"[0, 12)",E,0,0
2020-12-28,23000,"[12, 18)",A,0,0
2020-12-28,23000,"[12, 18)",B,0,0
2020-12-28,23000,"[12, 18)",C,0,0
2020-12-28,23000,"[12, 18)",E,0,0
2020-12-28,23000,"[18, 25)",A,0,0
2020-12-28,23000,"[18, 25)",B,0,0
2020-12-28,23000,"[18, 25)",C,0,0
2020-12-28,23000,"[18, 25)",E,0,0
2020-12-28,23000,"[25, 35)",A,0,0
2020-12-28,23000,"[25, 35)",B,0,0
2020-12-28,23000,"[25, 35)",C,0,0
2020-12-28,23000,"[25, 35)",E,0,0
2020-12-28,23000,"[35, 45)",A,0,0
2020-12-28,23000,"[35, 45)",B,0,0
2020-12-28,23000,"[35, 45)",C,0,0
2020-12-28,23000,"[35, 45)",E,0,0
2020-12-28,23000,"[45, 55)",A,0,10
2020-12-28,23000,"[45, 55)",B,0,0
2020-12-28,23000,"[45, 55)",C,0,0
2020-12-28,23000,"[45, 55)",E,0,0
2020-12-28,23000,"[55, 65)",A,0,25
