place,,total,total,hospital,hospital,nursing,nursing,others,others
quantity,,incidence,cumsum,incidence,cumsum,incidence,cumsum,incidence,cumsum
age_class,date,,,,,,,,
50-60,2020-03-11,0,0,0,0,0,0,0,0
50-60,2020-03-12,0,0,0,0,0,0,0,0
50-60,2020-03-13,0,0,0,0,0,0,0,0
50-60,2020-03-14,0,0,0,0,0,0,0,0
50-60,2020-03-15,0,0,0,0,0,0,0,0
50-60,2020-03-16,0,0,0,0,0,0,0,0
50-60,2020-03-17,0,0,0,0,0,0,0,0
50-60,2020-03-18,0,0,0,0,0,0,0,0
50-60,2020-03-19,0,0,0,0,0,0,0,0
50-60,2020-03-20,2,2,1,1,0,0,1,1
50-60,2020-03-21,2,4,1,2,1,1,0,1
50-60,2020-03-22,3,7,2,4,0,1,1,2
50-60,2020-03-23,5,12,5,9,0,1,0,2
50-60,2020-03-24,3,15,2,11,1,2,0,2
50-60,2020-03-25,6,21,5,16,0,2,1,3
50-60,2020-03-26,3,24,3,19,0,2,0,3
50-60,2020-03-27,4,28,2,21,2,4,0,3
50-60,2020-03-28,3,31,3,24,0,4,0,3
50-60,2020-03-29,0,31,0,24,0,4,0,3
50-60,2020-03-30,9,40,8,32,0,4,1,4
50-60,2020-03-31,5,45,5,37,0,4,0,4
50-60,2020-04-01,6,51,6,43,0,4,0,4
50-60,2020-04-02,5,56,5,48,0,4,0,4
50-60,2020-04-03,6,62,5,53,1,5,0,4
50-60,2020-04-04,7,69,6,59,1,6,0,4
50-60,2020-04-05,5,74,4,63,1,7,0,4
50-60,2020-04-06,5,79,4,67,0,7,1,5
50-60,2020-04-07,6,85,3,70,3,10,0,5
50-60,2020-04-08,9,94,8,78,1,11,0,5
50-60,2020-04-09,4,98,2,80,2,13,0,5
50-60,2020-04-10,5,103,4,84,1,14,0,5
50-60,2020-04-11,8,111,6,90,1,15,1,6
50-60,2020-04-12,6,117,4,94,2,17,0,6
50-60,2020-04-13,8,125,6,100,2,19,0,6
50-60,2020-04-14,5,130,5,105,0,19,0,6
50-60,2020-04-15,7,137,7,112,0,19,0,6
50-60,2020-04-16,5,142,5,117,0,19,0,6
50-60,2020-04-17,2,144,2,119,0,19,0,6
50-60,2020-04-18,3,147,1,120,1,20,1,7
50-60,2020-04-19,2,149,1,121,1,21,0,7
50-60,2020-04-20,5,154,3,124,2,23,0,7
50-60,2020-04-21,2,156,2,126,0,23,0,7
50-60,2020-04-22,8,164,8,134,0,23,0,7
50-60,2020-04-23,6,170,5,139,1,24,0,7
50-60,2020-04-24,1,171,1,140,0,24,0,7
50-60,2020-04-25,2,173,2,142,0,24,0,7
50-60,2020-04-26,7,180,7,149,0,24,0,7
50-60,2020-04-27,5,185,5,154,0,24,0,7
50-60,2020-04-28,4,189,4,158,0,24,0,7
50-60,2020-04-29,3,192,3,161,0,24,0,7
50-60,2020-04-30,2,194,2,163,0,24,0,7
50-60,2020-05-01,3,197,3,166,0,24,0,7
50-60,2020-05-02,0,197,0,166,0,24,0,7
50-60,2020-05-03,3,200,3,169,0,24,0,7
50-60,2020-05-04,3,203,3,172,0,24,0,7
50-60,2020-05-05,0,203,0,172,0,24,0,7
50-60,2020-05-06,1,204,1,173,0,24,0,7
50-60,2020-05-07,2,206,2,175,0,24,0,7
50-60,2020-05-08,3,209,3,178,0,24,0,7
50-60,2020-05-09,2,211,1,179,1,25,0,7
50-60,2020-05-10,2,213,2,181,0,25,0,7
50-60,2020-05-11,2,215,2,183,0,25,0,7
50-60,2020-05-12,1,216,1,184,0,25,0,7
50-60,2020-05-13,2,218,1,185,1,26,0,7
50-60,2020-05-14,3,221,3,188,0,26,0,7
50-60,2020-05-15,1,222,1,189,0,26,0,7
50-60,2020-05-16,2,224,2,191,0,26,0,7
50-60,2020-05-17,0,224,0,191,0,26,0,7
50-60,2020-05-18,2,226,2,193,0,26,0,7
50-60,2020-05-19,1,227,1,194,0,26,0,7
50-60,2020-05-20,2,229,1,195,1,27,0,7
50-60,2020-05-21,0,229,0,195,0,27,0,7
50-60,2020-05-22,1,230,1,196,0,27,0,7
50-60,2020-05-23,1,231,1,197,0,27,0,7
50-60,2020-05-24,0,231,0,197,0,27,0,7
50-60,2020-05-25,0,231,0,197,0,27,0,7
50-60,2020-05-26,2,233,2,199,0,27,0,7
50-60,2020-05-27,1,234,1,200,0,27,0,7
50-60,2020-05-28,0,234,0,200,0,27,0,7
50-60,2020-05-29,1,235,1,201,0,27,0,7
50-60,2020-05-30,1,236,1,202,0,27,0,7
50-60,2020-05-31,1,237,1,203,0,27,0,7
50-60,2020-06-01,1,238,1,204,0,27,0,7
50-60,2020-06-02,0,238,0,204,0,27,0,7
50-60,2020-06-03,1,239,1,205,0,27,0,7
50-60,2020-06-04,0,239,0,205,0,27,0,7
50-60,2020-06-05,0,239,0,205,0,27,0,7
50-60,2020-06-06,0,239,0,205,0,27,0,7
50-60,2020-06-07,1,240,1,206,0,27,0,7
50-60,2020-06-08,0,240,0,206,0,27,0,7
50-60,2020-06-09,1,241,1,207,0,27,0,7
50-60,2020-06-10,0,241,0,207,0,27,0,7
50-60,2020-06-11,0,241,0,207,0,27,0,7
50-60,2020-06-12,1,242,1,208,0,27,0,7
50-60,2020-06-13,0,242,0,208,0,27,0,7
50-60,2020-06-14,0,242,0,208,0,27,0,7
50-60,2020-06-15,0,242,0,208,0,27,0,7
50-60,2020-06-16,0,242,0,208,0,27,0,7
50-60,2020-06-17,0,242,0,208,0,27,0,7
50-60,2020-06-18,1,243,1,209,0,27,0,7
50-60,2020-06-19,0,243,0,209,0,27,0,7
50-60,2020-06-20,0,243,0,209,0,27,0,7
50-60,2020-06-21,1,244,0,209,1,28,0,7
50-60,2020-06-22,0,244,0,209,0,28,0,7
50-60,2020-06-23,0,244,0,209,0,28,0,7
50-60,2020-06-24,0,244,0,209,0,28,0,7
50-60,2020-06-25,0,244,0,209,0,28,0,7
50-60,2020-06-26,0,244,0,209,0,28,0,7
50-60,2020-06-27,0,244,0,209,0,28,0,7
50-60,2020-06-28,0,244,0,209,0,28,0,7
50-60,2020-06-29,0,244,0,209,0,28,0,7
50-60,2020-06-30,1,245,1,210,0,28,0,7
50-60,2020-07-01,0,245,0,210,0,28,0,7
50-60,2020-07-02,0,245,0,210,0,28,0,7
50-60,2020-07-03,0,245,0,210,0,28,0,7
50-60,2020-07-04,0,245,0,210,0,28,0,7
50-60,2020-07-05,0,245,0,210,0,28,0,7
50-60,2020-07-06,0,245,0,210,0,28,0,7
50-60,2020-07-07,1,246,0,210,1,29,0,7
50-60,2020-07-08,0,246,0,210,0,29,0,7
50-60,2020-07-09,0,246,0,210,0,29,0,7
50-60,2020-07-11,0,246,0,210,0,29,0,7
50-60,2020-07-12,0,246,0,210,0,29,0,7
50-60,2020-07-14,0,246,0,210,0,29,0,7
50-60,2020-07-15,1,247,1,211,0,29,0,7
50-60,2020-07-16,0,247,0,211,0,29,0,7
50-60,2020-07-17,0,247,0,211,0,29,0,7
50-60,2020-07-18,0,247,0,211,0,29,0,7
50-60,2020-07-19,0,247,0,211,0,29,0,7
50-60,2020-07-20,0,247,0,211,0,29,0,7
50-60,2020-07-21,0,247,0,211,0,29,0,7
50-60,2020-07-22,0,247,0,211,0,29,0,7
50-60,2020-07-23,0,247,0,211,0,29,0,7
50-60,2020-07-24,0,247,0,211,0,29,0,7
50-60,2020-07-25,0,247,0,211,0,29,0,7
50-60,2020-07-26,0,247,0,211,0,29,0,7
50-60,2020-07-27,0,247,0,211,0,29,0,7
50-60,2020-07-28,0,247,0,211,0,29,0,7
50-60,2020-07-29,0,247,0,211,0,29,0,7
50-60,2020-07-30,0,247,0,211,0,29,0,7
50-60,2020-07-31,0,247,0,211,0,29,0,7
50-60,2020-08-01,0,247,0,211,0,29,0,7
50-60,2020-08-02,0,247,0,211,0,29,0,7
50-60,2020-08-03,0,247,0,211,0,29,0,7
50-60,2020-08-04,0,247,0,211,0,29,0,7
50-60,2020-08-05,0,247,0,211,0,29,0,7
50-60,2020-08-06,0,247,0,211,0,29,0,7
50-60,2020-08-07,0,247,0,211,0,29,0,7
50-60,2020-08-08,0,247,0,211,0,29,0,7
50-60,2020-08-09,0,247,0,211,0,29,0,7
50-60,2020-08-10,1,248,1,212,0,29,0,7
50-60,2020-08-11,0,248,0,212,0,29,0,7
50-60,2020-08-12,0,248,0,212,0,29,0,7
50-60,2020-08-13,1,249,1,213,0,29,0,7
50-60,2020-08-14,0,249,0,213,0,29,0,7
50-60,2020-08-15,0,249,0,213,0,29,0,7
50-60,2020-08-16,0,249,0,213,0,29,0,7
50-60,2020-08-17,0,249,0,213,0,29,0,7
50-60,2020-08-18,1,250,1,214,0,29,0,7
50-60,2020-08-19,0,250,0,214,0,29,0,7
50-60,2020-08-20,0,250,0,214,0,29,0,7
50-60,2020-08-21,0,250,0,214,0,29,0,7
50-60,2020-08-22,1,251,1,215,0,29,0,7
50-60,2020-08-23,0,251,0,215,0,29,0,7
50-60,2020-08-24,0,251,0,215,0,29,0,7
50-60,2020-08-25,0,251,0,215,0,29,0,7
50-60,2020-08-26,0,251,0,215,0,29,0,7
50-60,2020-08-27,1,252,1,216,0,29,0,7
50-60,2020-08-28,1,253,1,217,0,29,0,7
50-60,2020-08-29,1,254,1,218,0,29,0,7
50-60,2020-08-30,0,254,0,218,0,29,0,7
50-60,2020-08-31,0,254,0,218,0,29,0,7
50-60,2020-09-01,0,254,0,218,0,29,0,7
50-60,2020-09-02,1,255,1,219,0,29,0,7
50-60,2020-09-03,0,255,0,219,0,29,0,7
50-60,2020-09-04,0,255,0,219,0,29,0,7
50-60,2020-09-05,1,256,1,220,0,29,0,7
50-60,2020-09-06,0,256,0,220,0,29,0,7
50-60,2020-09-07,0,256,0,220,0,29,0,7
50-60,2020-09-08,2,258,2,222,0,29,0,7
50-60,2020-09-09,0,258,0,222,0,29,0,7
50-60,2020-09-10,0,258,0,222,0,29,0,7
50-60,2020-09-11,0,258,0,222,0,29,0,7
50-60,2020-09-12,0,258,0,222,0,29,0,7
50-60,2020-09-13,0,258,0,222,0,29,0,7
50-60,2020-09-14,1,259,1,223,0,29,0,7
50-60,2020-09-15,0,259,0,223,0,29,0,7
50-60,2020-09-16,0,259,0,223,0,29,0,7
50-60,2020-09-17,0,259,0,223,0,29,0,7
50-60,2020-09-18,0,259,0,223,0,29,0,7
50-60,2020-09-19,0,259,0,223,0,29,0,7
50-60,2020-09-20,0,259,0,223,0,29,0,7
50-60,2020-09-21,1,260,1,224,0,29,0,7
50-60,2020-09-22,0,260,0,224,0,29,0,7
50-60,2020-09-23,0,260,0,224,0,29,0,7
50-60,2020-09-24,0,260,0,224,0,29,0,7
50-60,2020-09-25,0,260,0,224,0,29,0,7
50-60,2020-09-26,0,260,0,224,0,29,0,7
50-60,2020-09-27,0,260,0,224,0,29,0,7
50-60,2020-09-28,1,261,1,225,0,29,0,7
50-60,2020-09-29,0,261,0,225,0,29,0,7
50-60,2020-09-30,1,262,1,226,0,29,0,7
50-60,2020-10-01,1,263,1,227,0,29,0,7
50-60,2020-10-02,0,263,0,227,0,29,0,7
50-60,2020-10-03,0,263,0,227,0,29,0,7
50-60,2020-10-04,0,263,0,227,0,29,0,7
50-60,2020-10-05,0,263,0,227,0,29,0,7
50-60,2020-10-06,1,264,1,228,0,29,0,7
50-60,2020-10-07,0,264,0,228,0,29,0,7
50-60,2020-10-08,2,266,2,230,0,29,0,7
50-60,2020-10-09,1,267,1,231,0,29,0,7
50-60,2020-10-10,0,267,0,231,0,29,0,7
50-60,2020-10-11,0,267,0,231,0,29,0,7
50-60,2020-10-12,1,268,1,232,0,29,0,7
50-60,2020-10-13,0,268,0,232,0,29,0,7
50-60,2020-10-14,0,268,0,232,0,29,0,7
50-60,2020-10-15,1,269,1,233,0,29,0,7
50-60,2020-10-16,0,269,0,233,0,29,0,7
50-60,2020-10-17,0,269,0,233,0,29,0,7
50-60,2020-10-18,3,272,3,236,0,29,0,7
50-60,2020-10-19,2,274,2,238,0,29,0,7
50-60,2020-10-20,2,276,2,240,0,29,0,7
50-60,2020-10-21,0,276,0,240,0,29,0,7
50-60,2020-10-22,0,276,0,240,0,29,0,7
50-60,2020-10-23,1,277,1,241,0,29,0,7
50-60,2020-10-24,2,279,2,243,0,29,0,7
50-60,2020-10-25,1,280,1,244,0,29,0,7
50-60,2020-10-26,4,284,3,247,1,30,0,7
50-60,2020-10-27,4,288,4,251,0,30,0,7
50-60,2020-10-28,2,290,2,253,0,30,0,7
50-60,2020-10-29,5,295,5,258,0,30,0,7
50-60,2020-10-30,5,300,5,263,0,30,0,7
50-60,2020-10-31,3,303,3,266,0,30,0,7
50-60,2020-11-01,7,310,7,273,0,30,0,7
50-60,2020-11-02,5,315,5,278,0,30,0,7
50-60,2020-11-03,4,319,3,281,1,31,0,7
50-60,2020-11-04,9,328,9,290,0,31,0,7
50-60,2020-11-05,6,334,6,296,0,31,0,7
50-60,2020-11-06,4,338,4,300,0,31,0,7
50-60,2020-11-07,6,344,6,306,0,31,0,7
50-60,2020-11-08,3,347,3,309,0,31,0,7
50-60,2020-11-09,6,353,5,314,1,32,0,7
50-60,2020-11-10,12,365,11,325,1,33,0,7
50-60,2020-11-11,5,370,4,329,1,34,0,7
50-60,2020-11-12,3,373,3,332,0,34,0,7
50-60,2020-11-13,4,377,4,336,0,34,0,7
50-60,2020-11-14,4,381,4,340,0,34,0,7
50-60,2020-11-15,5,386,5,345,0,34,0,7
50-60,2020-11-16,6,392,5,350,1,35,0,7
50-60,2020-11-17,2,394,2,352,0,35,0,7
50-60,2020-11-18,4,398,4,356,0,35,0,7
50-60,2020-11-19,6,404,6,362,0,35,0,7
50-60,2020-11-20,5,409,5,367,0,35,0,7
50-60,2020-11-21,2,411,2,369,0,35,0,7
50-60,2020-11-22,4,415,4,373,0,35,0,7
50-60,2020-11-23,4,419,4,377,0,35,0,7
50-60,2020-11-24,6,425,6,383,0,35,0,7
50-60,2020-11-25,8,433,8,391,0,35,0,7
50-60,2020-11-26,2,435,1,392,1,36,0,7
50-60,2020-11-27,6,441,6,398,0,36,0,7
50-60,2020-11-28,3,444,2,400,1,37,0,7
50-60,2020-11-29,6,450,6,406,0,37,0,7
50-60,2020-11-30,3,453,3,409,0,37,0,7
50-60,2020-12-01,3,456,3,412,0,37,0,7
50-60,2020-12-02,3,459,3,415,0,37,0,7
50-60,2020-12-03,2,461,2,417,0,37,0,7
50-60,2020-12-04,6,467,5,422,1,38,0,7
50-60,2020-12-05,2,469,2,424,0,38,0,7
50-60,2020-12-06,2,471,2,426,0,38,0,7
50-60,2020-12-07,5,476,5,431,0,38,0,7
50-60,2020-12-08,2,478,2,433,0,38,0,7
50-60,2020-12-09,3,481,3,436,0,38,0,7
50-60,2020-12-10,4,485,4,440,0,38,0,7
50-60,2020-12-11,5,490,5,445,0,38,0,7
50-60,2020-12-12,0,490,0,445,0,38,0,7
50-60,2020-12-13,5,495,4,449,1,39,0,7
50-60,2020-12-14,3,498,3,452,0,39,0,7
50-60,2020-12-15,1,499,1,453,0,39,0,7
50-60,2020-12-16,2,501,2,455,0,39,0,7
50-60,2020-12-17,4,505,4,459,0,39,0,7
50-60,2020-12-18,2,507,2,461,0,39,0,7
50-60,2020-12-19,0,507,0,461,0,39,0,7
50-60,2020-12-20,5,512,3,464,2,41,0,7
50-60,2020-12-21,2,514,2,466,0,41,0,7
50-60,2020-12-22,1,515,1,467,0,41,0,7
50-60,2020-12-23,1,516,1,468,0,41,0,7
50-60,2020-12-24,1,517,1,469,0,41,0,7
50-60,2020-12-25,2,519,2,471,0,41,0,7
50-60,2020-12-26,2,521,2,473,0,41,0,7
50-60,2020-12-27,1,522,1,474,0,41,0,7
50-60,2020-12-28,2,524,2,476,0,41,0,7
50-60,2020-12-29,2,526,2,478,0,41,0,7
50-60,2020-12-30,1,527,1,479,0,41,0,7
50-60,2020-12-31,0,527,0,479,0,41,0,7
50-60,2021-01-01,1,528,1,480,0,41,0,7
50-60,2021-01-02,1,529,1,481,0,41,0,7
50-60,2021-01-03,2,531,1,482,1,42,0,7
50-60,2021-01-04,5,536,5,487,0,42,0,7
50-60,2021-01-05,1,537,1,488,0,42,0,7
50-60,2021-01-06,2,539,2,490,0,42,0,7
50-60,2021-01-07,0,539,0,490,0,42,0,7
50-60,2021-01-08,3,542,3,493,0,42,0,7
50-60,2021-01-09,0,542,0,493,0,42,0,7
50-60,2021-01-10,1,543,1,494,0,42,0,7
50-60,2021-01-11,1,544,1,495,0,42,0,7
50-60,2021-01-12,1,545,1,496,0,42,0,7
50-60,2021-01-13,1,546,1,497,0,42,0,7
50-60,2021-01-14,1,547,1,498,0,42,0,7
50-60,2021-01-15,1,548,1,499,0,42,0,7
50-60,2021-01-16,2,550,2,501,0,42,0,7
50-60,2021-01-17,0,550,0,501,0,42,0,7
50-60,2021-01-18,1,551,1,502,0,42,0,7
50-60,2021-01-19,3,554,2,504,1,43,0,7
50-60,2021-01-20,1,555,1,505,0,43,0,7
50-60,2021-01-21,0,555,0,505,0,43,0,7
50-60,2021-01-22,2,557,2,507,0,43,0,7
50-60,2021-01-23,2,559,2,509,0,43,0,7
50-60,2021-01-24,2,561,2,511,0,43,0,7
50-60,2021-01-25,1,562,1,512,0,43,0,7
50-60,2021-01-26,1,563,1,513,0,43,0,7
50-60,2021-01-27,0,563,0,513,0,43,0,7
50-60,2021-01-28,1,564,1,514,0,43,0,7
50-60,2021-01-29,0,564,0,514,0,43,0,7
50-60,2021-01-30,0,564,0,514,0,43,0,7
50-60,2021-01-31,1,565,1,515,0,43,0,7
50-60,2021-02-01,0,565,0,515,0,43,0,7
50-60,2021-02-02,2,567,2,517,0,43,0,7
50-60,2021-02-03,3,570,3,520,0,43,0,7
50-60,2021-02-04,1,571,1,521,0,43,0,7
50-60,2021-02-05,1,572,1,522,0,43,0,7
50-60,2021-02-06,0,572,0,522,0,43,0,7
50-60,2021-02-07,1,573,1,523,0,43,0,7
50-60,2021-02-08,0,573,0,523,0,43,0,7
50-60,2021-02-09,1,574,1,524,0,43,0,7
50-60,2021-02-10,0,574,0,524,0,43,0,7
50-60,2021-02-11,1,575,1,525,0,43,0,7
50-60,2021-02-12,4,579,4,529,0,43,0,7
50-60,2021-02-13,0,579,0,529,0,43,0,7
50-60,2021-02-14,1,580,1,530,0,43,0,7
50-60,2021-02-15,0,580,0,530,0,43,0,7
50-60,2021-02-16,2,582,2,532,0,43,0,7
50-60,2021-02-17,0,582,0,532,0,43,0,7
50-60,2021-02-18,0,582,0,532,0,43,0,7
50-60,2021-02-19,2,584,2,534,0,43,0,7
50-60,2021-02-20,1,585,1,535,0,43,0,7
50-60,2021-02-21,1,586,1,536,0,43,0,7
50-60,2021-02-22,2,588,2,538,0,43,0,7
50-60,2021-02-23,2,590,2,540,0,43,0,7
50-60,2021-02-24,2,592,2,542,0,43,0,7
50-60,2021-02-25,1,593,1,543,0,43,0,7
50-60,2021-02-26,0,593,0,543,0,43,0,7
50-60,2021-02-27,0,593,0,543,0,43,0,7
50-60,2021-02-28,0,593,0,543,0,43,0,7
50-60,2021-03-01,3,596,3,546,0,43,0,7
50-60,2021-03-02,2,598,2,548,0,43,0,7
50-60,2021-03-03,0,598,0,548,0,43,0,7
50-60,2021-03-04,0,598,0,548,0,43,0,7
50-60,2021-03-05,1,599,1,549,0,43,0,7
50-60,2021-03-06,2,601,2,551,0,43,0,7
50-60,2021-03-07,1,602,1,552,0,43,0,7
50-60,2021-03-08,2,604,2,554,0,43,0,7
50-60,2021-03-09,0,604,0,554,0,43,0,7
60-70,2020-03-10,0,0,0,0,0,0,0,0
60-70,2020-03-11,0,0,0,0,0,0,0,0
60-70,2020-03-12,0,0,0,0,0,0,0,0
60-70,2020-03-13,0,0,0,0,0,0,0,0
60-70,2020-03-14,0,0,0,0,0,0,0,0
60-70,2020-03-15,1,1,1,1,0,0,0,0
60-70,2020-03-16,1,2,1,2,0,0,0,0
60-70,2020-03-17,0,2,0,2,0,0,0,0
60-70,2020-03-18,1,3,1,3,0,0,0,0
60-70,2020-03-19,5,8,4,7,1,1,0,0
60-70,2020-03-20,5,13,5,12,0,1,0,0
60-70,2020-03-21,1,14,1,13,0,1,0,0
60-70,2020-03-22,6,20,6,19,0,1,0,0
60-70,2020-03-23,7,27,6,25,0,1,1,1
60-70,2020-03-24,8,35,7,32,1,2,0,1
60-70,2020-03-25,11,46,7,39,2,4,2,3
60-70,2020-03-26,10,56,8,47,1,5,1,4
60-70,2020-03-27,11,67,11,58,0,5,0,4
60-70,2020-03-28,10,77,9,67,1,6,0,4
60-70,2020-03-29,16,93,12,79,3,9,1,5
60-70,2020-03-30,6,99,6,85,0,9,0,5
60-70,2020-03-31,19,118,17,102,2,11,0,5
60-70,2020-04-01,19,137,12,114,7,18,0,5
60-70,2020-04-02,24,161,22,136,2,20,0,5
60-70,2020-04-03,18,179,13,149,5,25,0,5
60-70,2020-04-04,14,193,12,161,2,27,0,5
60-70,2020-04-05,22,215,19,180,2,29,1,6
60-70,2020-04-06,19,234,14,194,5,34,0,6
60-70,2020-04-07,15,249,12,206,3,37,0,6
60-70,2020-04-08,15,264,9,215,6,43,0,6
60-70,2020-04-09,24,288,18,233,6,49,0,6
60-70,2020-04-10,17,305,11,244,6,55,0,6
60-70,2020-04-11,17,322,9,253,8,63,0,6
60-70,2020-04-12,20,342,15,268,5,68,0,6
60-70,2020-04-13,22,364,19,287,3,71,0,6
60-70,2020-04-14,13,377,9,296,4,75,0,6
60-70,2020-04-15,20,397,17,313,3,78,0,6
60-70,2020-04-16,14,411,11,324,3,81,0,6
60-70,2020-04-17,18,429,16,340,2,83,0,6
60-70,2020-04-18,16,445,14,354,2,85,0,6
60-70,2020-04-19,8,453,7,361,1,86,0,6
60-70,2020-04-20,9,462,8,369,1,87,0,6
60-70,2020-04-21,12,474,10,379,2,89,0,6
60-70,2020-04-22,11,485,10,389,1,90,0,6
60-70,2020-04-23,14,499,12,401,2,92,0,6
60-70,2020-04-24,17,516,15,416,1,93,1,7
60-70,2020-04-25,14,530,12,428,2,95,0,7
60-70,2020-04-26,7,537,7,435,0,95,0,7
60-70,2020-04-27,7,544,7,442,0,95,0,7
60-70,2020-04-28,10,554,9,451,1,96,0,7
60-70,2020-04-29,6,560,4,455,2,98,0,7
60-70,2020-04-30,4,564,4,459,0,98,0,7
60-70,2020-05-01,11,575,10,469,1,99,0,7
60-70,2020-05-02,6,581,5,474,1,100,0,7
60-70,2020-05-03,11,592,10,484,1,101,0,7
60-70,2020-05-04,4,596,4,488,0,101,0,7
60-70,2020-05-05,8,604,7,495,1,102,0,7
60-70,2020-05-06,10,614,9,504,1,103,0,7
60-70,2020-05-07,6,620,5,509,1,104,0,7
60-70,2020-05-08,5,625,4,513,1,105,0,7
60-70,2020-05-09,6,631,5,518,1,106,0,7
60-70,2020-05-10,2,633,1,519,1,107,0,7
60-70,2020-05-11,6,639,6,525,0,107,0,7
60-70,2020-05-12,5,644,4,529,1,108,0,7
60-70,2020-05-13,4,648,4,533,0,108,0,7
60-70,2020-05-14,1,649,0,533,1,109,0,7
60-70,2020-05-15,2,651,2,535,0,109,0,7
60-70,2020-05-16,2,653,1,536,1,110,0,7
60-70,2020-05-17,1,654,1,537,0,110,0,7
60-70,2020-05-18,2,656,2,539,0,110,0,7
60-70,2020-05-19,4,660,4,543,0,110,0,7
60-70,2020-05-20,1,661,1,544,0,110,0,7
60-70,2020-05-21,0,661,0,544,0,110,0,7
60-70,2020-05-22,3,664,3,547,0,110,0,7
60-70,2020-05-23,2,666,2,549,0,110,0,7
60-70,2020-05-24,5,671,4,553,1,111,0,7
60-70,2020-05-25,0,671,0,553,0,111,0,7
60-70,2020-05-26,1,672,1,554,0,111,0,7
60-70,2020-05-27,3,675,3,557,0,111,0,7
60-70,2020-05-28,2,677,2,559,0,111,0,7
60-70,2020-05-29,2,679,2,561,0,111,0,7
60-70,2020-05-30,0,679,0,561,0,111,0,7
60-70,2020-05-31,2,681,2,563,0,111,0,7
60-70,2020-06-01,1,682,1,564,0,111,0,7
60-70,2020-06-02,6,688,2,566,4,115,0,7
60-70,2020-06-03,3,691,3,569,0,115,0,7
60-70,2020-06-04,0,691,0,569,0,115,0,7
60-70,2020-06-05,1,692,1,570,0,115,0,7
60-70,2020-06-06,2,694,2,572,0,115,0,7
60-70,2020-06-07,1,695,1,573,0,115,0,7
60-70,2020-06-08,3,698,3,576,0,115,0,7
60-70,2020-06-09,3,701,2,578,1,116,0,7
60-70,2020-06-10,1,702,1,579,0,116,0,7
60-70,2020-06-11,0,702,0,579,0,116,0,7
60-70,2020-06-12,0,702,0,579,0,116,0,7
60-70,2020-06-13,0,702,0,579,0,116,0,7
60-70,2020-06-14,0,702,0,579,0,116,0,7
60-70,2020-06-15,1,703,1,580,0,116,0,7
60-70,2020-06-16,0,703,0,580,0,116,0,7
60-70,2020-06-17,2,705,2,582,0,116,0,7
60-70,2020-06-18,0,705,0,582,0,116,0,7
60-70,2020-06-19,0,705,0,582,0,116,0,7
60-70,2020-06-20,0,705,0,582,0,116,0,7
60-70,2020-06-21,2,707,2,584,0,116,0,7
60-70,2020-06-22,2,709,2,586,0,116,0,7
60-70,2020-06-23,0,709,0,586,0,116,0,7
60-70,2020-06-24,0,709,0,586,0,116,0,7
60-70,2020-06-25,0,709,0,586,0,116,0,7
60-70,2020-06-26,1,710,1,587,0,116,0,7
60-70,2020-06-27,0,710,0,587,0,116,0,7
60-70,2020-06-28,1,711,1,588,0,116,0,7
60-70,2020-06-29,0,711,0,588,0,116,0,7
60-70,2020-06-30,1,712,1,589,0,116,0,7
60-70,2020-07-01,0,712,0,589,0,116,0,7
60-70,2020-07-02,0,712,0,589,0,116,0,7
60-70,2020-07-03,1,713,1,590,0,116,0,7
60-70,2020-07-04,1,714,0,590,1,117,0,7
60-70,2020-07-05,0,714,0,590,0,117,0,7
60-70,2020-07-06,0,714,0,590,0,117,0,7
60-70,2020-07-07,0,714,0,590,0,117,0,7
60-70,2020-07-08,0,714,0,590,0,117,0,7
60-70,2020-07-09,0,714,0,590,0,117,0,7
60-70,2020-07-11,0,714,0,590,0,117,0,7
60-70,2020-07-12,0,714,0,590,0,117,0,7
60-70,2020-07-14,0,714,0,590,0,117,0,7
60-70,2020-07-15,1,715,1,591,0,117,0,7
60-70,2020-07-16,1,716,1,592,0,117,0,7
60-70,2020-07-17,1,717,1,593,0,117,0,7
60-70,2020-07-18,0,717,0,593,0,117,0,7
60-70,2020-07-19,0,717,0,593,0,117,0,7
60-70,2020-07-20,1,718,1,594,0,117,0,7
60-70,2020-07-21,0,718,0,594,0,117,0,7
60-70,2020-07-22,1,719,1,595,0,117,0,7
60-70,2020-07-23,0,719,0,595,0,117,0,7
60-70,2020-07-24,1,720,1,596,0,117,0,7
60-70,2020-07-25,0,720,0,596,0,117,0,7
60-70,2020-07-26,0,720,0,596,0,117,0,7
60-70,2020-07-27,1,721,1,597,0,117,0,7
60-70,2020-07-28,0,721,0,597,0,117,0,7
60-70,2020-07-29,1,722,1,598,0,117,0,7
60-70,2020-07-30,0,722,0,598,0,117,0,7
60-70,2020-07-31,0,722,0,598,0,117,0,7
60-70,2020-08-01,0,722,0,598,0,117,0,7
60-70,2020-08-02,0,722,0,598,0,117,0,7
60-70,2020-08-03,1,723,1,599,0,117,0,7
60-70,2020-08-04,1,724,1,600,0,117,0,7
60-70,2020-08-05,0,724,0,600,0,117,0,7
60-70,2020-08-06,0,724,0,600,0,117,0,7
60-70,2020-08-07,0,724,0,600,0,117,0,7
60-70,2020-08-08,0,724,0,600,0,117,0,7
60-70,2020-08-09,0,724,0,600,0,117,0,7
60-70,2020-08-10,1,725,0,600,1,118,0,7
60-70,2020-08-11,2,727,1,601,1,119,0,7
