time,S1,S1_LL,S1_UL,S4a,S4a_LL,S4a_UL,S4b,S4b_LL,S4b_UL,S4c,S4c_LL,S4c_UL,S4d,S4d_LL,S4d_UL,S5a,S5a_LL,S5a_UL,S5b,S5b_LL,S5b_UL,S5c,S5c_LL,S5c_UL,S5d,S5d_LL,S5d_UL
2020-09-01,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692,11.367041284527694,11.367041284527692,11.367041284527692
2020-09-02,11.08447172246401,11.083645826580504,11.085436341735027,11.083512913589844,11.08346136088999,11.083588764089374,11.047433333581512,11.047258788272007,11.04763741487045,11.013330400104326,11.01315863673444,11.013555401445432,11.00174074975792,11.00159324777936,11.001914249237268,11.084337466268947,11.08358092253826,11.085386241899268,11.082819245803334,11.082778034810133,11.082881805621929,11.07933729586082,11.079306104586406,11.07937350414995,11.075033660654881,11.074988862292084,11.075079207902283
2020-09-03,10.898324974619795,10.896252215991789,10.90032707706467,10.8992875689925,10.898332557494456,10.900698731844253,10.750185531141108,10.749306321134249,10.751176869817243,10.58668755734825,10.586185464081051,10.58728991487482,10.512273843585385,10.512052446791905,10.512512114126059,10.89847240969016,10.895848140847306,10.90026847400539,10.894133006010575,10.89311458882497,10.895692095181282,10.872525925764984,10.871461788107316,10.873765723940664,10.823390635444584,10.822545554193326,10.82429698953989
2020-09-04,10.820309357174818,10.816131047154455,10.825090733306759,10.818463916746973,10.81551244568384,10.822838119508189,10.43949534321786,10.43631310135397,10.443174307503543,10.004191577458954,10.00269220142247,10.00610958504701,9.799756108121471,9.799119016501692,9.800473080697806,10.820224256181586,10.814623135706068,10.825130259058124,10.805233807523887,10.802164069751413,10.809944971413913,10.736108101867805,10.732885581449061,10.73986546914625,10.589898553849238,10.587340187140287,10.592641552944295
2020-09-05,10.889128224834288,10.880571360793446,10.900087900035428,10.884046761982693,10.877033467615284,10.894442400077304,10.23511824545231,10.227534066032549,10.243895271041545,9.424614149077662,9.421158746819655,9.429104666773874,9.025188842989182,9.023853591067827,9.026732655806521,10.888648715670728,10.877031504111857,10.900176287818471,10.853365415132798,10.846117156954943,10.864491139955941,10.702278743028058,10.694878050977946,10.710915773272273,10.397263025537146,10.391601658683289,10.403340689305818
2020-09-06,11.10531455651718,11.090495124110639,11.12527798229413,11.097829442993053,11.084788957632231,11.117326466596456,10.150944948323133,10.137310534153912,10.16673747882881,8.893433204704914,8.887388314907295,8.901338650151644,8.246006762494797,8.24375075774737,8.248646520537104,11.104006838793474,11.083920555541976,11.125182238366852,11.035166096394123,11.021833440471804,11.055641086564977,10.760630109491428,10.747335581953566,10.776151484283002,10.237870013758197,10.227650582425452,10.249171514881297
2020-09-07,11.471642874552831,11.448644643936012,11.503705063388626,11.47178119092942,11.450634279671046,11.504067303590032,10.220128679933808,10.197169646319685,10.246739705653178,8.451867251489656,8.44198096581927,8.463143407831026,7.5088141907988275,7.505200906122946,7.513049113974118,11.469154973097377,11.438536757177147,11.503001919484127,11.349174800254584,11.327745210669306,11.382065564169475,10.90365060004289,10.882822393048304,10.927967928321141,10.108093398472212,10.091856982187045,10.127021014685342
2020-09-08,11.986002147190716,11.954548506554566,12.033644593696982,12.00015164969318,11.968659756095823,12.048988762032698,10.463893770200047,10.428986316210421,10.504388311571319,8.12860195724762,8.112321558253402,8.154764155854615,6.849488592227137,6.844057423736211,6.8558634586330225,11.980619519451432,11.937733891536737,12.032051759264784,11.781984934957837,11.750880594078295,11.830227124439066,11.107043185208827,11.077242449564224,11.141854566263733,9.988753276586035,9.966961325108446,10.013607519006927
2020-09-09,12.661900662231794,12.617664062003893,12.728186774584506,12.667534148137829,12.622860700724233,12.736248578998785,10.873899895945618,10.824924213662662,10.930717305885722,7.92341027068489,7.899475280659385,7.967652938178601,6.266741285058237,6.259449458224161,6.275304239328967,12.652689331893574,12.595764678845,12.724023224726034,12.335026012541132,12.282828758060084,12.417150357819507,11.352378019031216,11.312480546401439,11.399010746882968,9.868774815090553,9.841362473347699,9.898876465341173
2020-09-10,13.455600121525677,13.396921402163864,13.544061804674149,13.473422677724837,13.414293494107795,13.565100817049604,11.390469461268417,11.324913121656003,11.466612558892034,7.812232795956231,7.777952755141954,7.885151213914459,5.758199254655964,5.74874908547621,5.769301978428245,13.440970740736729,13.366336842686486,13.535984054544278,12.980247600292406,12.911458221731595,13.089304170053646,11.629673202853233,11.578935996994435,11.688985112766218,9.744866148911129,9.714134126939316,9.774664304660329
