time,F1,F1_LL,F1_UL,F4a,F4a_LL,F4a_UL,F4b,F4b_LL,F4b_UL,F4c,F4c_LL,F4c_UL,F4d,F4d_LL,F4d_UL,F5a,F5a_LL,F5a_UL,F5b,F5b_LL,F5b_UL,F5c,F5c_LL,F5c_UL,F5d,F5d_LL,F5d_UL
2020-12-21,1587.7479142147415,1517.7123692553448,1620.079379625437,1319.0895468456831,1274.9664074563832,1380.463001450384,903.2554500690065,854.9267574633668,946.9195705426908,277.40219888121686,261.48528469976645,297.3952794978723,14.286672748325005,12.816952322678482,15.58128384245854,1182.865616109422,1126.2217346569407,1244.0369819523848,341.804824491839,300.34702752078744,395.0414476498991,5.1971420391073995,4.673386154689054,6.13667621306988,0.5498925584171657,0.5106449115673981,0.601585170141492
2020-12-22,1556.825409978884,1491.334752342577,1587.4413624781864,1291.3017795807957,1250.1113263617451,1348.2623316744346,883.4104685405365,837.5813282663304,924.0507429462633,272.77801126686876,257.4029794182827,291.97107397518874,14.079516231648295,12.653368442994244,15.395091197671768,1164.1347083601204,1109.5787318776188,1222.7902468761315,338.42299868293617,297.51642069931427,391.220302704545,5.076915493103455,4.562796292853806,6.0046912215878265,0.5389003130348269,0.5002084860417972,0.5900081751543429
2020-12-23,1526.9009588102128,1463.9977302960065,1556.7596644259286,1263.79804772307,1224.510682563222,1315.8949886731214,863.5864052802691,821.1455004421888,900.6315548775133,267.7935245780628,253.06456618025183,286.25615634374606,13.903085221346005,12.475949957771707,15.192469106195462,1144.822624308626,1092.1162473426705,1201.2968158332005,334.8662477450921,294.5158142866829,387.19649904156313,4.960281776782044,4.452348117862825,5.87293862418395,0.5282708005340386,0.49000805719444746,0.5791227148295841
2020-12-24,1495.5215285056058,1435.8267377421548,1524.0393560449768,1235.293471560408,1198.2954425405096,1283.0793919426224,843.3825005537774,802.8307082573173,877.2358790340047,262.6923668263229,248.49483602837321,280.33654828971936,13.673967860375686,12.255712555902546,14.937142571609343,1124.9409425897113,1074.4182215259896,1178.413541792226,331.1982764374955,291.3585074217679,383.03808730996934,4.844044535952838,4.342917991587292,5.740522176689547,0.5171034704675785,0.47826424874080553,0.5669226906419518
2020-12-25,1462.8173881066193,1407.0239598616593,1489.9822279510067,1206.1212390476999,1171.6682778482095,1249.7116447852115,822.5041827279098,784.4995625228192,853.5111976290585,257.36999437076486,243.75045316481652,274.2170337779794,13.420918710572284,12.040084287776631,14.685594747300113,1104.426071197638,1055.9095312698703,1155.629620425889,327.2983035348086,288.0887297777564,378.6041866296068,4.724471296622963,4.232832927764048,5.606953074546851,0.505277682069448,0.46687976059564745,0.5541286055577944
2020-12-26,1430.3682955768577,1377.1370392572182,1456.9786733300145,1176.8313793701795,1144.2266659461807,1216.448864881539,801.5962355377025,766.7719019081646,829.305533936776,251.72960093079328,238.77855559665204,267.8501708185221,13.18268822095781,11.810245583786614,14.416625610176942,1083.1878424913343,1036.5412717946842,1132.2747670160613,323.1353454871078,284.57679703966835,373.8943626153523,4.605721432222804,4.120943546790432,5.470494056027799,0.49321078629533865,0.4549696775514652,0.5414624181483861
2020-12-27,1396.574596344174,1346.3188367553003,1421.844478042846,1146.6228479780273,1116.0822250096514,1182.6764263358566,780.2694109030132,747.3458688872515,805.3321366574962,246.01204072300058,233.5722823253029,261.3279186243422,12.90286487123135,11.543986220761106,14.10273938167124,1061.3694812523051,1017.1145822538153,1107.9159621511558,318.8455637443863,280.83053257105377,369.0677386965304,4.485659632715137,4.009165773789138,5.331222683232485,0.48027388127271775,0.4415364829225057,0.5276788330869335
2020-12-28,1361.5527777365983,1315.4522066466052,1385.04834832515,1116.0330702254385,1088.054460991377,1148.1698557084756,758.463192318618,727.1687767083698,781.5467893571927,240.3359910862345,228.359229746809,254.79760726904465,12.590963011195337,11.279442624813427,13.789402215851997,1039.2135373429082,997.1799100165326,1083.1547751576954,314.4005840979425,277.05666731963186,363.9583742736087,4.361216768919559,3.897195229272307,5.1915958880870345,0.46649522490899575,0.4281064341252882,0.5123712844776889
2020-12-29,1327.066176807672,1283.9841052270713,1349.9070936587484,1085.7525672068011,1059.7687521861844,1114.5380597242954,736.9124854109791,708.7959245530985,757.2329843326983,234.38005443061317,223.14159446315725,248.16885758582202,12.31728603252987,11.03552469686133,13.500345136649525,1016.396707979413,975.9178614587609,1058.4084465076894,309.5961552922258,273.1184097013891,358.431965075259,4.234790025672102,3.781213195896143,5.0489393163337475,0.4525572275690425,0.41533966937125444,0.4973599428150067
2020-12-30,1292.225656678651,1251.1228231941695,1314.511857154704,1054.7539409099886,1030.3315388608908,1081.0774444895542,715.2575689103709,689.5290171668112,732.5838155364426,228.09277958523623,217.5880963351747,241.25407234101698,12.035307109868304,10.754801121929287,13.166802619750978,992.7516829118447,954.0603105171867,1032.5674389995654,304.5163416664424,268.74003110912406,352.70452052484364,4.1100627934490355,3.662384523048935,4.9001383040906905,0.4383049716354655,0.4005766063246384,0.4833378072238641
2020-12-31,1255.6859712046862,1218.0664618811406,1276.0821471416405,1022.8777511208465,1000.5752015837585,1046.1617228589548,692.92218579171,668.5150737341394,708.9872683564529,222.00258200142986,211.83602179046233,234.31980152914488,11.696059746090544,10.44984581649614,12.802342534190561,969.0067885916035,932.9529423429997,1006.5349477970058,299.43095139814,264.1042425396955,346.9791630356991,3.98175916873467,3.546387937179884,4.7486346813830735,0.4226072034374614,0.38415959354099727,0.4663094893028112
2021-01-01,1219.385153183909,1185.7636732787755,1239.3429419840113,991.9152813792982,971.988318609568,1012.7004268034234,670.8705353678738,649.060807064039,685.5787868419816,216.03711489874513,206.38950318528637,227.60834872527107,11.37106450302056,10.19198061113327,12.493786274399003,945.3108184093388,911.0703991460302,981.1165828776473,294.1713108349589,259.6708601089736,340.8978753888249,3.849679980600333,3.429991579877907,4.600248425691144,0.40608199350446056,0.36949330233022093,0.44646352319180743
2021-01-02,1184.168955828564,1152.5407081262365,1202.6598500536857,961.2580430044602,942.831964135372,979.8289339563376,649.2729686102833,630.2547569076042,662.0927658223229,209.8502610398561,200.88058119457042,220.8036390091882,11.079129590982198,9.925105766719087,12.17346525620612,921.0285139493964,888.3543766659508,955.2632458366687,288.68128087488947,255.04755313044296,334.53929955258434,3.720694494006837,3.310185116290464,4.449352257789831,0.39013570230209976,0.3548045931010028,0.42912807017006793
2021-01-03,1148.1172264340512,1118.7740729399072,1165.6467910247013,930.0147786275561,912.6103001542937,946.5609522305559,627.8978269462813,609.6385522575463,638.9126580001061,203.7572326407133,195.19655567271042,213.98423840566855,10.75822517886376,9.606585061530216,11.791318096473017,896.5232932207135,866.1657989727582,929.6661553735357,283.164988356051,250.18502127983376,328.20731309655145,3.591639828057446,3.1922172781663285,4.296463325375866,0.37450635006390137,0.3392884836875817,0.41269573842966106
2021-01-04,1112.2897566770616,1085.6964125048585,1129.1815651021413,899.489340798189,883.118475417123,914.6117628418643,606.4596649790193,589.281407316895,616.7127465625925,197.7043695859254,189.64747687944734,207.27780484553148,10.443235373721556,9.311363069254046,11.437810278219395,872.1721910468888,843.5907817386076,904.0405826186856,277.4578091421371,245.3104618085686,321.63745098312495,3.4608610741724664,3.075286176915064,4.144850995962496,0.3583252349333995,0.32419236241429444,0.3953282906064628
2021-01-05,1076.7630694735626,1052.5210234298424,1092.7545904163285,869.1559725512394,854.299784137414,882.9240531862308,585.348629634765,570.2682375640319,594.658569569622,191.5752590511281,184.09814791801486,200.55886818844363,10.131462657926486,9.041761662770217,11.112162485492194,847.6673892524195,820.6168121366883,878.1168986995247,271.5968466766687,240.2894281105467,314.86743925878056,3.3307942689317387,2.9569691440409223,3.9923372411198277,0.3420810305518378,0.30894548243444886,0.3778069900080746
2021-01-06,1041.6941035977475,1019.5067362933063,1056.9289874797569,839.2219680248476,825.3608580853596,851.775987697307,564.7843619281335,551.047677996734,572.9729467718357,185.654268030536,178.61349829554882,194.03019433072484,9.823508156282852,8.770365605667864,10.78467929606319,823.3791176963567,798.1263710493237,852.5728651842544,265.8106864570878,235.2074453324577,308.1648924617737,3.203042758425229,2.840950906399171,3.84108706480062,0.3261139679869921,0.293888276392906,0.360303581864737
2021-01-07,1007.0131170171944,986.8235568733892,1021.6043873808001,809.8381501489545,796.7301786838127,821.4787880936707,544.4952819798276,532.0269049298537,551.7769396406558,179.87248527653088,173.25741174983384,187.68217785575635,9.525526944723447,8.506780413963149,10.46657640075321,799.303118136525,775.7436750505656,827.2263480463636,259.98440129806517,230.11658168436634,301.42901662438663,3.0766892469944676,2.7273640299485455,3.6921021838228203,0.3102657533345342,0.27914598883300146,0.3430529261218712
2021-01-08,973.0460727970542,954.6385143450315,986.9125821627053,781.1244591212366,768.5107523670275,792.1796220092422,524.8366310303027,513.3366212116919,531.348713432347,174.25164996555898,168.07568033845715,181.5463811925721,9.242529843003082,8.255559221984397,10.163417832325658,775.5543254608032,753.5760551241033,802.2549237852568,254.18727912246527,225.05648866065508,294.708275591365,2.9532350291264717,2.6157620917458875,3.546013375758042,0.29483589941400695,0.26476257969752076,0.3261795768878766
2021-01-09,939.8555400955926,923.1107230136379,953.0486435108426,753.1627756852761,740.6775269452703,763.837997392508,505.7935861193226,494.9989140494338,511.7298089669609,168.84769553489124,163.08212467906463,175.62966322797493,8.975628531645006,8.017262901916926,9.875982272764569,752.2629839123545,731.8588599816668,777.7774358361188,248.46140792355413,220.021623029463,288.0721999080214,2.8329509801315087,2.5073843181765696,3.4032779187628566,0.27988079313091285,0.2508479436495485,0.3098291846930155
2021-01-10,907.4599313907561,892.1227759252448,920.2567580191061,725.9969413666107,713.6753376057976,736.3448777452097,487.30542408706634,477.1309284695472,492.89270654482294,163.63831000625197,158.2545862738971,169.97383296434762,8.722894136381123,7.793055544764056,9.605457772853628,729.4524024519367,710.5638747851858,753.8267181169631,242.82320772000023,215.0636767340219,281.5379321516056,2.7162654447810812,2.4023929013338345,3.2648639404200672,0.26546173547212126,0.23747817031796797,0.29409691522702097
2021-01-11,876.0151464183143,861.8701162892563,888.3770867705945,699.6851615718882,687.5387257488472,709.8967410666144,469.516705151911,459.6077268143259,474.73807536487027,158.62986771745233,153.62180024214888,164.55093963839897,8.48622434190839,7.582193229376442,9.351258409406515,707.1912447804273,689.739124432353,730.4475189957691,237.29650664423204,210.20222742596056,275.11970416602526,2.603859214307054,2.3010789875936597,3.1310632011646016,0.25169813792336015,0.22470366771984918,0.2790515819254149
2021-01-12,845.4937780066774,832.5417719218683,857.4070399683718,674.2257808088367,662.225070242698,684.4524155764616,452.34885583195455,442.3987660992388,457.1953208922538,153.8103110875581,149.1708434214823,159.3108671503475,8.263329102387441,7.383911193383679,9.112404069757208,685.509379938594,669.4188486444979,707.6588304849188,231.87428384772744,205.4182643714782,268.82177030121574,2.495534975266676,2.2036939649016882,3.0020810420124304,0.23859068265486333,0.2125661730227706,0.2647507279913741
