Day since March 1st,SXmas3_incidences_mean,SXmas3_incidences_LL,SXmas3_incidences_UL,SXmas3_load_mean,SXmas3_load_LL,SXmas3_load_UL
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,1,1,1,0,0,0
9,5,4,3,0,0,0
10,14,14,14,0,0,0
11,28,30,29,0,0,0
12,54,55,55,0,0,0
13,91,86,92,0,0,0
14,116,119,112,0,0,0
15,92,93,93,350,350,350
16,96,93,95,442,443,443
17,154,153,144,538,536,538
18,171,175,179,692,689,682
19,211,202,216,863,863,860
20,274,283,277,1069,1061,1073
21,330,331,332,1331,1333,1339
22,283,291,292,1637,1639,1646
23,309,319,315,1877,1882,1891
24,521,519,509,2118,2139,2138
25,553,547,542,2552,2570,2564
26,574,568,569,3009,3021,3009
27,623,619,613,3476,3484,3473
28,625,630,629,3981,3986,3977
29,486,492,485,4474,4479,4467
30,451,459,459,4796,4813,4782
31,647,642,663,5050,5068,5038
32,617,629,620,5448,5466,5458
33,599,589,590,5771,5790,5775
34,559,547,561,6026,6026,6016
35,533,547,529,6180,6168,6182
36,375,369,369,6287,6290,6288
37,331,336,331,6211,6218,6212
38,466,456,473,6072,6088,6079
39,445,445,453,6061,6060,6072
40,423,429,429,5997,5994,6021
41,430,421,432,5915,5913,5938
42,396,412,402,5849,5842,5859
43,265,257,262,5765,5770,5786
44,237,231,236,5568,5572,5587
45,228,223,220,5355,5363,5374
46,331,341,342,5155,5142,5171
47,324,321,322,5079,5082,5108
48,269,278,267,5014,5005,5037
49,265,261,269,4899,4911,4916
50,182,185,184,4793,4804,4808
51,170,163,166,4613,4622,4629
52,221,230,224,4426,4428,4429
53,216,216,223,4306,4304,4299
54,209,201,204,4178,4180,4178
55,189,194,191,4041,4049,4044
56,180,177,184,3886,3908,3910
57,127,127,126,3747,3753,3766
58,110,118,111,3554,3560,3577
59,156,162,152,3365,3375,3391
60,149,143,148,3219,3235,3233
61,143,140,147,3080,3081,3087
62,104,108,106,2937,2939,2950
63,85,89,87,2781,2775,2790
64,87,86,86,2609,2612,2619
65,79,78,80,2452,2464,2464
66,123,127,125,2304,2314,2312
67,110,112,110,2208,2227,2219
68,104,107,105,2109,2132,2125
69,92,89,93,2023,2039,2034
70,87,88,87,1928,1936,1942
71,64,60,60,1839,1852,1854
72,50,55,53,1732,1748,1738
73,75,78,73,1624,1641,1633
74,72,70,73,1551,1568,1558
75,62,65,71,1485,1495,1486
76,64,63,63,1407,1424,1416
77,64,55,59,1345,1356,1351
78,43,46,44,1287,1291,1289
79,39,38,40,1217,1219,1220
80,57,57,55,1145,1145,1147
81,53,57,56,1099,1097,1096
82,51,50,51,1045,1059,1051
83,48,48,47,1008,1016,1010
84,48,46,46,965,970,968
85,36,38,37,929,930,927
86,30,33,32,889,890,881
87,45,44,42,840,848,837
88,44,45,43,812,824,809
89,41,39,40,784,796,780
90,38,36,40,756,767,752
91,36,39,38,730,738,728
92,25,27,26,703,712,702
93,22,24,24,672,683,670
94,33,35,34,639,649,637
95,32,32,33,615,631,618
96,35,33,32,593,608,595
97,30,27,30,578,590,575
98,28,30,29,560,567,558
99,21,21,21,542,548,539
100,18,17,17,517,526,515
101,27,25,25,492,502,489
102,25,24,27,478,482,473
103,24,24,27,465,465,460
104,21,25,24,454,451,449
105,23,24,24,438,440,435
106,15,16,15,426,429,423
107,14,14,14,405,408,404
108,21,21,19,384,392,386
109,20,19,20,375,380,373
110,19,19,19,366,370,362
111,21,19,18,356,364,354
112,16,18,18,349,356,345
113,12,12,13,337,348,334
114,11,11,11,324,335,319
115,17,19,16,311,320,304
116,14,15,16,304,313,295
117,16,14,14,298,304,287
118,13,14,13,289,296,280
119,13,15,14,278,287,273
120,10,11,10,270,282,267
121,8,8,9,258,273,255
122,10,11,11,245,262,244
123,12,12,15,237,252,235
124,13,13,12,230,246,231
125,11,12,10,226,241,226
126,10,11,11,219,232,218
127,7,8,8,213,227,212
128,6,6,6,203,221,204
129,9,10,11,194,211,197
130,11,10,10,189,205,193
131,9,11,9,185,199,188
132,11,12,9,180,196,181
133,11,10,9,177,196,176
134,10,8,8,174,192,170
135,8,9,9,173,185,165
136,13,13,14,168,180,161
137,11,15,16,169,181,164
138,15,14,14,170,185,168
139,17,15,14,174,189,172
140,18,15,15,179,194,175
141,12,13,12,186,198,179
142,11,11,12,187,199,182
143,19,17,19,189,198,185
144,19,22,19,198,205,193
145,21,19,20,204,215,201
146,21,22,18,215,222,210
147,20,22,23,222,232,213
148,17,17,18,230,240,223
149,16,15,14,234,244,227
150,25,23,26,236,245,227
151,27,26,28,244,254,237
152,30,28,27,255,264,249
153,29,29,29,269,276,262
154,30,32,29,281,289,273
155,24,22,22,293,302,285
156,22,24,22,298,305,290
157,33,34,34,303,310,295
