SMR,mean,lower,upper
0.1,2.0776365859895183,0.6125523586005305,3.3654433789207596
0.2,2.370947786736072,0.7160670696561418,4.200310611663404
0.30000000000000004,2.5496045571311488,0.7876467492508029,4.2074083429647295
0.4,2.7645384499377315,0.9161989698860473,4.635698648544926
0.5,2.981480757846196,0.907517428092621,5.04987015879806
0.6,3.0582942929526915,0.8075003209081102,5.260741779717015
0.7000000000000001,3.320691070030891,1.2732214480548318,5.61476399267959
0.8,3.509268769459507,1.1597550352161012,6.00627618931071
0.9,3.411224712707803,1.1659070006993015,5.834710654430678
1.0,3.6324682939251747,1.1095810719759565,6.121410571466273
1.1,3.749486061942419,1.20354598399448,6.428837865847779
1.2000000000000002,3.897931865298745,1.5701666841108366,6.506210091585086
1.3000000000000003,3.9401873124600013,1.1010687371807713,6.351443022820312
1.4000000000000001,4.036007192760367,1.4658241514669945,7.006468384844955
1.5000000000000002,4.193294443416966,1.3704204078927975,6.922689183195838
1.6,4.379946827565012,1.6165159263427262,7.301426086097817
1.7000000000000002,4.292720590048597,1.2492110512927763,7.389468287848701
1.8000000000000003,4.538273076581474,1.1840168263415218,7.699465665132557
1.9000000000000001,4.670354969424267,1.5113621802448485,7.826880004190851
2.0,4.512107476548577,1.3531423437048598,7.8634524660307665
