age_cat,collection_midpoint,fraction_pos_direct,fraction_pos_mean,fraction_pos_LL,fraction_pos_UL
"[80,90)",2020-07-01 12:00:00,0.0375,0.03753100000000001,0.027,0.049
"[80,90)",2020-09-09 12:00:00,0.029940119760479042,0.030004000000000006,0.02,0.041
"[80,90)",2020-10-14 12:00:00,0.0375,0.03739,0.026,0.05
"[90,Inf)",2020-04-02 00:00:00,0.02843601895734597,0.028174000000000008,0.018,0.039
"[90,Inf)",2020-04-23 00:00:00,0.14871794871794872,0.14871299999999998,0.126,0.17
"[90,Inf)",2020-05-21 12:00:00,0.09803921568627451,0.098292,0.08,0.117
"[90,Inf)",2020-06-10 12:00:00,0.08461538461538462,0.08492899999999999,0.067,0.102
"[90,Inf)",2020-07-01 12:00:00,0.07142857142857142,0.070914,0.056,0.086
"[90,Inf)",2020-09-09 12:00:00,0.06790123456790123,0.06768500000000001,0.052,0.08300000000000002
"[90,Inf)",2020-10-14 12:00:00,0.07086614173228346,0.07120599999999999,0.055,0.089
total,2020-04-02 00:00:00,0.02557544757033248,0.02575300000000001,0.016,0.036
total,2020-04-23 00:00:00,0.056814836620547544,0.057043,0.043,0.072
total,2020-05-21 12:00:00,0.06570018507094386,0.06599099999999998,0.051,0.082
total,2020-06-10 12:00:00,0.05675675675675676,0.056604000000000015,0.043,0.072
total,2020-07-01 12:00:00,0.04565001653986107,0.04551,0.033,0.05902499999999997
total,2020-09-09 12:00:00,0.04069576632753528,0.040537000000000004,0.028,0.053
total,2020-10-14 12:00:00,0.04821308159136885,0.04802100000000001,0.036,0.062
