,NIS,name
1521,57018,Celles (Doornik)
1530,57027,Estaimpuis
1565,57062,Pecq
1567,57064,Péruwelz
1575,57072,Rumes
1584,57081,Doornik
1596,57093,Brunehaut
1597,57094,Leuze-en-Hainaut
1598,57095,Mont-de-l'Enclus
1599,57096,Moeskroen
1600,57097,Komen-Waasten
1601,58001,La Louvière
1602,58002,Binche
1603,58003,Estinnes
1604,58004,Morlanwelz
1607,61003,Amay
1614,61010,Burdinne
1616,61012,Clavier
1624,61019,Ferrières
1629,61024,Hamoir
1633,61028,Héron
1636,61031,Hoei
1644,61039,Marchin
1646,61041,Modave
1648,61043,Nandrin
1653,61048,Ouffet
1668,61063,Verlaine
1673,61068,Villers-Le-Bouillet
1677,61072,Wanze
1684,61079,Anthisnes
1685,61080,Engis
1686,61081,Tinlot
1689,62003,Ans
1692,62006,Awans
1695,62009,Aywaille
1697,62011,Bitsingen
1701,62015,Beyne-Heusay
1708,62022,Chaudfontaine
1711,62026,Comblain-au-Pont
1712,62027,Dalhem
1717,62032,Esneux
1723,62038,Fléron
1735,62051,Herstal
1744,62060,Juprelle
1747,62063,Luik
1763,62079,Oupeye
1776,62093,Saint-Nicolas (Luik)
1779,62096,Seraing
1782,62099,Soumagne
1783,62100,Sprimont
1791,62108,Wezet
1800,62118,Grâce-Hollogne
1801,62119,Blegny
1802,62120,Flémalle
1803,62121,Neupré
1804,62122,Trooz
1805,63001,Amel
1807,63003,Aubel
1808,63004,Baelen
1816,63012,Büllingen
1817,63013,Bütgenbach
1823,63020,Dison
1826,63023,Eupen
1838,63035,Herve
1841,63038,Jalhay
1843,63040,Kelmis
1848,63045,Lierneux
1849,63046,Limburg
1851,63048,Lontzen
1852,63049,Malmedy
1860,63057,Olne
1861,63058,Pepinster
1864,63061,Raeren
1870,63067,Sankt Vith
1875,63072,Spa
1876,63073,Stavelot
1878,63075,Stoumont
1879,63076,Theux
1882,63079,Verviers
1883,63080,Weismes
1887,63084,Welkenraedt
1889,63086,Trois-Ponts
1890,63087,Burg-Reuland
1891,63088,Plombières
1892,63089,Thimister-Clermont
1899,64008,Berloz
1906,64015,Braives
1912,64021,Crisnée
1914,64023,Donceel
1916,64025,Fexhe-le-Haut-Clocher
1918,64029,Geer
1922,64034,Hannuit
1933,64047,Lijsem
1940,64056,Oerle
1945,64063,Remicourt
1947,64065,Saint-Georges-sur-Meuse
1954,64074,Borgworm
1955,64075,Wasseiges
1956,64076,Faimes
1958,71002,As
1960,71004,Beringen
1967,71011,Diepenbeek
1972,71016,Genk
1973,71017,Gingelom
1976,71020,Halen
1978,71022,Hasselt
1980,71024,Herk-de-Stad
1990,71034,Leopoldsburg
1992,71037,Lummen
2000,71045,Nieuwerkerken (Hasselt)
2008,71053,Sint-Truiden
2012,71057,Tessenderlo
2021,71066,Zonhoven
2022,71067,Zutendaal
2024,71069,Ham
2025,71070,Heusden-Zolder
2027,72003,Bocholt
2028,72004,Bree
2041,72018,Kinrooi
2043,72020,Lommel
2044,72021,Maaseik
2053,72030,Peer
2060,72037,Hamont-Achel
2061,72038,Hechtel-Eksel
2062,72039,Houthalen-Helchteren
2064,72041,Dilsen-Stokkem
2065,72042,Oudsbergen
2066,72043,Pelt
2067,73001,Alken
2072,73006,Bilzen
2075,73009,Borgloon
2088,73022,Heers
2094,73028,Herstappe
2098,73032,Hoeselt
2106,73040,Kortessem
2108,73042,Lanaken
2132,73066,Riemst
2149,73083,Tongeren
2164,73098,Wellen
2173,73107,Maasmechelen
2175,73109,Voeren
2176,81001,Aarlen
2178,81003,Attert
2179,81004,Aubange
2188,81013,Martelange
2190,81015,Messancy
2201,82003,Bastenaken
2203,82005,Bertogne
2207,82009,Fauvillers
2212,82014,Houffalize
2230,82032,Vielsalm
2234,82036,Vaux-sur-Sûre
2235,82037,Gouvy
2236,82038,Sainte-Ode
2248,83012,Durbuy
2249,83013,Erezée
2264,83028,Hotton
2267,83031,La Roche-en-Ardenne
2270,83034,Marche-en-Famenne
2276,83040,Nassogne
2280,83044,Rendeux
2285,83049,Tenneville
2291,83055,Manhay
2299,84009,Bertrix
2300,84010,Bouillon
2306,84016,Daverdisse
2319,84029,Herbeumont
2323,84033,Léglise
2325,84035,Libin
2333,84043,Neufchâteau (Neufchâteau)
2340,84050,Paliseul
2348,84059,Saint-Hubert
2357,84068,Tellin
2364,84075,Wellin
2366,84077,Libramont-Chevigny
2373,85007,Chiny
2375,85009,Etalle
2377,85011,Florenville
2390,85024,Meix-devant-Virton
2392,85026,Musson
2400,85034,Saint-Léger (Virton)
2405,85039,Tintigny
2411,85045,Virton
2412,85046,Habay
2413,85047,Rouvroy
2418,91005,Anhée
2424,91013,Beauraing
2425,91015,Bièvre
2438,91030,Ciney
2441,91034,Dinant
2459,91054,Gedinne
2463,91059,Hamois
2467,91064,Havelange
2474,91072,Houyet
2501,91103,Onhaye
2511,91114,Rochefort
2517,91120,Somme-Leuze
2537,91141,Yvoir
2538,91142,Hastière
2539,91143,Vresse-sur-Semois
2542,92003,Andenne
2545,92006,Assesse
2574,92035,Eghezée
2583,92045,Floreffe
2586,92048,Fosses-la-Ville
2592,92054,Gesves
2623,92087,Mettet
2630,92094,Namen
2633,92097,Ohey
2637,92101,Profondeville
2649,92114,Sombreffe
2672,92137,Sambreville
2674,92138,Fernelmont
2676,92140,Jemeppe-sur-Sambre
2677,92141,La Bruyère
2678,92142,Gembloux
2688,93010,Cerfontaine
2692,93014,Couvin
2696,93018,Doische
2700,93022,Florennes
2734,93056,Philippeville
2766,93088,Walcourt
2768,93090,Viroinval
