,A01,A02,A03,B05-09,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31-32,C33,D35,E36,E37-39,F41-43,G45,G46,G47,H49,H50,H51,H52,H53,I55-56,J58,J59-60,J61,J62-63,K64,K65,K66,L68,M69-70,M71,M72,M73,M74-75,N77,N78,N79,N80-82,O84,P85,Q86,Q87-88,R90-92,R93,S94,S95,S96,T97-98
C31-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C33,1,1,1,1,1,0,0.5,1,0,0.5,1,1,1,0,1,0,1,0.5,0,0,0,0,1,1,1,0,1,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D35,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0.5,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0
E36,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0.5,1,0,0.5,1,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
E37-39,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0.5,1,1,1,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
F41-43,0,0,0,0,0,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G45,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G46,0.5,0.5,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0.5,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G47,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0.5,1,1,1,1,1,1,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0,0
H50,0.5,0.5,1,1,0,0,0,1,0,1,0.5,0,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H51,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0.5,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H52,0.5,0,0.5,0.5,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0.5,0.5,1,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
H53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,1,1,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
I55-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
J58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
J59-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
J61,1,0.5,1,0,0.5,0,0,1,0,0.5,1,0.5,1,0,0,0,0.5,0.5,0,1,1,0,0,0,0,0.5,1,0.5,0,1,1,1,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0.5,0.5,0.5,0,0,0,0,0,0
J62-63,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,0,0,0,0,1,0.5,0,0,1,1,1,1,1,0
K64,1,0,0,0,0.5,0.5,0,0.5,0.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,1,1,1,1,1,0.5,0.5,0.5,0,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0
K65,0,0,0.5,0,0,0,0,0,0,0,1,0.5,1,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,1,1,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
K66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M69-70,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.5,0,0,1,1,1,1,1,0
