APR_MDC_key,length_of_stay
00,7.920530340003253
01,5.751032118116297
02,1.1515380736258194
03,1.5035853271836264
04,6.6768180624835916
05,4.6706614785992215
06,2.7608910507344677
07,5.2262125138837465
08,4.8373046217844795
09,2.952946491964113
10,2.448780900778869
11,3.467185516365844
12,1.7565187944463259
13,2.3842931937172773
14,4.75272465556241
15,11.020325750437475
16,1.5095433522246107
17,1.0281537945401065
18,10.15599593495935
19,3.4664804469273744
20,2.2135642135642137
21,5.385040530582167
22,11.101584342963653
23,1.1896577556131076
24,6.8015320334261835
25,31.17616580310881
AA,10.831896005072924
PP,42.922158154859964
