APR_MDC_key,week_number,median,mean,std,q0.025,q0.975
00,1,30.79,31.50052857142857,2.9598060558384605,26.5095,36.23525
00,2,37.0,35.96346190476191,3.841726831281663,29.46,42.02525
00,3,33.81,33.13684285714285,2.8124739472102527,27.9695,37.01
00,4,34.96,34.4078,2.612046727514156,29.799,38.49
00,5,38.945,37.416866666666664,3.834068612595767,31.60475,43.01525
00,6,35.24,34.07275714285714,2.791037068227285,29.71475,37.7
00,7,32.43,33.24639523809523,1.5727092829831855,31.4,36.23
00,8,36.010000000000005,34.91995714285714,4.385846779733034,28.13475,41.18
00,9,34.31,34.139785714285715,2.221143944220808,30.07,37.17
00,10,33.12,33.99686666666667,2.504800211286246,30.79,38.35
00,11,33.42,32.47134761904762,2.397435016339226,27.93,35.52
00,12,32.32,31.64724285714286,1.4545730053820138,29.4,33.31
00,13,34.43,33.39157142857143,2.885412623813878,28.47,37.03
00,14,32.51,31.88440476190476,3.811292675833677,25.85,37.46525
00,15,29.0,29.037814285714287,2.5957755349247598,25.01,33.48525
00,16,32.17,31.316438095238098,3.1727561653970806,25.934250000000002,36.08
00,17,29.88,28.758728571428573,2.573870377652224,24.47,32.1205
00,18,28.625,28.29295714285714,2.200568523724029,24.96,32.405249999999995
00,19,32.16,31.86558571428571,2.5318804415974716,28.23,36.865249999999996
00,20,32.985,31.99845238095238,2.879746980693742,26.95475,35.19525
00,21,32.495000000000005,32.32292380952381,3.9382394167416677,26.3395,38.13
00,22,32.5,31.39797142857143,2.598200934931385,26.84,34.1
00,23,31.8,32.11270476190476,2.8180090246074485,27.9495,38.17
00,24,31.445,30.410095238095238,2.64041019061947,25.48,33.94
00,25,29.955,29.313914285714286,2.510494848673754,25.06,33.35
00,26,31.97,32.12383809523809,2.8268352372027175,27.7,36.04
00,27,31.19,30.0515,2.564767399349881,25.64475,33.02
00,28,28.26,28.31030476190476,1.9376121959495713,25.76,32.19
00,29,25.32,25.585742857142858,2.722479930234612,21.27,30.33525
00,30,26.02,25.733819047619047,2.531569004624007,21.34475,29.64
00,31,24.395,23.54772380952381,2.9666760850682214,18.2995,27.8
00,32,26.51,26.273490476190478,2.4497833483667506,22.55,30.12
00,33,29.045,28.08278095238095,2.1995966280168044,24.82,31.12
00,34,28.32,27.021404761904762,2.6681785773099302,22.36,30.13
00,35,26.49,26.754952380952382,2.546332105526145,23.03,31.34525
00,36,28.82,28.954590476190475,2.774970064760879,24.86,35.30525
00,37,31.97,31.473200000000002,2.16272926049845,27.33,35.00525
00,38,33.65,33.50505238095238,1.4753339096436044,30.5495,36.13525
00,39,34.04,33.01723333333334,3.8505860060055626,26.59475,38.46525
00,40,31.86,31.863390476190474,2.4768362286549035,27.84,35.84
00,41,34.23,33.252542857142856,2.7117275716137343,28.73,36.975249999999996
00,42,35.58,34.59891904761905,3.210186297984051,28.54,38.84
00,43,33.43,31.35085238095238,4.483369171747468,24.0095,36.725249999999996
00,44,27.915,27.55105238095238,2.44688079378208,23.30475,31.59
00,45,28.42,28.51107142857143,2.811052413069895,24.1,33.8305
00,46,29.92,29.10068095238095,3.549520009034924,22.86475,34.13
00,47,28.82,28.67924285714286,1.6965685593797792,25.44475,31.54525
00,48,29.16,28.15927619047619,3.3599958667799394,22.63475,33.7
00,49,33.025000000000006,32.826076190476186,3.269043890786753,27.67475,38.59
00,50,32.54,31.67814285714286,3.1256624229513412,25.65425,36.05525
00,51,28.775,27.662238095238095,3.8068085416117374,21.4695,32.960499999999996
00,52,22.77,22.891261904761905,1.4386867317543215,20.23475,25.92
00,53,23.52,23.95158095238095,1.9843958152101417,20.76,27.0
01,1,81.43,83.44730952380952,7.2005193389934945,74.32,94.4205
01,2,95.07,91.77709047619048,7.8292356755844486,78.98,100.65525
01,3,89.42,86.77430952380952,7.714907168266191,74.35,96.34525
01,4,92.195,91.26360476190476,8.261378577105662,78.32475,101.89
01,5,90.72,89.9695619047619,7.622059695101431,77.84475,99.98049999999999
01,6,92.44,91.57575238095238,7.788371754946785,79.64475,103.11
01,7,91.77,89.89767142857143,7.746711014692466,76.65,101.03575
01,8,98.08500000000001,95.04194285714286,7.399783312986446,83.05,104.66
01,9,100.72,98.5685,9.374831341662244,84.03,112.34525
01,10,101.7,99.67045238095238,6.974573212467063,88.01475,108.84049999999999
01,11,100.81,96.75932857142857,10.854011312805293,79.41475,110.66525
01,12,96.25,95.97513333333333,7.974375734068575,84.17475,107.39
01,13,97.62,94.90729047619047,6.918941056747193,83.09,102.83
01,14,94.74,94.63234761904762,7.971713627821937,83.26,107.28525
01,15,95.005,92.24856190476191,9.460758889718702,77.41475,105.78
01,16,95.47,93.13303333333333,7.405753135462637,81.2,103.00525
01,17,100.31,96.15310000000001,8.416816792359839,81.79475000000001,107.48
01,18,92.39,90.09962857142857,8.865211116075063,76.63475,101.48
01,19,90.595,89.53807619047619,9.024611503063939,74.71,101.6605
01,20,89.01,87.08227142857142,8.502341713285498,74.1095,98.58
01,21,95.16,90.32154761904762,8.26047333158683,77.83425,99.71525
01,22,91.11,90.30323809523809,6.336826355639785,79.64,98.59049999999999
01,23,97.12,96.08667619047618,8.571694274444468,82.089,106.78
01,24,96.32499999999999,96.79279523809524,6.912373625852307,87.16475,108.27525
01,25,99.975,97.10850476190475,8.613781641154052,83.12,106.93
01,26,96.5,94.10563809523809,9.376142695993114,79.89,107.14
01,27,97.5,93.39051904761905,8.201808459005004,78.84,100.76
01,28,93.63499999999999,90.77831904761905,7.684293911831451,78.51,99.63525
01,29,83.7,85.6478857142857,9.391194552236039,72.24,101.76
