APR_MDC_key,date,median,mean,std,q0.025,q0.975
00,2020-01-05,0.38268630035852114,0.38299994498506257,0.020612573817033502,0.3472632634914667,0.42412236700298545
00,2020-01-12,0.3365481426304928,0.33757191363689654,0.017271499252258883,0.3064043919438687,0.37309232423467226
00,2020-01-19,0.5484890105445881,0.5500104804792322,0.027971916371322268,0.4990441144153794,0.6073072044855532
00,2020-01-26,0.4829142106756518,0.48468021722979043,0.02246582905549941,0.4443805344432908,0.5315448952841191
00,2020-02-02,0.4599386851144373,0.4604538041199424,0.012981507826881927,0.43568989617745896,0.48673343503361843
00,2020-02-09,0.41081062668561896,0.4110270124858548,0.00618572022343846,0.39988214478530015,0.42380730846411635
00,2020-02-16,0.3647047118743427,0.36494750459666303,0.007256245372914681,0.3521503962737532,0.37975563758096964
00,2020-02-23,0.3546991332373808,0.35520487817947305,0.00969619709546858,0.33788411957809944,0.3746822886657225
00,2020-03-01,0.4437102089296013,0.44399719848688035,0.009415938122089457,0.42606066168606505,0.4625377210356393
00,2020-03-08,0.40994928689940924,0.4102008367402846,0.007290515882683089,0.39689536470393433,0.4243872519404693
00,2020-03-15,0.382497964903693,0.38321444855306,0.011820144588235378,0.3621367282533193,0.4066855211608699
00,2020-03-22,0.3276681518661298,0.32789739461306283,0.006540605296383346,0.3159757251188006,0.34153237945997683
00,2020-03-29,0.26144654801899164,0.26156747059187724,0.004546748011145753,0.25331584693671255,0.2706626908632136
00,2020-04-05,0.2734430925123829,0.2736425646194999,0.008481386916705183,0.2572319988360992,0.2902272449915543
00,2020-04-12,0.3211596666247522,0.32178472705253786,0.013170376729857663,0.297869018425604,0.34887297696512876
00,2020-04-19,0.30159233928785995,0.302296380490983,0.014784285217427388,0.276081040352471,0.33332737848455407
00,2020-04-26,0.4349947405435001,0.436088405378367,0.013689394815613345,0.4118133260919062,0.4650461673277951
00,2020-05-03,0.4485592272775142,0.4494240036953653,0.018323689834882934,0.41600242655263603,0.48774992770379544
00,2020-05-10,0.43214283032680223,0.43240184855173175,0.0126270080603578,0.4085215154003063,0.45756136731425723
00,2020-05-17,0.5021061747951862,0.5024076737702756,0.008991094215038437,0.4860032618301155,0.520413658451127
00,2020-05-24,0.4637736985064735,0.46373582916258055,0.013172590538873508,0.43997629276469247,0.49034569347982143
00,2020-05-31,0.48696329655801807,0.48737011014874637,0.013566109473893579,0.4623468963090473,0.5155875501156374
00,2020-06-07,0.4776273861061463,0.47784946662724453,0.01853868407542533,0.44394244406258343,0.5145744039969096
00,2020-06-14,0.38969069972306775,0.39070788435122555,0.013528340110657209,0.366755392689357,0.4188591016596961
00,2020-06-21,0.45756032411922104,0.4580991742852999,0.013707718785722583,0.43306275176666864,0.48642892472588034
00,2020-06-28,0.5365697523725147,0.5370184151493013,0.012946590688876622,0.5133087710913328,0.5617830467597271
00,2020-07-05,0.5595387552502861,0.5601448374554072,0.018268990109817883,0.5281026349188912,0.5965981520716511
00,2020-07-12,0.5310402868408197,0.5315259434669463,0.019383919351589705,0.49499988875927176,0.5688780410459421
00,2020-07-19,0.5653529085213476,0.5660012119789134,0.02505151580209822,0.5203032888540663,0.616451788612214
00,2020-07-26,0.4106325700460695,0.41258416444360435,0.024438652735170992,0.36961156048083915,0.4627243421784894
00,2020-08-02,0.5004959279417343,0.5029454120379401,0.03540508540364186,0.4410745224715887,0.5789910980842848
00,2020-08-09,0.3732753242697936,0.3736762263852074,0.0148032627805188,0.34591362202667203,0.40203494097519954
00,2020-08-16,0.5439031290781118,0.5450198353983221,0.017807262550969576,0.5119653612306451,0.5812791704766136
00,2020-08-23,0.5820543521462788,0.5828382087265668,0.02274813021693341,0.5408973116098207,0.6259810036184825
00,2020-08-30,0.5625802278589386,0.5644996559753926,0.03429779433001871,0.5055340763456023,0.6354366641139201
00,2020-09-06,0.42040026504592476,0.42184886393192755,0.02134814798296695,0.3844062060366989,0.46664842424857833
00,2020-09-13,0.40828237448592486,0.40989370587580637,0.020705483839818645,0.37295160539583294,0.45308873040827446
00,2020-09-20,0.463802836321827,0.46572306005285863,0.024198012208154734,0.4225538868139453,0.5153194821511976
00,2020-09-27,0.5321323355448218,0.5334154161607134,0.03207802221327867,0.47771818301782865,0.5972826880170811
00,2020-10-04,0.32439309899381696,0.32574983444291256,0.018919595525787942,0.2917134803254557,0.36518876329415245
00,2020-10-11,0.1905381548651432,0.19075982050881893,0.00737799093501379,0.17772354871553797,0.20590756275887453
00,2020-10-18,0.22589174176357416,0.2267618294633095,0.011484626580521351,0.20705133323067487,0.25225817587405014
00,2020-10-25,0.3027346037462057,0.30413580239987487,0.016332090488913712,0.27672433093675214,0.3394224649297262
00,2020-11-01,0.29192704452218293,0.29411395387465805,0.022052261358481044,0.2569838511316468,0.3412347447184
00,2020-11-08,0.3732911613232776,0.37514916728378495,0.02548782719350063,0.33014854296814616,0.42776940802466845
00,2020-11-15,0.38316448048800306,0.3860266713210674,0.024696581777592295,0.34618465747784255,0.4378313391778446
00,2020-11-22,0.36733055518889285,0.36931758772236833,0.02327268470695989,0.33014567399042277,0.4190743596330995
00,2020-11-29,0.38676369584315545,0.38908235496925314,0.0260851356394626,0.3444620213501448,0.4450958120785122
00,2020-12-06,0.45732483490277653,0.46020965849011697,0.0342250323270662,0.4027276452289796,0.5383212590264006
00,2020-12-13,0.3736264433783313,0.37571471418700664,0.026502910377856015,0.33000535430317063,0.43274969188338036
00,2020-12-20,0.2707505086907428,0.2715793891548763,0.013638744341239333,0.2468257480063443,0.30018648880066484
