"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
3.0243823844983,0.0569273965743492,0.0382104402807171,0.097143925508849,0.100550490617294,0.0588522399316768,0.0126107558112875,0.00436565147022669,0,0
0.110904403209918,3.03264134443491,0.0780710221979723,0.00499562005949614,0.0191800286788473,0.0202347529100483,0.0239814679546704,0,0,0
0.0608377241624332,0.0638047949089116,0.408208780459961,0.00850169679474402,0.0098112052875375,0.0126813232780414,0,0,0,0
0.101418232191791,0.00267708599285367,0.00557461760230908,0,0.00179858484382761,0,0.00302436821119325,0,0,0
0.0974140017267419,0.00953803641826347,0.00596992170834751,0.0016690437952914,0.0065962805584197,0,0.00280654149560512,0,0,0
0.0547671840343057,0.00966557853233587,0.00741192593443403,0,0,0.00318093018805954,0.0107832998877829,0,0,0
0.0139535281404681,0.0136204423912446,0,0.00320536280966529,0.00320536280966529,0.0128214512386611,0.0128214512386611,0,0,0
0.006966388699195,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
