"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
4.6760496990208,0.114045131367948,0.0448449185570103,0.159496896115406,0.161747819579389,0.0795877385059036,0.0313586357728532,0.00870074407469388,0,0
0.22217961815345,4.21956325217518,0.186852937639501,0.17229662347017,0.155106783964713,0.221770931633219,0.0506549267227619,0,0,0
0.0714009774609948,0.152708559828818,1.60465778897478,0.049013122770809,0.0402155173125846,0.02668994099853,0,0,0,0
0.166514716791312,0.092331456719008,0.0321382217619435,0.0311802391469017,0.0217528963200396,0.0106946518002394,0.0105610628485351,0,0,0
0.156702391794131,0.0771330522465139,0.0244703359863222,0.0201861684519227,0.0481804557315346,0.0276369062653857,0.00280654149560512,0,0,0
0.0740633886949292,0.105933804352299,0.0155996232836414,0.00953287013222991,0.0265466454617611,0.00700340747161512,0.0171028668765359,0.0110592422303178,0,0
0.0346976512154447,0.0287698197860206,0,0.0111930941344857,0.00320536280966529,0.0203354794896559,0.0128214512386611,0,0,0
0.0138840137857794,0,0,0,0,0.0189638537684836,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
