"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
5.76200734005315,0.134135374883906,0.067335809138181,0.210515764526829,0.260629928493442,0.133396730339486,0.0451651049887868,0.00870074407469388,0,0
0.261318883279851,5.9206835084021,0.277714128216477,0.177292243529667,0.167401653329781,0.251271174361419,0.0506549267227619,0,0,0
0.1072104208302,0.226966324960194,1.99861429773932,0.0756335047229861,0.0598379278876596,0.0430424681910112,0,0,0,0
0.21977840173722,0.0950085427118617,0.0495933784669605,0.0354405421852437,0.0368470862371884,0.0200219878876763,0.0126912143677061,0,0,0
0.252500053937419,0.0832471678052218,0.0364101794030172,0.0341932163332746,0.0884961322112649,0.0407607157199006,0.00447558529089651,0,0,0
0.124137386929686,0.120025249603938,0.0251572788795177,0.0178469588245992,0.0391527278268147,0.0101843376596747,0.0171028668765359,0.0127367565955211,0,0
0.0499742103375079,0.0287698197860206,0,0.0134507254748869,0.0051115847263935,0.0203354794896559,0.0128214512386611,0,0,0
0.0138840137857794,0,0,0,0,0.0218403742799013,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
