"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
0.480542756084614,0.00777766596551733,0.0116082177090262,0.0320681639907144,0.0434819253324766,0.029042353854044,0.00598078465847385,0,0,0
0.0151522369575646,0.521994711488772,0.0444975017061084,0,0,0.0130343737599486,0,0,0,0
0.0184823190157167,0.0363662968715546,0.0842955941461011,0.0223695335548051,0.0140620536849095,0,0,0,0,0
0.0334791546104286,0,0.0146678479038624,0,0.0111654535541501,0.00932733608743687,0.00213015151917101,0,0,0
0.0421255860952647,0,0.00855647773104131,0.0103612743319407,0.0221857232340704,0.00500608186959654,0,0,0,0
0.0270264639062233,0.00622615772758157,0,0.00831408869236925,0.00480859468381147,0,0,0.00167751436520332,0,0
0.00661760867333569,0,0,0.00225763134040113,0,0,0,0,0,0
0,0,0,0,0,0.00287652051141773,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
