"contact_[0,12)","contact_[12,18)","contact_[18,25)","contact_[25,35)","contact_[35,45)","contact_[45,55)","contact_[55,65)","contact_[65,75)","contact_[75,85)","contact_85+"
1.9652494022809,0.0171470518641222,0.0123953830166636,0.0502807516077708,0.0620792756447393,0.0319944808604836,0.00576192068202612,0.00457334563292791,0,0
0.0334054193276924,2.33868869395805,0.0770419018615819,0,0,0.00729924930557119,0,0,0,0
0.0197356242774321,0.0629637298100908,0.388226817185622,0,0.00425084839737201,0.00425084839737201,0,0,0,0
0.0524930912007481,0,0,0,0,0,0.00324039451199276,0,0,0
0.0601428260342211,0,0.0025865560226938,0,0,0,0,0,0,0
0.0297736776612481,0.00348664832744568,0.00248451780536069,0,0,0,0,0,0,0
0.00637544042426337,0,0,0.00343431729606995,0,0,0,0,0,0
0.00729781191925692,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
